data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"As permitted by applicable law, we may disclose any information, including that which might identify you as the client, to a third party (a) if that disclosure is reasonably necessary to comply with any applicable law, regulation, legal process or governmental request, including to meet national security or law enforcement requirements, (b) to enforce our agreements, policies and terms of service, (c) to protect the security or integrity of Onna or any other products and services of Onna, (d) to protect Onna, our clients or the public from harm or illegal activities, or (e) to respond to an emergency which we believe in good faith requires us to disclose information to assist in preventing the death or serious bodily injury of any person.
In addition, we work with third party service providers to provide website, application development, hosting, maintenance, back-up, storage, virtual infrastructure, payment processing, analysis and other services for us.
These service providers may have access to your information for the purpose of providing those services for us."
UNSPECIFIED_DATA,enterprise version of onna,services,"However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: Other Authorized Users; Enterprise versions of Onna may display use and profile information of each authorized user under such enterprise license to other authorized users."
UNSPECIFIED_DATA,onna,services,Onna is a web-based information platform for data integration and organization and by its very nature will be accessing your data and content for the purposes of providing you with its functions.
UNSPECIFIED_DATA,we,"security, services","As permitted by applicable law, we may disclose any information, including that which might identify you as the client, to a third party (a) if that disclosure is reasonably necessary to comply with any applicable law, regulation, legal process or governmental request, including to meet national security or law enforcement requirements, (b) to enforce our agreements, policies and terms of service, (c) to protect the security or integrity of Onna or any other products and services of Onna, (d) to protect Onna, our clients or the public from harm or illegal activities, or (e) to respond to an emergency which we believe in good faith requires us to disclose information to assist in preventing the death or serious bodily injury of any person.
For example, we may have access to certain information from a third-party social media or authentication service when you use Onna or otherwise provide us with access to your data and information collected and stored by that service.
However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: General Business Uses; We may use the information that we collect for a variety of internal, business purposes, including to: (i) provide, operate, maintain, improve, and promote Onna; (ii) monitor and analyze trends, usage, and activities in connection with Onna and for marketing or advertising purposes; and (iii) investigate and prevent fraudulent transactions, unauthorized access to Onna, and other illegal activities.
To support your use of the website or Onna, we may store, process, and transmit information in the United States and other locations around the world.
We sometimes collect information under the direction of our enterprise customers and often have no direct relationship with the individuals who are using Onna as ""Authorized Users"" and whose personal data we process.
When you sign up and use Onna, we also obtain information from third parties."
access,we,"security, services","Notwithstanding anything else in this Privacy Policy, if you provide Onna with access to the following types of your Google Data, Onna's use of that data will be subject to these additional restrictions: We will only use access to read, write, modify, or control Google Data to provide you with our services."
aggregate / deidentified / pseudonymized information,we,"security, services","However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: Aggregated or Anonymized Data; Except for Google Data, we may also use aggregated or anonymized information that does not directly identify you for any internal purposes."
attachment,UNSPECIFIED_ACTOR,services,"Onna's services access and use the files and information within your G Suite account, including the files stored in your Google Drive service, the labels, messages, and attachments sent and received in your Gmail service, the information in your Audits service and messages through your Hangouts service, including metadata stored within each service (collectively, ""Google Data"")."
content,onna,services,Onna is a web-based information platform for data integration and organization and by its very nature will be accessing your data and content for the purposes of providing you with its functions.
cookie / pixel tag,enterprise version of onna,services,"However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: Other Authorized Users; Enterprise versions of Onna may display use and profile information of each authorized user under such enterprise license to other authorized users."
cookie / pixel tag,we,"security, services, analytics","However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: General Business Uses; We may use the information that we collect for a variety of internal, business purposes, including to: (i) provide, operate, maintain, improve, and promote Onna; (ii) monitor and analyze trends, usage, and activities in connection with Onna and for marketing or advertising purposes; and (iii) investigate and prevent fraudulent transactions, unauthorized access to Onna, and other illegal activities.
We use cookies to do things like: (i) log you into Onna; (ii) remember preferences and settings; and (iii) better understand how people are interacting with our website and Onna and improve and promote such experiences based on that information.
We use pixel tags to learn how you interact with our webpages and emails."
current city,we,"security, services, analytics","By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), current city, profile picture URL, and other information that the third-party service makes available to us."
datum collect about interaction with website,enterprise version of onna,services,"However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: Other Authorized Users; Enterprise versions of Onna may display use and profile information of each authorized user under such enterprise license to other authorized users."
datum collect about interaction with website,we,"security, services, analytics","However, all other data and information that does not identify you as the client or any of your end-clients or customers - such as information collected using cookies as well as data collected about your interaction with our website or Onna - may be used by us for any lawful business purposes, including the following: General Business Uses; We may use the information that we collect for a variety of internal, business purposes, including to: (i) provide, operate, maintain, improve, and promote Onna; (ii) monitor and analyze trends, usage, and activities in connection with Onna and for marketing or advertising purposes; and (iii) investigate and prevent fraudulent transactions, unauthorized access to Onna, and other illegal activities."
