data_type,collector,purpose,text
UNSPECIFIED_DATA,glotelligence limited,,"This Privacy Policy describes how Glotelligence Limited collects, uses, and discloses your information in connection with your use of our CRM solution (""Service"")."
UNSPECIFIED_DATA,we,,"We do not share or disclose your information with third parties except in the following limited circumstances: Legal Requirements: We may disclose your information if we are required to do so by law or in the good faith belief that such disclosure is necessary to comply with legal process, protect our rights, or protect the safety of others.
We may share your information with third-party service providers who help us operate and maintain the Service (e.g., data storage providers)."
UNSPECIFIED_DATA,we,"legal, services","We do not share or disclose your information with third parties except in the following limited circumstances: Legal Requirements: We may disclose your information if we are required to do so by law or in the good faith belief that such disclosure is necessary to comply with legal process, protect our rights, or protect the safety of others.
We may share your information with third-party service providers who help us operate and maintain the Service (e.g., data storage providers)."
client database,host system,,All client databases are encrypted at rest and can only be accessed by the client's hosting system.
entity name,domain registrar,,(Ex: we share your / entity name with the domain registrar if we are managing your domain name - ultimately letting them know the actual owner of your domain).
entity name,we,,(Ex: we share your / entity name with the domain registrar if we are managing your domain name - ultimately letting them know the actual owner of your domain).
information we collect,we,"legal, services",We use the information we collect to:
information you provide,we,"legal, services",We collect information you provide directly when you use our Service.
separate database,we,"legal, services",We maintain separate databases for each client.
service provider,we,"legal, services",We do not share or disclose your information with third parties except in the following limited circumstances: Service Providers:
