data_type,collector,purpose,text
Amplitude,analytic provider,,"We use third party analytics providers, including Google Analytics and Amplitude, to help us understand how users engage with us."
Amplitude,platform support provider who help,,"We share your Personal Information with selected third parties, including: Platform support providers who help us manage and monitor the Services, including Amplitude, which is based in the U.S. and provides user event data for our Services."
AppsFlyer,advertiser,,"We share your Personal Information with selected third parties, including: Mobile advertising tracking providers who help us measure our advertising effectiveness, including AppsFlyer which is based in Israel."
Facebook,advertiser,,"We also use third party advertising partners, including Facebook, to deliver ads to you on other sites."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We share your Personal Information with selected third parties, including: Providers of integrated third-party programs, apps or platforms , such as Google Calendar and Apple iCal.
When you connect third party platforms to our Services, you authorize us to share designated information and data created and/or uploaded by you to our servers with these third-party programs on your behalf."
UNSPECIFIED_DATA,operator,,"Any information you provide on Apps, third-party websites or services is provided directly to the operators of such websites or services and is subject to their policies governing privacy and security, even if accessed via our Website or in connection with our Service."
UNSPECIFIED_DATA,we,analytics,"Privacy Policy

5. HOW LONG WE STORE YOUR INFORMATION
We use your Personal Information to: Improve and monitor the Services .  We use information we automatically collect or generate about you when you use the Services, as well as information about your device such as device manufacturer, model and operating system, and the amount of free space on your device, to analyze the use of and improve our Services.
When you connect third party platforms to our Services, you authorize us to share designated information and data created and/or uploaded by you to our servers with these third-party programs on your behalf."
aggregate / deidentified / pseudonymized information,we,analytics,"We also collect, and use aggregated data such as statistical or demographic data for our purposes."
amazon web services,cloud service provider who we rely on for compute storage,,"We share your Personal Information with selected third parties, including: Cloud service providers who we rely on for compute and data storage, including Amazon Web Services, based in the United States."
amount of free space on device,we,analytics,"We use your Personal Information to: Improve and monitor the Services .  We use information we automatically collect or generate about you when you use the Services, as well as information about your device such as device manufacturer, model and operating system, and the amount of free space on your device, to analyze the use of and improve our Services."
audio recording,we,"analytics, services","We use your audio recordings, usage information and platform information in order to provide you with the Services.
When you use the Services, you may provide us with your audio recordings (""Audio Recordings""), automatic OtterPilot TM screenshots and any text, images or videos that you upload or provide to us in the context of the Services."
