data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,These third parties will only process your information on our behalf and for the purposes described in this Privacy Statement or for such other purposes that are notified to you prior to such disclosure.
UNSPECIFIED_DATA,part of website,,Certain parts of our Website or Outreach Service ask you to provide certain information voluntarily.
UNSPECIFIED_DATA,we,,"If you log in to our Services using a third-party sign-in service (such as LinkedIn), we will collect information from that sign-in service that you give us permission to receive.
Under these circumstances, we process your information as a processor on our Clients' behalf and it is our Clients, as the controllers of the information, that determine what information we process about you and how we use it.
We collect certain information through cookies and other tracking technologies such as your computer or device's Internet Protocol (""IP"") address, browser type, the web page visited before or after you came to our Website, information you search for on our Website, locale preferences and identification numbers associated with your devices.
We may collect your information both online (for example, through your use of the Outreach Platform) and offline (for example over the phone) and we may combine information collected from disparate sources.
When we do so, we (Outreach Corporation) are processing your information as a ""data controller"" under applicable privacy laws.
When we no longer have an ongoing legitimate business need to process your personal information, we will either delete or anonymize it or, if this is not possible (for example, because your information has been stored in backup archives), then we will securely store your information and isolate it from any further processing until deletion is possible."
UNSPECIFIED_DATA,we,"services, security, advertising, analytics","If you log in to our Services using a third-party sign-in service (such as LinkedIn), we will collect information from that sign-in service that you give us permission to receive.
Under these circumstances, we process your information as a processor on our Clients' behalf and it is our Clients, as the controllers of the information, that determine what information we process about you and how we use it.
We collect certain information through cookies and other tracking technologies such as your computer or device's Internet Protocol (""IP"") address, browser type, the web page visited before or after you came to our Website, information you search for on our Website, locale preferences and identification numbers associated with your devices.
We may collect your information both online (for example, through your use of the Outreach Platform) and offline (for example over the phone) and we may combine information collected from disparate sources.
When we do so, we (Outreach Corporation) are processing your information as a ""data controller"" under applicable privacy laws.
When we no longer have an ongoing legitimate business need to process your personal information, we will either delete or anonymize it or, if this is not possible (for example, because your information has been stored in backup archives), then we will securely store your information and isolate it from any further processing until deletion is possible."
access to personal information we hold about you,we,,"Upon request, we will provide you with access to the personal information that we hold about you."
aggregate / deidentified / pseudonymized information,we,,"Finally, we may disclose de-identified information in accordance with applicable law."
audio,we,,"In the past 12 months, we have collected the following information for the following purposes: Audio, video and other electronic data (such as chat and any interaction that you may have with us, for example for customer service purposes).
In the preceding 12 months, we have disclosed the following categories of personal information described above for the business purposes described in this Privacy Statement: Audio, video and other electronic data;
We obtain this information when you provide it to us or otherwise automatically in the course of your interactions with our Services."
choice,we,,"We provide a variety of ways for you to control the personal information we hold about you, including choices about how we use that data."
classification characteristic,we,,"In the preceding 12 months, we have disclosed the following categories of personal information described above for the business purposes described in this Privacy Statement: Demographic information / Classification characteristics;"
client datum we process on behalf of client,outreach,,Please note that Outreach will retain Client Data that we process on behalf of our Clients for as long as needed to provide services to our Clients and in accordance with our agreements with our Clients.
commercial information,we,,"In the past 12 months, we have collected the following information for the following purposes: Commercial information (such as services purchased).
In the preceding 12 months, we have disclosed the following categories of personal information described above for the business purposes described in this Privacy Statement: Commercial information;
We obtain this information directly from you or otherwise automatically in the course of your interactions with our Services."
