data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
Like many businesses, we also collect information through cookies and similar technologies.
The information we collect includes:
We automatically collect certain information when you visit, use, or navigate the Services.
We keep your information for as long as necessary to
We may also process your information for other purposes with your consent.
We may collect limited data from public databases, marketing partners,
We may process your information if you choose to use any of our offerings that allow for communication with another user.
We may process your information if you have given us permission (i.e. consent) to use your personal information for a specific purpose.
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to fulfil and manage your orders, payments, returns, and exchanges made through the Services.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information to send you details about our products and services, changes to our terms and policies, and other similar information.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may process your information where we believe it is necessary for compliance with our legal obligations, such as to cooperate with a law enforcement body or regulatory agency, exercise or defend our legal rights, or disclose your information as evidence in litigation in which we are involved.
We may process your information where we believe it is necessary to protect your vital interests or the vital interests of a third party, such as situations involving potential threats to the safety of any person.
We may receive information from public databases, marketing partners, social media platforms, and other outside sources.
We may share information in specific situations and with specific
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may use cookies and other tracking technologies to collect and store your information.
We process your information only when we have a valid legal reason to do so.
We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law.
agent, we may need to collect additional information to verify your identity before processing your request.
we merely process your information on their behalf in accordance with your instructions."
category l information,contractor,,"Category L information may be used, or disclosed to a service provider or contractor, for additional, specified purposes."
category l information,service provider,,"Category L information may be used, or disclosed to a service provider or contractor, for additional, specified purposes."
collect personal information,we,"legal, security, services",We will use and retain the collected personal information as needed to provide the Services or for:
cookie / pixel tag,we,"legal, security, services","We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
information about you,we,"legal, security, services, advertising","In order to enhance our ability to provide relevant marketing, offers, and services to you and update our records, we may obtain information about you from other sources, such as public databases, joint marketing partners, affiliate programs, data providers,"
information in specific situation describe in section,we,"legal, security, services, advertising",We may share information in specific situations described in this section and/or with the following
personal information,UNSPECIFIED_ACTOR,,whether we sell or share personal information to third parties;
personal information,service provider,,We may disclose your personal information with our service providers pursuant to a written contract between us and each service provider.
personal information,we,"legal, security, services, advertising, analytics",", or, if this is not possible (for example, because your personal information has been stored in backup archives), then we will securely store your personal information and isolate it from any further processing until deletion is possible.
The personal information we collect may include the following:
We collect personal information that you provide to us.
We collect personal information that you voluntarily provide to us when you
We may also collect other personal information outside of these categories through instances where you interact with us in person, online, or by phone or mail in the context of:
We may disclose your personal information with our service providers pursuant to a written contract between us and each service provider.
We may process your personal information when we believe it is necessary to fulfil our contractual obligations to you, including providing our Services or at your request prior to entering into a contract with you.
We may use your personal information for our own business purposes, such as for undertaking internal research for technological development and demonstration.
We only process your personal information when we believe it is necessary and we have a valid legal reason (i.e.
We process your personal information for a variety of reasons, depending on how you interact with our Services, including:
We will only keep your personal information for as long as it is necessary for the purposes set out in this privacy notice, unless a longer retention period is required or permitted by law (such as tax, accounting, or other legal requirements).
When and with whom we share your personal data
When you visit, use, or navigate our Services, we may process personal information depending on how you interact with
when and with whom we share your personal information
whether we collect and use your personal information;
whether we sell or share personal information to third parties;"
personal information provide in request,we,"legal, security, services, advertising, analytics",We will only use personal information provided in your request to verify your identity or authority to make the request.
sensitive personal information,we,"legal, security, services, advertising, analytics",We may process sensitive personal information when necessary with your consent or as otherwise permitted by applicable law.
verification method,we,"legal, security, services, advertising, analytics",We may also use other verification methods as the circumstances dictate.
