data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,advertising,"In addition, when you give us your consent, we may provide your information to third parties for targeted advertising or we may allow our advertising partners to collect data about you for that purpose using cookies or similar technologies."
UNSPECIFIED_DATA,we,"advertising, services","1. What Information We Collect and How
In addition, when you give us your consent, we may provide your information to third parties for targeted advertising or we may allow our advertising partners to collect data about you for that purpose using cookies or similar technologies.
We collect information about how you use Paytia and your actions on Paytia, which can include your IP addresses, browser types, operating systems, ISPs, platform types, device types, and mobile device identifiers such as make and model, and mobile carrier.
We collect information from you when you:
We will store the information and data we collect and associate it with your Paytia account, and we will use that information and data to enable the integration of Paytia with the third-party service and to perform actions requested or initiated by you, or that are reasonably necessary to carry out instructions provided by you."
analytic datum,we,"advertising, services","We may also use tools, including third-party tools, to collect analytics data."
contact information,we,"advertising, services",We may also obtain publicly-available business contact information.
cookie / pixel tag,we,"advertising, services","We use cookies and similar tracking technologies that enable certain advertising networks, social media companies, analytics services, and other third-party businesses to collect and disclose your personal information directly from your browser or device when you visit or interact with our Service or otherwise engage with us online."
customer information about you,we,"advertising, services","If you are an end user using the Service through an account created on your behalf by an Paytia customer (such as an employer, an organisation of which you are a member, or another individual), we may collect and process Customer Information about you on behalf of the Paytia customer with whom your use of the Service is associated.
If you create your account using a service provided by a third party such as Google or Apple, or a single-sign-on service provided by a third party such as Google or Microsoft, we may collect Customer Information about you from the third-party service (such as your username or user ID associated with that third-party service)."
customer information necessary,we,"advertising, services","By choosing to create an account using a third-party service, you also authorise us to collect Customer Information necessary to authenticate your account with the third party."
customer support,we,"advertising, services","We disclose information we collect for specific purposes, including: With vendors that help us provide you with aspects of the Service, such as data storage, hosting, customer support, and payment processing, or that help us with marketing and email campaigns, to advertise, gain insights, and perform analytics into how the Service is used and how it might be improved;"
datum about you,advertiser,advertising,"In addition, when you give us your consent, we may provide your information to third parties for targeted advertising or we may allow our advertising partners to collect data about you for that purpose using cookies or similar technologies."
datum storage,we,"advertising, services","We disclose information we collect for specific purposes, including: With vendors that help us provide you with aspects of the Service, such as data storage, hosting, customer support, and payment processing, or that help us with marketing and email campaigns, to advertise, gain insights, and perform analytics into how the Service is used and how it might be improved;"
information about you,we,"advertising, services","We also collect information about you from our business partners, including referral partners and resellers, and third parties that help us with sales and marketing efforts, such as prospecting."
information we collect,UNSPECIFIED_ACTOR,"advertising, analytics, services","We disclose information we collect for specific purposes, including: With an employer or other organisation (or employees or other Paytia users associated with such an employer or other organisation) on whose behalf you use the Service, that created an Paytia account on your behalf, or that owns, manages, or is associated with the email domain for an email address on your account;
We disclose information we collect for specific purposes, including: With vendors that help us provide you with aspects of the Service, such as data storage, hosting, customer support, and payment processing, or that help us with marketing and email campaigns, to advertise, gain insights, and perform analytics into how the Service is used and how it might be improved;"
information we collect,collaborator,"advertising, analytics, services","We disclose information we collect for specific purposes, including: With the owner or collaborator of an Paytia workspace to which you have access or on which you are a collaborator as necessary to identify you to such owner or collaborator or enable you to collaborate as intended;"
information we collect,employee,"advertising, analytics, services","We disclose information we collect for specific purposes, including: With an employer or other organisation (or employees or other Paytia users associated with such an employer or other organisation) on whose behalf you use the Service, that created an Paytia account on your behalf, or that owns, manages, or is associated with the email domain for an email address on your account;"
information we collect,employer,"advertising, analytics, services","We disclose information we collect for specific purposes, including: With an employer or other organisation (or employees or other Paytia users associated with such an employer or other organisation) on whose behalf you use the Service, that created an Paytia account on your behalf, or that owns, manages, or is associated with the email domain for an email address on your account;"
information we collect,we,"advertising, services, analytics","We disclose information we collect for specific purposes, including: With the owner or collaborator of an Paytia workspace to which you have access or on which you are a collaborator as necessary to identify you to such owner or collaborator or enable you to collaborate as intended;
We use the information we collect for a variety of purposes, and how we use it depends on what we collect and which Service (or features of the Service) you use."
payment card datum,we,"advertising, services, analytics","We collect information from you when you: Payment card data - Personal Account Number, Expiry Date, CVV (security code)"
paytia,we,"advertising, services, analytics, legal","We --meaning Paytia Limited, doing business as Paytia and Pay729 (also ""we,"" ""our,"" or ""us"") -- prepared this Privacy Policy to help you understand our practices with respect to the collection, use, and disclosure of information we collect from you through: (i) paytia.com, pay729.net its subdomains, and any other website where Paytia's Terms of Service are posted; (ii) Paytia's online hosted services; and (iii) Paytia's ""Software,"" meaning, collectively, our browser extensions, mobile applications, other downloadable apps, application programming interfaces (""APIs""), and tools and documentation ((i) through (iii) collectively, our ""Service"" or ""Paytia"")."
personal account number,we,"advertising, services, analytics","We collect information from you when you: Payment card data - Personal Account Number, Expiry Date, CVV (security code)"
personal identifier,we,"advertising, services, analytics",We will then collect information (such as your username or user ID associated with that third-party service) from you and/or that third party as necessary to enable Paytia to access your data and content stored with that third-party service.
proof of identity,we,"advertising, services, analytics, legal",Due to the confidential nature of data processing we may ask you to provide proof of identity when exercising the above rights.
username,we,"advertising, services, analytics, legal",We will then collect information (such as your username or user ID associated with that third-party service) from you and/or that third party as necessary to enable Paytia to access your data and content stored with that third-party service.
