data_type,collector,purpose,text
UNSPECIFIED_DATA,pepper cloud,"advertising, analytics, services",Pepper Cloud collects and uses your data for the following purposes:
UNSPECIFIED_DATA,we,,"Here are the terms of data retention: If the processing is based on a legitimate interest of Pepper Cloud, we retain data until you object to such processing.
Here are the terms of data retention: If the processing is based on the consent, we retain data until you withdraw your consent
Pepper Cloud Pte. Ltd. (hereinafter ""Pepper Cloud"", ""us"", ""we"", or ""our"") is committed to respecting your privacy and is compliant with all data protection and privacy laws governing Singapore. Pepper Cloud's privacy policy statement is designed to help users (hereinafter ""you"" or ""individuals"" refers to individual users of our services, while ""customer"" refers to organisations of businesses that use our CRM system) understand how we collect, use and protect your information when you visit our website and when you generally request information on our products and services - whether in person, via business card, email, online ads, trade booth, post, telephone, fax or other communication channels
We may release information when Pepper Cloud believes, in good faith, that such release is legitimately necessary to:"
information about you,UNSPECIFIED_ACTOR,,"Protection and disclosure of information

We may disclose information about you : To companies and departments within Pepper Cloud Group, subject to the terms of this privacy policy; and"
information about you,department,,"Protection and disclosure of information

We may disclose information about you : To companies and departments within Pepper Cloud Group, subject to the terms of this privacy policy; and"
information about you,we,,"Protection and disclosure of information

We may disclose information about you"
information on,pepper cloud,"advertising, analytics, services","Upon request, Pepper Cloud can also provide information on how the individual's personal data has been used or disclosed in the past year."
pepper cloud pte ltd.,pepper cloud,"advertising, analytics, services, legal","Pepper Cloud Pte. Ltd. (hereinafter ""Pepper Cloud"", ""us"", ""we"", or ""our"") is committed to respecting your privacy and is compliant with all data protection and privacy laws governing Singapore. Pepper Cloud's privacy policy statement is designed to help users (hereinafter ""you"" or ""individuals"" refers to individual users of our services, while ""customer"" refers to organisations of businesses that use our CRM system) understand how we collect, use and protect your information when you visit our website and when you generally request information on our products and services - whether in person, via business card, email, online ads, trade booth, post, telephone, fax or other communication channels"
personal information we hold about you,UNSPECIFIED_ACTOR,,"In the event that we undergo re-organisation or are sold to a third party, in which case you agree that any personal information we hold about you may be transferred to that re-organised company or third party for the purposes described herein and subject to the terms of this privacy policy."
personal information we hold about you,re - organise company,,"In the event that we undergo re-organisation or are sold to a third party, in which case you agree that any personal information we hold about you may be transferred to that re-organised company or third party for the purposes described herein and subject to the terms of this privacy policy."
webinar,pepper cloud,"advertising, analytics, services, legal","Pepper Cloud may record telephone calls, webinars, online training sessions, and video conferences with users in order to accurately understand the content of the enquiries and to improve the quality of our correspondence with users."
