data_type,collector,purpose,text
BuySellAds,social media,advertising,"We partner with third-party ad servers, ad networks and social media platforms (like Facebook, Instagram, Google and BuySellAds) to deliver personalised advertisements (""ads"") on our Service and other sites that may be of interest to you and/or to measure their effectiveness, and/or to identify potential new users of our Service."
Facebook,social media,advertising,"We also share certain information with social media platforms, such as Facebook and TikTok, to display advertising to potential new users whose demographics and behaviour look like those of our existing users.
We partner with third-party ad servers, ad networks and social media platforms (like Facebook, Instagram, Google and BuySellAds) to deliver personalised advertisements (""ads"") on our Service and other sites that may be of interest to you and/or to measure their effectiveness, and/or to identify potential new users of our Service."
Google,social media,advertising,"We partner with third-party ad servers, ad networks and social media platforms (like Facebook, Instagram, Google and BuySellAds) to deliver personalised advertisements (""ads"") on our Service and other sites that may be of interest to you and/or to measure their effectiveness, and/or to identify potential new users of our Service."
UNSPECIFIED_DATA,Canva,,"Generally, Pexels will collect and use your information as follows:"
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may also aggregate or otherwise strip data of all personally identifying characteristics and may share that aggregated such anonymized data with third parties.
UNSPECIFIED_DATA,social media,advertising,"We also share certain information with social media platforms, such as Facebook and TikTok, to display advertising to potential new users whose demographics and behaviour look like those of our existing users."
UNSPECIFIED_DATA,we,"advertising, analytics, legal","If you have consented to the disclosure of your personal information to any other third party, we may also share the data with them.
Privacy Policy

How we transfer, store and protect your information
Privacy Policy

Personal information we collect

Information we collect from you automatically
We also share certain information with social media platforms, such as Facebook and TikTok, to display advertising to potential new users whose demographics and behaviour look like those of our existing users.
We collect information in order to understand where our users are located for a number of reasons.
We may also aggregate or otherwise strip data of all personally identifying characteristics and may share that aggregated such anonymized data with third parties.
We use the information we collect about you for the purposes set out below: For matters that we are required to use your information by law: We will use or disclose your information where we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms or to protect the security or integrity of our Service; and/or (c) to exercise or protect the rights, property, or personal safety of Pexels, our users or others.
When we have no ongoing legitimate business need to process your information, we will either delete or anonymise it or, if this is not possible (for example, because your information has been stored in backup archives), then we will securely store your information and isolate it from any further processing until deletion is possible."
activity,we,"advertising, analytics, legal, services","We use the information we collect about you for the purposes set out below: For analytics and machine learning: We may analyze your activity, Content, and related data activity in your account to provide and customize the Service, and to train our algorithms, models, products and services using machine learning to develop, improve and provide our Service."
coarse geolocation,we,"advertising, analytics, legal, services",We may collect your precise or approximate location:
contact information,we,"advertising, analytics, legal, services","We use the information we collect about you for the purposes set out below: To communicate with you about the Service: We may use your contact information to get in touch with you and to send communications about critical elements of the Service.
We use the information we collect about you for the purposes set out below: To promote and drive engagement with the Service: We may use your contact information to get in touch with you about taking part in our surveys or about features and offers relating to the Service that we think you would be interested in."
content,we,"advertising, analytics, legal, services","We use the information we collect about you for the purposes set out below: For analytics and machine learning: We may analyze your activity, Content, and related data activity in your account to provide and customize the Service, and to train our algorithms, models, products and services using machine learning to develop, improve and provide our Service."
cookie / pixel tag,advertiser,,"We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
cookie / pixel tag,we,"advertising, analytics, legal, services","In addition, we may also use clear GIFs in HTML-based emails sent to our users to track which emails are opened and which links are clicked by recipients.
We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
cookie / pixel tag,we,"advertising, analytics, legal, services, security","In addition, we may also use clear GIFs in HTML-based emails sent to our users to track which emails are opened and which links are clicked by recipients.
We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
email address,advertiser,,"We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
email address,we,"advertising, analytics, legal, services","For example, when you log into the Service using a third-party account (such as Facebook) we may also collect certain information from the third-party necessary to authenticate your account, such as your email address and any other information you allow the third-party to share with us.
We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
email address,we,"advertising, analytics, legal, services, security","For example, when you log into the Service using a third-party account (such as Facebook) we may also collect certain information from the third-party necessary to authenticate your account, such as your email address and any other information you allow the third-party to share with us.
We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
geolocation,advertiser,,"We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
geolocation,we,"advertising, analytics, legal, services","We may share certain information with our third-party advertising partners, such as your email address, location, cookie information and information relating to your use of our Service, and allow partners to perform a match of your information against information from other third-party networks or sites to serve ads either on the Service or on third-party sites (including, but not limited to Facebook, Google) and to measure the effectiveness of these ads."
information about interaction with service,we,"advertising, analytics, legal, services","We use the information we collect about you for the purposes set out below: Customer service: We use information about you, information that we collect or and from within your account, information that you provide to our customer service team, and information about your interactions with the Service to resolve technical issues you experience with the Service, and to ensure that we can repair and improve the Service for all users."
information about you we collect,we,"advertising, analytics, legal, services, security",We may use and combine the information you provide us and information about you that we collect automatically and receive from other sources (including information we receive on and off our Service) and combine it with information about the behavior of other users to make sure that your use of the Service is customized to your needs.
information collect about you in connection with service,we,"advertising, analytics, legal, services, security","If you unlink your third-party account, we will no longer receive information collected about you in connection with that service."
