data_type,collector,purpose,text
Google,search engine,,"When you share User Content publicly

If your User Content is public-facing (the ""Public User Content""), third parties, search engines (e.g., Google), archives, and other members of the public will have access to such content, and to any Personal Data included in this content, and may use it for their own purposes."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,Third-party service providers have access to your information as reasonably necessary to perform these tasks on our behalf and are obligated not to disclose or use it for other purposes.
UNSPECIFIED_DATA,link service,,The linked services may also share certain information with us.
UNSPECIFIED_DATA,we,"advertising, analytics, legal","Details
If we receive legal process pertaining to your account or have other legal document retention requirements, we will retain your data for as long as we in good faith believe is necessary to comply with our preservation obligations.
In some cases, we also use information including service usage information, and information from web beacons, pixels, and cookies, and device identifiers that we collect as mentioned above to better understand how to promote and advertise our Services to you.
Once we receive and confirm Your verifiable consumer request (see Exercising Access, Data Portability, and Deletion Rights), we will disclose to You: The categories of third parties with whom we share that Personal Data;
Privacy Policy

11. How we use and process your Personal Data
Privacy Policy

15. How We Secure and Store Your Information
The linked services may also share certain information with us.
We collect Personal Data and other information from You in a variety of ways, including:
We collect and use your information when:
We collect the following information from and about you:
We do share your data with some of our advertising partners.
We do use cookies, primarily those for analytic data that are aggregated (not specific to you).
We only keep your information as long as we need to in order to fulfill our obligations to you and to meet any legal or regulatory requirements we are subject to (i.e., taxes, know your customer, payroll)."
adequate level of protection,we,"advertising, analytics, legal, services","We provide an adequate level of protection to your Personal Data by E.U. data protection regulations and standards, even in cases when we transfer your Personal Data outside the Designated Countries, for example by using approved standard contractual clauses or binding corporate rules."
aggregate insight not identify you,we,"advertising, analytics, legal, services",We may produce and share aggregated insights that do not identify you.
collective learning about,we,"advertising, analytics, legal, services","In particular, we use collective learnings about how people use our Services and feedback provided directly to us to troubleshoot and to identify trends, usage, activity patterns and areas for integration and improvement of the Services."
contact information,advertiser,,"The types of information we share with advertising partners include: device identifiers (e.g., session information) or your contact information based on your consent.
You can control whether we may share this information with our advertising partners as described below."
contact information,we,"advertising, analytics, legal, services","The types of information we share with advertising partners include: device identifiers (e.g., session information) or your contact information based on your consent.
You can control whether we may share this information with our advertising partners as described below."
contact information,we,"advertising, analytics, legal, services, security","The types of information we share with advertising partners include: device identifiers (e.g., session information) or your contact information based on your consent.
You can control whether we may share this information with our advertising partners as described below."
