data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"Additionally, if you create or log into your CAKE.com account through a third-party platform (such as Apple, Google, Azure, or Okta), we will have access to certain information from that platform in accordance with the authorization procedures determined by such platform.
As an Authorized User, you share information directly with us when you create an account, use our Services, submit or post content through our Services, sign up for our newsletter, fill out a form, communicate with us via third-party platforms, request customer support, or otherwise communicate with us.
If you use our Services and become a CAKE.com business user who has licensed and/or purchased one of our products or Services or contact us to learn more about using our Services in connection with your business ("" Business User ""), we collect information from you as describe below.
If you wish to delete your account (via a user settings page, by email or otherwise), please note that we may retain certain information as required by law or for our legitimate business purposes.
Our Business Users may also collect and provide us information about their authorized users to whom they provide access to the Clockify, Pumble, or Plaky Services through their Business User account ( ""Authorized User"" ) or their clients or customers ( ""Business Clients"" ).
To the extent we provide that option to you, we will only process and store your data in the designated location and not transfer your data outside that jurisdiction, except in accordance with applicable law.
We collect information from Authorized Users of our Business Users.
We obtain information from third-party sources.
When you simply browse our public website as a consumer ("" Consumer "") to explore our Services or to learn more about us, we do not request that you provide us your information."
clockify website,we,"services, advertising, analytics, legal, security","This Privacy Policy explains how CAKE.com Inc. and its subsidiaries and affiliates ("" CAKE.com ,"" "" we ,"" or "" us "") collects, uses, and discloses information about you when you use our Clockify , Pumble , Plaky or the Marketplace websites, mobile applications, and add-ons, tools and other online products and services that link to this Privacy Policy (collectively, our "" Services ""), engage with us on social media, or otherwise interact with us."
company assist we with web hosting,service provider,,"Nevertheless, to the extent we have the permission of the Business User, generally: We share personal information with service providers (i.e., subprocessors) that need access to personal information in order to perform services for us, such as companies that assist us with web hosting, fraud prevention, and customer service."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"These entities may use cookies, web beacons, device identifiers, and other technologies to collect information about your use of our Services and other websites and applications, including your IP address, web browser, mobile network information, pages viewed, time spent on pages or in mobile apps, links clicked, and conversion information."
cookie / pixel tag,we,services,"We use cookies to optimize your experience.
When you access or use our Services or otherwise transact business with us, we automatically collect certain information, including: Information collected by cookies and similar tracking technologies: We (and our service providers) use tracking technologies, such as cookies and web beacons, to collect information about you."
device identifier,UNSPECIFIED_ACTOR,,"These entities may use cookies, web beacons, device identifiers, and other technologies to collect information about your use of our Services and other websites and applications, including your IP address, web browser, mobile network information, pages viewed, time spent on pages or in mobile apps, links clicked, and conversion information."
device information,we,services,"When you access or use our Services or otherwise transact business with us, we automatically collect certain information, including: Device and usage information:"
geolocation,we,services,"When you access or use our Services or otherwise transact business with us, we automatically collect certain information, including: General location information: In accordance with your device permissions, we may collect information about the general location of your device."
information about you,UNSPECIFIED_ACTOR,,"This Privacy Policy explains how CAKE.com Inc. and its subsidiaries and affiliates ("" CAKE.com ,"" "" we ,"" or "" us "") collects, uses, and discloses information about you when you use our Clockify , Pumble , Plaky or the Marketplace websites, mobile applications, and add-ons, tools and other online products and services that link to this Privacy Policy (collectively, our "" Services ""), engage with us on social media, or otherwise interact with us."
information about you,cake.com inc.,,"This Privacy Policy explains how CAKE.com Inc. and its subsidiaries and affiliates ("" CAKE.com ,"" "" we ,"" or "" us "") collects, uses, and discloses information about you when you use our Clockify , Pumble , Plaky or the Marketplace websites, mobile applications, and add-ons, tools and other online products and services that link to this Privacy Policy (collectively, our "" Services ""), engage with us on social media, or otherwise interact with us."
