data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,analytics,"Google uses the collected data and information, inter alia, to evaluate the use of our website and to provide online reports, which show the activities on our websites, and to provide other services concerning the use of our Internet site for us."
UNSPECIFIED_DATA,Paddle.com Market,,"When the data subject place an order on our website, the data will be transmitted automatically to Paddle.com."
UNSPECIFIED_DATA,internet browser on information technology system of datum subject,advertising,"With each call-up to one of the individual pages of this Internet site, which is operated by the controller and into which a Google Analytics component was integrated, the Internet browser on the information technology system of the data subject will automatically submit data through the Google Analytics component for the purpose of online advertising and the settlement of commissions to Google."
UNSPECIFIED_DATA,qwoach,,"Therefore, the Qwoach analyzes anonymously collected data and information statistically, with the aim of increasing the data protection and data security of our enterprise, and to ensure an optimal level of protection for the personal data we process."
collect datum,Google,analytics,"Google uses the collected data and information, inter alia, to evaluate the use of our website and to provide online reports, which show the activities on our websites, and to provide other services concerning the use of our Internet site for us."
collect datum,qwoach,,"Therefore, the Qwoach analyzes anonymously collected data and information statistically, with the aim of increasing the data protection and data security of our enterprise, and to ensure an optimal level of protection for the personal data we process."
date,we,,"During the registration for the newsletter, we also store the IP address of the computer system assigned by the Internet service provider (ISP) and used by the data subject at the time of the registration, as well as the date and time of the registration."
datum about website from person come,web analysis service,,"A web analysis service collects, inter alia, data about the website from which a person has come (the so-called referrer), which sub-pages were visited, or how often and for what duration a sub-page was viewed."
ip address,we,,"During the registration for the newsletter, we also store the IP address of the computer system assigned by the Internet service provider (ISP) and used by the data subject at the time of the registration, as well as the date and time of the registration."
personal datum collect in tracking pixel contain in newsletter,controller,,"Such personal data collected in the tracking pixels contained in the newsletters are stored and analyzed by the controller in order to optimize the shipping of the newsletter, as well as to adapt the content of future newsletters even better to the interests of the data subject."
personal datum exchange between paddle.com,Paddle.com Market,,The personal data exchanged between Paddle.com and the data subject shall be transmitted by Paddle.com to the economic agencies.
personal datum exchange between paddle.com,economic agency,,The personal data exchanged between Paddle.com and the data subject shall be transmitted by Paddle.com to the economic agencies.
