data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"In this case, the person is always guaranteed to have a simple opportunity to resign from the communication, and we have considered our and the (potential) client's interests; 4.5.5 conducting satisfaction surveys and measuring the effectiveness of marketing activities performed (contact data is used and service usage general data); 4.5.6 making recordings and logging; we may record messages and orders given both in our premises and using means of communication (email) as well as information and other activities we have performed.
We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
contact information,we,,"We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
geolocation,we,,"We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
identification datum,we,,"We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
information about processing,we,,"If special categories of personal data are processed by us as a controller, then we will give information about such processing to the data subject and take measures to ensure suitable grounds for the processing of special categories of data."
internet activity,we,,"We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
ip address,we,,"We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
message,we,,"In this case, the person is always guaranteed to have a simple opportunity to resign from the communication, and we have considered our and the (potential) client's interests; 4.5.5 conducting satisfaction surveys and measuring the effectiveness of marketing activities performed (contact data is used and service usage general data); 4.5.6 making recordings and logging; we may record messages and orders given both in our premises and using means of communication (email) as well as information and other activities we have performed."
necessary information,we,,If we commence such processing as a controller then we will provide necessary information.
person name,we,,"In order to achieve the above, we may process the following personal data: name, work email address, work telephone number, Client's company, position in the Client's company, communication data, data related to the use of the Platform and the Services.
We process the following personal data for the above purposes: 5.1.1 identification data (name, date of birth, picture); 5.1.2 contact information (work address, phone number, work email address); 5.1.3 data concerning the work (Client's company, position in the Client's company); 5.1.4 communication data (email, messages sent to the Administrator i.e., Teamdash); 5.1.5 Data related to the use of Teamdash Platform and Services (incl., technical and usage data - identifier, IP, geolocation, browser information, device information, usage of service and moving in the Platform/service, log information); 5.1.6 Candidates' data if it is necessary for Platform/Service development."
personal datum contain in content,teamdash,services,"Thus, the Administrator, i.e., Teamdash processes the personal data contained in the content on behalf of the Client in order to offer the Platform and provide the Services to the Client, and acts as an authorized processor of such personal data, while the Client acts as the controller of such personal data."
personal datum of candidate,we,,"In case we are the processor, we retain personal data of Candidates as long as instructed by the client."
personal datum relate to claim,we,legal,"7.3 If you are a paying Client or their representative or User, we will store your personal information as follows: (a) in accordance with Estonian accounting and taxation laws, information related to invoices is stored for 7 (seven) years from the end of the respective financial year; (b) in accordance with applicable (Estonian) law, we retain personal data related to such claims for a maximum of 10 (ten) years from the date on which the claim becomes collectible."
statistic about client,we,"legal, advertising, analytics, services","We may process your personal data (except special categories of personal data) based on legitimate interest for the following purposes: 4.5.1 managing and analysing our Client database and Services to improve the availability, functions and quality of Services, e.g., using a CRM or analytics solutions to enable the foregoing (mainly identification data and contact data is used); 4.5.2 development of our Service and Website depending on the development all data may be used; incl. monitoring service usage data; 4.5.3 ensuring a better Client/User experience, to provide higher quality Services; we may monitor the usage of our Service and Website, analyse identifiers and personal data collected when our Website, Service, our social media pages and other sales channels are used, and we may collect statistics about Clients, Users and visitors (mainly usage data and technical data may be processed); 4.5.4 sending offers/information to the Client or potential client if the respective person has previously purchased or shown interest in a similar product/service, and if such processing is allowed in respective jurisdiction."
