data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share your information with selected third parties including: Analytics and search engine providers that assist us in the improvement and optimisation of our Service.
UNSPECIFIED_DATA,analytic provider,,We may share your information with selected third parties including: Analytics and search engine providers that assist us in the improvement and optimisation of our Service.
UNSPECIFIED_DATA,business partner,,"We may share your information with selected third parties including: Business partners, suppliers and sub-contractors for the performance of any contract we enter into with them or you and for the purposes of providing part of the Service to you."
UNSPECIFIED_DATA,country provide adequate level of protection,,"In particular, this means that your information will only be transferred to a country that provides an adequate level of protection (for example, because the European Commission has determined that a country provides an adequate level of protection) or the recipient is bound by standard contractual clause according to conditions provided by the European Commission ("" EU Model Clauses "")."
UNSPECIFIED_DATA,sub,,"We may share your information with selected third parties including: Business partners, suppliers and sub-contractors for the performance of any contract we enter into with them or you and for the purposes of providing part of the Service to you."
UNSPECIFIED_DATA,supplier,,"We may share your information with selected third parties including: Business partners, suppliers and sub-contractors for the performance of any contract we enter into with them or you and for the purposes of providing part of the Service to you."
UNSPECIFIED_DATA,we,,"However, we may keep some data after your account is closed or you cease using the Service, for the purposes set out below.
We may share your information with selected third parties including: Analytics and search engine providers that assist us in the improvement and optimisation of our Service."
combine information,we,,We may use this information and the combined information for the purposes set out above (depending on the types of information we receive).
cookie / pixel tag,we,services,We use cookies on our website to distinguish you from other users of our website and Service.
de - personalised information,we,services,"Your rights

We will retain de-personalised information after your account has been closed."
email address,we,services,"If you wish to subscribe to our marketing communications, we will use your name and email address to send communications to you."
email address,we,"services, advertising, analytics, legal, security","If you wish to subscribe to our marketing communications, we will use your name and email address to send communications to you."
information about you,we,services,"We are also working closely with third parties (including, for example, business partners, sub-contractors in technical, payment and delivery services, advertising networks, analytics providers, search information providers, credit reference agencies) and may receive information about you from them.
We may collect and process the following information about you.
We may receive information about you if you use any of the other websites we operate or the other services we provide."
information hold about you,we,services,We will only use information held about you for the following purposes.
information we collect about you,we,"services, advertising, analytics","Uses made of Information

Information we collect about you.
We will use this information:"
information we receive from source,we,"services, advertising, analytics","Uses made of Information

Information we receive from other sources.
We may use this information and the combined information for the purposes set out above (depending on the types of information we receive)."
person name,we,"services, advertising, analytics","If you wish to subscribe to our marketing communications, we will use your name and email address to send communications to you."
person name,we,"services, advertising, analytics, legal, security","If you wish to subscribe to our marketing communications, we will use your name and email address to send communications to you."
publicly accessible datum about you,we,"services, advertising, analytics, legal, security",Each time you use the Service we may automatically collect the following information: We may also collect publicly accessible data about you from social media websites that you visit when using the Service.
technical information browser send,we,"services, advertising, analytics, legal, security",Each time you use the Service we may automatically collect the following information: Technical information that your browser sends whenever you visit a website or your mobile app sends when you are using it.
