data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share your information with third-party service providers who help us operate and maintain Recruspace.
UNSPECIFIED_DATA,we,,"We may also disclose your information if we are required to do so by law or in the good faith belief that such disclosure is necessary to comply with legal process, protect the safety of others, or investigate fraud.
We may share your information with third-party service providers who help us operate and maintain Recruspace."
access time,we,,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
browser type,we,,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
cookie / pixel tag,we,,We use cookies and other tracking technologies to collect and store information about your use of Recruspace.
information about use of recruspace,we,,We use cookies and other tracking technologies to collect and store information about your use of Recruspace.
information we collect,we,services,We use the information we collect to: Provide and improve Recruspace services.
ip address,we,services,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
log datum,we,services,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
page view,we,services,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
recruspace,we,services,"Recruspace (""we,"" ""us,"" or ""our"") respects the privacy of our users (""you"" or ""your"")."
refer url,we,services,"We also collect information automatically when you use Recruspace, such as: Log Data: IP address, browser type, operating system, referring URL, access times, and page views."
trend,we,services,"These technologies help us recognize you and your preferences, analyze trends, and improve the overall user experience."
