data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators."
UNSPECIFIED_DATA,administrator,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators."
UNSPECIFIED_DATA,we,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators.
If you are the administrator for your organization, we may disclose your information to other users in your organization in accordance with your account settings and preferences.
We automatically collect certain types of information when you interact with our Services, such as when you visit our website or log into your account."
account setting,UNSPECIFIED_ACTOR,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators."
account setting,administrator,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators."
account setting,we,,"If you are a user, we may disclose certain information, including information about your account settings and your use of the Services, to your organization and its administrators."
auditor,professional advisor,,"We may disclose your personal information with professional advisors acting as service providers, processors, or controllers - including lawyers, bankers, auditors, and insurers who provide consultancy, banking, legal, insurance and accounting services."
banker,professional advisor,,"We may disclose your personal information with professional advisors acting as service providers, processors, or controllers - including lawyers, bankers, auditors, and insurers who provide consultancy, banking, legal, insurance and accounting services."
claim information,we,,"If your employer uses our broker Services, we may also collect and receive certain information, such as your insurance benefits and claims information, from insurers, and their appointed agents, where they are involved."
consultancy service,professional advisor,,"We may disclose your personal information with professional advisors acting as service providers, processors, or controllers - including lawyers, bankers, auditors, and insurers who provide consultancy, banking, legal, insurance and accounting services."
content,we,"advertising, analytics, services, legal","This Rippling User Privacy Notice (this "" Privacy  Notice "") describes how People Center, Inc. d/b/a Rippling and its affiliates (collectively "" Rippling "", "" we "", "" us "", and/or "" our "") collects and processes your personal information for our own purposes when you interact with Rippling and our websites, services, content, and any related software, mobile applications, and other applications (collectively, "" Services "")."
contract with,we,,"If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
cookie / pixel tag,we,"advertising, analytics, services","We use cookies and similar technologies to enable our systems to recognize your browser or device, to provide our Services, and to improve your experience.
We use cookies and similar technologies to understand how well our online advertising works, and deliver more targeted online advertising and marketing campaigns."
cookie / pixel tag,we,"advertising, analytics, services, legal","We use cookies and similar technologies to enable our systems to recognize your browser or device, to provide our Services, and to improve your experience.
We use cookies and similar technologies to understand how well our online advertising works, and deliver more targeted online advertising and marketing campaigns."
inference about interest,advertiser,,"Over the past twelve months, we may have disclosed your internet or other similar network activity, identifiers and location information, and inferences about your interests to third parties, including, advertising networks, data analytics providers, social networks and advertising partners."
inference about interest,analytic provider,,"Over the past twelve months, we may have disclosed your internet or other similar network activity, identifiers and location information, and inferences about your interests to third parties, including, advertising networks, data analytics providers, social networks and advertising partners."
inference about interest,social media,,"Over the past twelve months, we may have disclosed your internet or other similar network activity, identifiers and location information, and inferences about your interests to third parties, including, advertising networks, data analytics providers, social networks and advertising partners."
inference about interest,we,"advertising, analytics, services","Over the past twelve months, we may have disclosed your internet or other similar network activity, identifiers and location information, and inferences about your interests to third parties, including, advertising networks, data analytics providers, social networks and advertising partners."
information about data processing practice,we,"advertising, analytics, services","In connection with the provision of specific Services, we may provide additional ""just-in-time"" disclosures or additional information about our data processing practices."
information contain in invoice you issue to,we,"advertising, analytics, services","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
information necessary,we,"advertising, analytics, services","If your employer uses our insurance broker Services, we may collect your (and your dependents') identification information, social security number, insurance policy and claim information, and any other information necessary to provide the broker Services to our Customer."
information relate to access to to relevant customer,we,"advertising, analytics, services","If you are an accountant, broker, or another authorized representative of a Rippling customer, we may disclose information relating to your access to and use of our Services to the relevant customer."
information relate to transaction,UNSPECIFIED_ACTOR,,We disclose information related to those transactions to that third party.
information relate to transaction,we,"advertising, analytics, services",We disclose information related to those transactions to that third party.
insurance benefit,we,"advertising, analytics, services","If your employer uses our broker Services, we may also collect and receive certain information, such as your insurance benefits and claims information, from insurers, and their appointed agents, where they are involved."
insurance policy information,we,"advertising, analytics, services","If your employer uses our insurance broker Services, we may collect your (and your dependents') identification information, social security number, insurance policy and claim information, and any other information necessary to provide the broker Services to our Customer."
insurer,professional advisor,,"We may disclose your personal information with professional advisors acting as service providers, processors, or controllers - including lawyers, bankers, auditors, and insurers who provide consultancy, banking, legal, insurance and accounting services."
internet,advertiser,,"We provide ad companies with information (such as your internet or other similar network activity, identifiers such as your name and email address, location information, and inferences about your interests) to third parties, including, advertising networks that allows them to serve you with more useful and relevant Rippling ads and to measure their effectiveness."
internet,we,"advertising, analytics, services","We provide ad companies with information (such as your internet or other similar network activity, identifiers such as your name and email address, location information, and inferences about your interests) to third parties, including, advertising networks that allows them to serve you with more useful and relevant Rippling ads and to measure their effectiveness."
mobile application,we,"advertising, analytics, services, legal","This Rippling User Privacy Notice (this "" Privacy  Notice "") describes how People Center, Inc. d/b/a Rippling and its affiliates (collectively "" Rippling "", "" we "", "" us "", and/or "" our "") collects and processes your personal information for our own purposes when you interact with Rippling and our websites, services, content, and any related software, mobile applications, and other applications (collectively, "" Services "")."
personal information need,UNSPECIFIED_ACTOR,,"These third party service providers have access to personal information needed to perform their functions, but may not use it for other purposes."
proof of identity,we,"advertising, analytics, services, legal",Our security procedures mean that we may request proof of identity before we disclose personal information to you.
related software,we,"advertising, analytics, services, legal","This Rippling User Privacy Notice (this "" Privacy  Notice "") describes how People Center, Inc. d/b/a Rippling and its affiliates (collectively "" Rippling "", "" we "", "" us "", and/or "" our "") collects and processes your personal information for our own purposes when you interact with Rippling and our websites, services, content, and any related software, mobile applications, and other applications (collectively, "" Services "")."
ssn,we,"advertising, analytics, services, legal","If your employer uses our insurance broker Services, we may collect your (and your dependents') identification information, social security number, insurance policy and claim information, and any other information necessary to provide the broker Services to our Customer."
tax document,we,"advertising, analytics, services","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
tax document,we,"advertising, analytics, services, legal","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
tax identification number,we,"advertising, analytics, services, legal","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
tin,we,"advertising, analytics, services","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
tin,we,"advertising, analytics, services, legal","If you are a Rippling partner such as a contractor or a vendor, we may additionally collect certain information such as your Tax Identification Number ("" TIN "") or other tax documents, information contained in invoices you have issued to, or your contracts with, our mutual customers, and financial information (such as your bank account number)."
vendor information,we,"advertising, analytics, services, legal","We may receive information about you, such as contact and professional information, from other users, such as our customers or partners who may refer you to Rippling via our referral programs, or provide vendor and contractor information through our Bill Pay or Contractor Hub Services."
