data_type,collector,purpose,text
UNSPECIFIED_DATA,Amplitude,"analytics, services",Amplitude collects data to help us improve our website and understand user behavior.
UNSPECIFIED_DATA,Intercom,services,"Intercom may collect and process data to facilitate communication and provide customer support services.
Intercom may use cookies and similar tracking technologies to collect data from our website."
UNSPECIFIED_DATA,Segment.io,advertising,Segment.io collects data to help us improve our website and personalize our advertising efforts.
UNSPECIFIED_DATA,Stripe,,"For those existing customers who are billed with Stripe, the following data is sent, and stored by Stripe:"
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"Platform.sh may also use third-party service providers to assist with website hosting and management, and may share data with them as necessary for these purposes."
UNSPECIFIED_DATA,funnel.io,advertising,Funnel.io processes data to help us improve our website and personalize our advertising efforts.
UNSPECIFIED_DATA,hubsport,services,Hubsport collects data to help us improve our customer support and onboarding process.
UNSPECIFIED_DATA,platform.sh,services,"Platform.sh may also use third-party service providers to assist with website hosting and management, and may share data with them as necessary for these purposes.
Platform.sh may collect and process data to ensure the proper functioning of our website and to improve its performance."
UNSPECIFIED_DATA,we,"advertising, analytics","We use them in order to anonymously or pseudonymously analyse the use of the website, and present relevant offers to you."
cookie / pixel tag,Amplitude,"analytics, services",Amplitude uses cookies and similar tracking technologies to analyze your use of our website.
cookie / pixel tag,Google,,Information obtained via these cookies is transferred to Google servers and saved there.
cookie / pixel tag,Google,advertising,Information obtained via these cookies is transferred to Google servers and saved there.
cookie / pixel tag,Intercom,services,Intercom may use cookies and similar tracking technologies to collect data from our website.
cookie / pixel tag,Segment.io,"advertising, analytics",Segment.io uses cookies and similar tracking technologies to analyze your use of our website.
datum process via analysis conduct,saleslens,services,All Data processed via the analysis conducted by SalesLens are used by SalesLens only for the purpose of providing the service to the Users.
detail of access,we,"advertising, analytics","When you visit our website SalesLens.io, our server temporarily saves details of your access in its logs."
for infrastructure service provider,we,"advertising, analytics, services","When we use third parties to provide the services, for example infrastructure service providers, these third parties are only engaged after a comprehensive review."
information collect,Amplitude,"analytics, services","Amplitude may also share this information with third parties as required by law or as contracted by Amplitude.
Amplitude may use this information to generate aggregated and anonymized reports on website usage for us.
The information collected by Amplitude is transmitted to its servers and stored there."
information collect,Segment.io,"advertising, analytics","Segment.io may share this information with third parties as required by law or as contracted by Segment.io.
The information collected by Segment.io is transmitted to its servers and stored there."
information collect,UNSPECIFIED_ACTOR,services,"Amplitude may also share this information with third parties as required by law or as contracted by Amplitude.
Segment.io may share this information with third parties as required by law or as contracted by Segment.io.
The information collected by Amplitude is transmitted to its servers and stored there.
The information collected by Segment.io is transmitted to its servers and stored there."
information collect,server,,"The information collected by Amplitude is transmitted to its servers and stored there.
The information collected by Segment.io is transmitted to its servers and stored there."
information we collect,we,"advertising, analytics, services",We use the information we collect for the following purposes:
input,Google,"advertising, analytics","For this purpose your input will be communicated to and used by Google.
On behalf of the operator of this website, Google will use this information to evaluate your use of this service."
list of sub - processor,we,"advertising, analytics, services",We maintain a list of sub-processors here for your review in our Privacy Policy (28.2)
report,Google,"advertising, analytics","Google may give this information to further parties where legally required to do so, or these parties are contracted to by Google.
The analyses of your actions on our website is transferred to us in the form of reports."
report,UNSPECIFIED_ACTOR,services,"Google may give this information to further parties where legally required to do so, or these parties are contracted to by Google.
The analyses of your actions on our website is transferred to us in the form of reports."
truthful information,data subjects,,"In making modifications to their personal data, Data Subjects must provide only truthful, complete, and accurate information."
