data_type,collector,purpose,text
UNSPECIFIED_DATA,provider base in us,,"Where we use providers based in the US, we may transfer data to them if they are part of the Privacy Shield which requires them to provide similar protection to personal data shared between Europe and the US."
UNSPECIFIED_DATA,we,,"For this purpose we will hold your data for 12 months after engagement.
Privacy Policy

3.  How is your personal data collected?

We use different methods to collect data from and about you including through:
This enables you to ask us to suspend the processing of your personal data in the following scenarios: (a) if you want us to establish the data's accuracy; (b) where our use of the data is unlawful but you do not want us to erase it; (c) where you need us to hold the data even if we no longer require it as you need it to establish, exercise or defend legal claims; or (d) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it.
Where we use providers based in the US, we may transfer data to them if they are part of the Privacy Shield which requires them to provide similar protection to personal data shared between Europe and the US."
communication preference,we,,"Privacy Policy

2.  The data we collect about you

Marketing and Communications Data includes your preferences in receiving marketing from us and our third parties and your communication preferences."
datum about you,UNSPECIFIED_ACTOR,,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.
detail of product you purchase from we,we,advertising,"Privacy Policy

2.  The data we collect about you
Transaction Data includes details of products and services you have purchased from us."
different kind,we,advertising,"Privacy Policy

2.  The data we collect about you

We may collect, use, store and transfer different kinds of personal data about you which we have grouped together follows:"
different kind,we,"advertising, legal","Privacy Policy

2.  The data we collect about you

We may collect, use, store and transfer different kinds of personal data about you which we have grouped together follows:"
personal datum in structured use machine readable format,UNSPECIFIED_ACTOR,,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum in structured use machine readable format,we,advertising,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
preference in,we,"advertising, legal","Privacy Policy

2.  The data we collect about you

Marketing and Communications Data includes your preferences in receiving marketing from us and our third parties and your communication preferences."
specific information,we,"advertising, legal, security",We may need to request specific information from you to help us confirm your identity and ensure your right to access your personal data (or to exercise any of your other rights).
technical datum about equipment,we,"advertising, legal, security","As you interact with our website, we may automatically collect Technical Data about your equipment, browsing actions and patterns.
We collect this personal data by using cookies, and other similar technologies."
