data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We will provide your Personal Information in a portable and usable format that allows you to transfer data easily to another entity - provided that this is technically feasible;
file record interaction with scribble llc,UNSPECIFIED_ACTOR,services,"For operation and maintenance purposes, Scribble, LLC and any third-party services may collect files that record interaction with Scribble, LLC (System logs) or use other Personal Data (such as the IP Address) for this purpose."
file record interaction with scribble llc,scribble llc,services,"For operation and maintenance purposes, Scribble, LLC and any third-party services may collect files that record interaction with Scribble, LLC (System logs) or use other Personal Data (such as the IP Address) for this purpose."
information concern particular service upon,scribble llc,services,"In addition to the information contained in this privacy policy, Scribble, LLC may provide the User with additional and contextual information concerning particular Services or the collection and processing of Personal Data upon request."
personal data strictly necessary,iubenda,,iubenda hosts this content and only collects the Personal Data strictly necessary for it to be provided.
personal datum relate to user,we,,The Owner may process Personal Data relating to Users if one of the following applies:
personal information collect from you,we,,"We will use any Personal Information collected from you in connection with the verification of your request solely for verification and shall not further disclose the Personal Information, retain it longer than necessary for purposes of verification, or use it for unrelated purposes."
request,we,legal,"To exercise the rights described above, you need to submit your request to us by contacting us via the contact details provided in this document."
system log,UNSPECIFIED_ACTOR,services,"For operation and maintenance purposes, Scribble, LLC and any third-party services may collect files that record interaction with Scribble, LLC (System logs) or use other Personal Data (such as the IP Address) for this purpose."
system log,scribble llc,services,"For operation and maintenance purposes, Scribble, LLC and any third-party services may collect files that record interaction with Scribble, LLC (System logs) or use other Personal Data (such as the IP Address) for this purpose."
