data_type,collector,purpose,text
UNSPECIFIED_DATA,script,,"Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service."
UNSPECIFIED_DATA,track technology use,,"Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service."
collect datum,sertifier,"advertising, analytics, security, services",Sertifier uses the collected data for various purposes:
contact information,we,,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
geolocation,we,"advertising, analytics, services","We may use and store information about your location if you give us permission to do so (""Location Data"").
We use this data to provide features of our Service, to improve and customize our Service."
information about,we,"advertising, analytics, services","We may also collect information about how the Service is accessed and used (""Usage Data"")."
information about use of site,advertiser,,"We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've provided to them or that they've collected from your use of their services."
information about use of site,analytic provider,,"We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've provided to them or that they've collected from your use of their services."
information about use of site,social media,,"We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've provided to them or that they've collected from your use of their services."
information about use of site,we,"advertising, analytics, services","We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've provided to them or that they've collected from your use of their services."
information you provide about yourself,we,"advertising, analytics, services",We use the information you provide about yourself when placing an order only to complete that order and to provide excellent customer service during the term of your service.
lead encryption,we,"advertising, analytics, services, security",We use industry-leading encryption to protect all external traffic in transit (via HTTPS/TLS) and at rest (using AES-256 and an automated key rotation system).
personal identifier,we,"advertising, analytics, services, security","While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
