data_type,collector,purpose,text
Stripe,third party payment processor,,"If you become a Paid User, a third party payment processor, such as Stripe, will collect payment information such as credit card number, expiration date, and billing address."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
UNSPECIFIED_DATA,we,,"The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
account information,we,"security, services","We use your account information in order to create and maintain your account, and verify access to our Site."
aggregate / deidentified / pseudonymized information,we,"security, services",We may retain anonymous information as described above as long as it's legally allowed so that we can continue improving the Site and its Services.
billing information,we,"security, services","We use your billing information in order to process subscription payments, verify your eligibility to use our Services, and notify you of current and future charges."
contact information,we,"security, services",We will also retain your contact information if you choose to continue receiving marketing or other communications from us.
content,we,"security, services","We use the content provided in emails, direct messages, texts, and other communications you include Skej on in order to find and present availability, scheduling and modify meetings, update preferences, and save contact information."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
cookie / pixel tag,we,"security, services","The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
data we receive,we,"security, services, analytics",The data we receive is anonymous and we use this data to see where users are clicking and where they are spending their time which helps us improve our Store and customer service standards.
direct message,skej,services,"Skej may also process these messages to complete any additional tasks and responsibilities you request Skej complete.
We use the content provided in emails, direct messages, texts, and other communications you include Skej on in order to find and present availability, scheduling and modify meetings, update preferences, and save contact information."
information submit for user account,we,"security, services, analytics",We will retain the information submitted for your user account as long as you are an active User of Skej.
pixel,UNSPECIFIED_ACTOR,"analytics, services","The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
pixel,we,"security, services, analytics","The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
postal address,we,"security, services, analytics",We will only have access to the last 4 digits of your credit card and billing address.
private information,we,"security, services, analytics","For Skej to work its magic, we need to collect certain private information from our users, but we don't take that responsibility lightly."
small data file send to skej from hard drive,UNSPECIFIED_ACTOR,"analytics, services","The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
small data file send to skej from hard drive,we,"security, services, analytics","The Site and affiliated third parties may use ""cookies"" (a small data file sent to Skej from your hard drive), embedded scripts, pixels, or web beacons (""Tracking Technologies"") to collect information automatically as you interact with the website."
written authorization,we,"security, services, analytics","To do so, you must provide written authorization to your designated agent, and your agent must submit this written authorization to us along with any request."
