data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,", we may transfer your information to a third party or parties in connection therewith."
UNSPECIFIED_DATA,we,security,", we may transfer your information to a third party or parties in connection therewith.
For example, we may obtain information from you directly through the forms you complete using the Site and/or Services.
To verify your identity, we may require you to log into your Skilljar account (if applicable), provide government identification, give a declaration as to your identity under the penalty of perjury and/or provide additional information.
We will retain your information for the period necessary to fulfill the purposes outlined in this Privacy Notice unless a longer retention period is required or permitted by law."
coarse geolocation,we,"security, services","We automatically collect other information about you, including: Your approximate geographic location;
We collect the following types of information in the manner described below."
cookie / pixel tag,Google,,"Google Analytics uses cookies to collect and store anonymous information such as Site pages visited, time spent on each Site page, Internet Protocol address and type of operating system used."
cookie / pixel tag,we,"security, services","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We, along with our third-party service partners and business partners, use cookies, other storage, and Web beacons."
domain name of internet service provider,we,"security, services","We automatically collect other information about you, including: Domain name of your Internet service provider;
We collect the following types of information in the manner described below."
email address,we,"security, services","You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
government identification,we,"security, services","To verify your identity, we may require you to log into your Skilljar account (if applicable), provide government identification, give a declaration as to your identity under the penalty of perjury and/or provide additional information."
information necessary,we,"security, services",We may require you to submit additional information necessary to verify your identity and status as an EU data subject.
information we collect,we,"security, services, analytics, legal","Further, we may also use or disclose the information that we collect for one or more of the following marketing or advertising purposes:
We may also use or disclose the information that we collect for one or more of the following business purposes, which do require that we share the collected information with certain third parties in accordance with applicable law (""compliance processing purposes""):
We may use or disclose the information that we collect for one or more of the following business purposes, which do not require that we share the collected information with any third parties apart from our service providers (""internal processing purposes""):"
information you contact we,we,"security, services, analytics, legal","We collect the following types of information in the manner described below.
You may voluntarily provide us with information, including: Information when you contact us; and"
information you provide in,we,"security, services, analytics, legal","You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
information you provide we within,we,"security, services, analytics, legal","We collect the following types of information in the manner described below.
You may voluntarily provide us with information, including: Any other information you voluntarily provide us within using the Site and Services, including comments and other content."
ip address,we,"security, services","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We automatically collect other information about you, including: Your Internet Protocol address;
We collect the following types of information in the manner described below."
ip address,we,"security, services, analytics, legal","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We automatically collect other information about you, including: Your Internet Protocol address;
We collect the following types of information in the manner described below."
non-personal information,we,"security, services","We automatically collect other information about you, including: Aggregated information that cannot be used to specifically identify you when you use or visit the Site and Services.
We collect the following types of information in the manner described below."
non-personal information,we,"security, services, analytics, legal","We automatically collect other information about you, including: Aggregated information that cannot be used to specifically identify you when you use or visit the Site and Services.
We collect the following types of information in the manner described below."
person name,company with whom you form business relationship for personal purpose,,"Under California's Shine the Light law, you may also ask companies with whom you have formed a business relationship primarily for personal, family or household purposes to provide the names of third parties to which they have disclosed certain personal information (as defined under the Shine the Light law) during the preceding calendar year for their own direct marketing purposes and the categories of personal information disclosed."
person name,we,"security, services, analytics, legal","We collect the following types of information in the manner described below.
You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
personal information,LINE,,We may share personal information with the following categories of parties: Third Party Service Providers and Business Partners.
personal information,UNSPECIFIED_ACTOR,advertising,"Personal information may be disclosed to third parties for the purposes described in this Privacy Notice.
Skilljar may 'sell' or 'share' your personal information with third parties for purposes of targeted advertising.
We may share personal information with the following categories of parties: Third Party Service Providers and Business Partners."
personal information,business change,,We may share personal information with the following categories of parties: Business Changes.
personal information,investigation,,We may share personal information with the following categories of parties: Investigations and Law.
personal information,marketing partner,advertising,"We may disclose certain personal information with our marketing partners and service providers for purposes of ""cross-context behavioral advertising,"" or targeted advertising regarding Skilljar's products and services based on personal information that we obtain from your activity across distinctly branded websites or services."
personal information,marketing partners,,We may share personal information with the following categories of parties: Marketing Partners.
personal information,service provider,advertising,"We may disclose certain personal information with our marketing partners and service providers for purposes of ""cross-context behavioral advertising,"" or targeted advertising regarding Skilljar's products and services based on personal information that we obtain from your activity across distinctly branded websites or services."
personal information,skilljar,advertising,Skilljar may 'sell' or 'share' your personal information with third parties for purposes of targeted advertising.
