data_type,collector,purpose,text
UNSPECIFIED_DATA,controller,,"Controllers must provide information in response to a customer request free of charge, up to twice annually per customer."
UNSPECIFIED_DATA,service provider in ukraine,,We also share some data with our service providers in Ukraine.
UNSPECIFIED_DATA,we,"advertising, services","Additionally, if you participate in the beta testing of the iOS version, we may receive data from Apple, including:
Before we start

We process two categories of data: technical and personal data you provide to us.
Given that the major updates are rare and Spark works closely with the users' requests for new features, we may keep your data for up to a few years (but no longer than 6 years after the User account is deemed abandoned) to keep you informed of new opportunities Spark offers.
In addition, we can share your data on the following grounds: consent, compliance with the law (or legal obligation), and legitimate interest.
The data is stored in the USA by default, but we may need to process your personal data in another country.
We also share some data with our service providers in Ukraine.
We are processing data on behalf of Organizations or Enterprises (based on the agreed instructions provided in the Data Processing Agreement; you may request a copy of our Data Processing Agreement at dpo@sparkmailapp.com ).
We may keep and process this data for a few years but no longer than 6 years (as provided by the general statute of limitations in Ireland) and do not use your data for any other purposes except those mentioned in this section.
We process the data based on your consent during the general term unless you withdraw it.
We store your data in the backups of databases.
We transfer your data for payment processing on our behalf.
We use Typeform to collect information from our users in embed forms.
We use your data for the synchronization of accounts.
We will use your data to prepare a proposal for our product development team and your email and name to contact you for more details (if needed) and notify you of the implemented features resulting from your request.
we only collect and use your data where we have a legal basis to do so;"
access,we,"advertising, services, legal","With regard to the access to Google User Data as specified above, we will: use access only to read, write, modify, or control Gmail message bodies (including attachments), metadata, headers, and settings to provide a web email client that allows Users to compose, send, read, and process emails and will not transfer this Gmail data to others unless doing so is necessary to provide and improve these features, comply with applicable law, or as part of a merger, acquisition, or sale of assets;"
access email message,we,"advertising, services, legal",": We need this information to provide Spark Services to you and your teammates, such as private discussions around email, shared drafts, shared email conversations, and shared inboxes.
Recently accessed email messages, collaboration threads, and shared inboxes"
account datum,we,"advertising, services, legal","For example, data we collect from you or the third parties on your behalf would include payment history, requests, app usage data, account data, technical data."
accountant,subcontractor,,"We may share your personal data with other Subcontractors, such as auditors, lawyers, accountants, software engineers, and other specialists and experts that we may engage on a contractual basis."
alarm system,we,"advertising, services, legal, security","To be more specific, to protect your personal data, we use HTTPS and encryption, divided group and individual access (where appropriate), alarm systems, corporate VPN, written approved internal policies (like password policy and physical access policy)."
analytic on feedback,we,"advertising, services, legal, security, analytics","To enhance the App experience, we collect analytics on the feedback to understand the most frequent inquiries and identify areas for improvement within the App."
apns device token,we,"advertising, services, legal, security, analytics","If you choose to participate in our beta testing program as outlined in our Beta Tester Agreement, we will process the following data to provide you with the Service and manage your access to the beta testing: Device Information : IP address, device settings, device information, APNS device token, and an app token we assign to you."
app token we assign to you,we,"advertising, services, legal, security, analytics","If you choose to participate in our beta testing program as outlined in our Beta Tester Agreement, we will process the following data to provide you with the Service and manage your access to the beta testing: Device Information : IP address, device settings, device information, APNS device token, and an app token we assign to you."
app version,we,"advertising, services, legal, security, analytics","We automatically collect some technical information (platform, app version, date of installation, Spark ID and Braze ID) for a detailed analysis of your proposal."
aspect of personal datum,we,"advertising, services, legal, security, analytics","Please note that if you request erasure of your personal data, we may deny your request or may retain some aspects of your personal data if it is necessary for us or our service providers to:"
associate datum,we,"advertising, services, legal, security, analytics","If you submit customer support requests, feature requests, feedback, or log files during beta testing, we may process the associated data and files provided with such communications."
audio stream,ai provider,,The AI provider may retain the audio stream for up to thirty (30) days as part of its abuse and misuse monitoring processes.
auditor,subcontractor,,"We may share your personal data with other Subcontractors, such as auditors, lawyers, accountants, software engineers, and other specialists and experts that we may engage on a contractual basis."
backend datum,we,"advertising, services, legal, security, analytics","For example, we keep backend data taking into account organizational and technical measures to ensure the security of your data."
backup,we,"advertising, services, legal, security, analytics","Here we store our databases, logs, and backups."
base technology company maintain,we,"advertising, services, legal, security, analytics","Privacy Policy for App

Definitions

"" Spark "", "" Spark Mail "", "" we "", "" our "", "" us "": Spark Mail Limited, an Ireland-based technology company that maintains and operates Spark Mail App ("" App "")."
braze id,we,"advertising, services, legal, security, analytics","We automatically collect some technical information (platform, app version, date of installation, Spark ID and Braze ID) for a detailed analysis of your proposal."
browsing / search history,UNSPECIFIED_ACTOR,,"When you visit our websites, third parties can collect personal data about your online activities over time and across different websites on your visit to or use our and other websites."
connection,we,"advertising, services, legal, security, analytics","Your IP address is a unique identifier that lets you connect to the Internet, and our service will log connections for security and troubleshooting purposes."
corporate vpn,we,"advertising, services, legal, security, analytics","To be more specific, to protect your personal data, we use HTTPS and encryption, divided group and individual access (where appropriate), alarm systems, corporate VPN, written approved internal policies (like password policy and physical access policy)."
corresponding datum mention,we,"advertising, services, legal, security, analytics","For specific features such as Spark +AI, My Writing Style, and Smart Notifications, we will process the corresponding data mentioned above."
data sharing with third party,we,"advertising, services, legal, security, analytics","Data Sharing with Third Parties
We process these personal data only to enable you to use Spark Mail or its particular features (for example, to fix the bugs that do not allow your device to launch the app)."
database,we,"advertising, services, legal, security, analytics","Here we store our databases, logs, and backups."
