data_type,collector,purpose,text
UNSPECIFIED_DATA,speak ai inc.,"analytics, services","If You are logged into social media websites or applications (such as Facebook, Instagram, Twitter, among others, and individually and collectively, ""Social Media Services"") on pages and/or locations that are related to Speak Ai Inc.'s Product, Speak Ai Inc. may receive information from such Social Media, in which case Speak Ai Inc. may collect and store information identifying Your account with the Social Media Services;
The Client and/or End-User agrees that Speak Ai Inc. shall have the right to collect and analyze data and other information relating to the provision, use and performance of various aspects of Speak Ai Inc. products and related systems and technologies, and Speak Ai Inc. will be free (during and after the Initial Term or subsequent Renewal Term) to (i) use such information and data to improve and enhance Speak Ai Inc. products generally, (ii) for other development, diagnostic and corrective purposes in connection with the Products and Services, and (ii) disclose such data solely in aggregate, anonymous, and non-identifiable form that is in no way connected Client and/or End-User or its business."
cookie / pixel tag,speak ai inc.,"analytics, services, legal, security","Speak Ai Inc. may also use Cookies that are created by the Product to secure Your login session and to help ensure the security of Your account.
Speak Ai Inc. may use session Cookies and usage data to fulfil the Purpose, by tracking information about You as related to Your usage of the Product, and correlating to other personally identifiable information collected while on the Product or connected to Speak Ai Inc.'s third party processors (as listed in Section 5 to this Privacy Policy entitled List Of ""Third Party Providers And End-User Data Storage Providers"")."
datum about you,UNSPECIFIED_ACTOR,,Clicking on those links or enabling those connections may allow the third party to collect or share data about You.
electronic information,we,,We may collect electronic information from You from the following sources:
end user datum,speak ai inc.,"analytics, services, legal, security","Speak Ai Inc. will provide physical and electronic safeguards with regard to the storage of Personal Information as required by law, however, and pursuant to disclaimer provided in the Terms of Service, You understand that in order for Speak Ai Inc. to operate the Product, End-User Data may be transmitted by You to Speak Ai Inc. over the internet, public networks or otherwise, and You acknowledge that no such data transmission can be guaranteed to be completely secure, and that, beyond Speak Ai Inc.'s requirements to provide a warranty on information security [as required by law or in accordance with the security protocols agreed to by the parties hereto in writing] , Speak Ai Inc. cannot warrant the security of any information You transmit to us, and that You do so at Your own risk."
information be,speak ai inc.,"analytics, services, legal, security","As part of this registration, Speak Ai Inc. will require that You submit certain information that is relevant to the purposes of the Product (e.g. by filling in forms or corresponding with us by phone, email, or otherwise purchasing our Products)."
internet activity,speak ai inc.,"analytics, services, legal, security","Speak Ai Inc. may use session Cookies and usage data to fulfil the Purpose, by tracking information about You as related to Your usage of the Product, and correlating to other personally identifiable information collected while on the Product or connected to Speak Ai Inc.'s third party processors (as listed in Section 5 to this Privacy Policy entitled List Of ""Third Party Providers And End-User Data Storage Providers"")."
non-personal information,speak ai inc.,"analytics, services, legal, security","Data that is non-Personal Information may be kept by Speak Ai Inc. for an indefinite period however, this does not constitute a guarantee that Speak Ai Inc. will keep the data indefinitely."
personal information,UNSPECIFIED_ACTOR,,"To fulfil the Purpose, Speak Ai Inc. may share Personal Information or with Speak Ai Inc.'s affiliates, acquirers or third-party collaborator or vendors (as listed in Section 5 to this Privacy Policy entitled List Of ""Third Party Providers And End-User Data Storage Providers""), subject to the following conditions:
Where a third party to this Privacy Policy directly or indirectly provides Speak Ai Inc. with the ability to provide the Product to You, Speak Ai Inc. may supply Personal Information to such Third Party in exchange for fulfilling Speak Ai Inc.'s Purpose and providing corresponding value to the third party, and such third parties are listed in Section 5 of this Privacy Policy entitled ""List of Third Party Processors And End-User Data Storage Providers""."
personal information,acquirer,,"To fulfil the Purpose, Speak Ai Inc. may share Personal Information or with Speak Ai Inc.'s affiliates, acquirers or third-party collaborator or vendors (as listed in Section 5 to this Privacy Policy entitled List Of ""Third Party Providers And End-User Data Storage Providers""), subject to the following conditions:"
personal information,speak ai inc.,"analytics, services, legal, security","Speak Ai Inc. may collect and store information (including Personal Information) locally on Your device using mechanisms such as Product data caches, ""Cookies"" (cookies, pixel tags or other similar technologies which are small data files that are stored on an End-User's device for record-keeping purposes that track where You travel on the Product and what You look at, on single sessions or accumulated over time.
To fulfil the Purpose, Speak Ai Inc. may share Personal Information or with Speak Ai Inc.'s affiliates, acquirers or third-party collaborator or vendors (as listed in Section 5 to this Privacy Policy entitled List Of ""Third Party Providers And End-User Data Storage Providers""), subject to the following conditions:
Where a third party to this Privacy Policy directly or indirectly provides Speak Ai Inc. with the ability to provide the Product to You, Speak Ai Inc. may supply Personal Information to such Third Party in exchange for fulfilling Speak Ai Inc.'s Purpose and providing corresponding value to the third party, and such third parties are listed in Section 5 of this Privacy Policy entitled ""List of Third Party Processors And End-User Data Storage Providers""."
personal information,we,,"No one under age 13 may provide any personal information to or on the Website.
We will only use your personal information in accordance with this Privacy Policy unless otherwise required by applicable law."
personal information of customer,we,,"This Privacy Policy outlines how we collect, use, disclose, and protect the personal information of our Customers and website users and our practices for collecting, using, maintaining, protecting and disclosing that information when You (as defined below) visit the website (www.speakai.co) (our ""Website"")."
several type,we,,"We collect and use several types of information from and about You when using our Products, including:"
social media,we,,"Speak Ai Inc. collects content that You upload, post, and/or share to Speak Ai Inc.'s Product which includes Speak Ai Inc.'s Social Media Services."
