data_type,collector,purpose,text
Tidio Poland,Squiz Australia,,"Squiz Pty Ltd and the other Squiz entities in the Squiz group (including Squiz Australia Pty Ltd, Squiz Inc, Squiz Limited (New Zealand), Squiz Poland sp. z.o.o., Squiz Scotland Ltd,  Squiz UK Limited, Funnelback Pty Ltd, Funnelback UK Ltd and Funnelback Inc) (Squiz) are the controllers of and have access to your information for use in accordance with this Privacy Notice."
UNSPECIFIED_DATA,Squiz Australia,,"Squiz Pty Ltd and the other Squiz entities in the Squiz group (including Squiz Australia Pty Ltd, Squiz Inc, Squiz Limited (New Zealand), Squiz Poland sp. z.o.o., Squiz Scotland Ltd,  Squiz UK Limited, Funnelback Pty Ltd, Funnelback UK Ltd and Funnelback Inc) (Squiz) are the controllers of and have access to your information for use in accordance with this Privacy Notice."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, security, services","We will only disclose your information to third-party companies for their own purposes, including marketing their products and services when we have a legal basis to do so.
When you provide us with your information or use our services, we may transfer your information to      other members of the Squiz group or to third parties in another country (including outside the European Economic Area) but will do so with appropriate measures and controls in place to protect that information in accordance with applicable data protection legislation.
Where we provide you with a service that is dependent on age or residency and we have an obligation to verify this information then we may pass your details to a third party to carry out the verification for us."
UNSPECIFIED_DATA,successor of business,,"If this happens, your information may be disclosed to any successors of our business for them to use for the purposes set out in this Privacy Notice."
UNSPECIFIED_DATA,we,"advertising, security, services","In some cases, we may request additional information to validate your request or where necessary to process your request.
In this California-specific section, we provide information as required under California privacy laws, including the California Consumer Privacy Act, as amended by the California Privacy Rights Act (collectively, CCPA), which require that we provide information to California residents about how we handle their personal information (as defined by the CCPA), whether collected online or offline.
Privacy policy

9. User access and controls

(i) if you want us to establish the data's accuracy; (ii) where our use of the data is unlawful but you do not want us to erase it; (iii) where you need us to hold the data even if we no longer require it as you need it to establish, exercise or defend legal claims; or (iv) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it.
This Privacy Notice explains: how long we keep that information;
This Privacy Notice explains: what information we collect and why we collect it;
We may also use suppliers to collect your information on our behalf but the use of your information will still be subject to this Privacy Notice;
We will only disclose your information to third-party companies for their own purposes, including marketing their products and services when we have a legal basis to do so.
We will retain your information for as long as necessary for the uses set out in this Privacy Notice.
When you browse our website, we collect information as set out in the table above in order to improve user experience and to keep the website secure.
When you give us information about another person, you confirm that they have agreed that you can share their information with us and have given them a copy of this Privacy Notice.
When you provide us with your information or use our services, we may transfer your information to      other members of the Squiz group or to third parties in another country (including outside the European Economic Area) but will do so with appropriate measures and controls in place to protect that information in accordance with applicable data protection legislation.
Where we provide you with a service that is dependent on age or residency and we have an obligation to verify this information then we may pass your details to a third party to carry out the verification for us."
category of personal information identify in table,we,"advertising, security, services","As noted above, in general, we may collect the categories of personal information identified in the table above directly from you, and automatically related to your use of our Services and interactions with us, as well as from third parties."
commercial information,we,"advertising, security, services","We may ""share"" (as defined by the CCPA) Identifiers, Customer Records, Commercial Information and Location Data with our Affiliates."
contact information,we,"advertising, security, services","For example, we need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us.
For example, we would need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us."
contact information,we,"advertising, security, services, analytics, legal","For example, we need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us.
For example, we would need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us."
customer record,we,"advertising, security, services","We may ""share"" (as defined by the CCPA) Identifiers, Customer Records, Commercial Information and Location Data with our Affiliates."
geolocation,we,"advertising, security, services","We may ""share"" (as defined by the CCPA) Identifiers, Customer Records, Commercial Information and Location Data with our Affiliates."
identifier,we,"advertising, security, services","We may ""share"" (as defined by the CCPA) Identifiers, Customer Records, Commercial Information and Location Data with our Affiliates."
information we have in record,we,"advertising, security, services","When you submit a request to know, to correct, or to delete, we will take steps to verify your request by matching the information provided by you with the information that we have in our records.
You must provide us with this information, e.g., via email and verify your access to the registered email address for your account, to validate your request."
person name,we,"advertising, security, services","For example, we need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us.
For example, we would need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us."
person name,we,"advertising, security, services, analytics, legal","For example, we need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us.
For example, we would need to retain your name and contact details for suppression purposes if you do not want to receive direct marketing from us."
personal information identify in table,we,"advertising, security, services, analytics, legal","As described in more detail in the table above, in general, we collect and otherwise process the personal information identified in the table above to provide our Services to you, respond to and fulfill your orders and requests, as otherwise directed or consented to by you, and for the following business or commercial purposes:"
personal information in structured use machine readable format,UNSPECIFIED_ACTOR,"advertising, security, services","We will provide to you, or a third party you have chosen, your personal information in a structured, commonly used, machine-readable format."
personal information in structured use machine readable format,we,"advertising, security, services, analytics, legal","We will provide to you, or a third party you have chosen, your personal information in a structured, commonly used, machine-readable format."
sensitive personal information about california resident,we,"advertising, security, services, analytics, legal","Notwithstanding the purposes described above, we do not collect, use or disclose sensitive personal information about California residents beyond the purposes authorized by the CCPA (pursuant to Cal Civ. Code SS 1798.121 and SS 7027(l) of the CCPA regulations).  Accordingly, we only use and disclose sensitive personal information about California residents as reasonably necessary and proportionate: (i) to perform our services requested by you; (ii) to help ensure security and integrity, including to prevent, detect, and investigate security incidents; (iii) to detect, prevent and respond to malicious, fraudulent, deceptive, or illegal conduct; (iv) to verify or maintain the quality and safety of our services; (v) for compliance with our legal obligations; (vi) to our service providers who perform services on our behalf; and (vii) for purposes other than inferring characteristics about you."
