data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"analytics, services",Neither we nor our partners use your data to train or create LLMs (large language models).
UNSPECIFIED_DATA,advertiser,,"These companies may use cookies and similar technologies to collect information about your interactions (including the data described in the automatic data collection section above) over time and across the Service, our communications and other online services, and use that information to serve online ads that they think will interest you.
We may engage third-party advertising companies and social media companies to display ads on our Service and other online services."
UNSPECIFIED_DATA,we,"analytics, services","Additionally, with your consent, we may link your account with your Gmail account, Microsoft Office 365 account, or other similar service, which allows us to obtain information from those accounts for purposes of providing the Service to you (e.g., your calendar, emails, and contacts).
For example, other users of the Service or the public may have access to your information if you choose to make your profile or other personal information available to them through the Service via settings, such as when you provide comments, reviews, survey responses, or share other content.
If you choose to log in to the Service via Google or another third-party platform or social media network, or otherwise connect your account on the third-party platform or network to your account through the Service, we may collect information from that platform or network.
Neither we nor our partners use your data to train or create LLMs (large language models).
This information can be seen, collected and used by others, including being cached, copied, screen captured or stored elsewhere by others (e.g., search engines), and we are not responsible for any such use of information."
aggregate / deidentified / pseudonymized information,we,"analytics, services","We may create anonymous, aggregated or de-identified data from your personal information and other individuals whose personal information we collect so that it is no longer personally identifiable.
We may use this data and share it with third parties for our lawful business purposes, including to analyze and improve the Service and promote our business."
cookie / pixel tag,advertiser,,"These companies may use cookies and similar technologies to collect information about your interactions (including the data described in the automatic data collection section above) over time and across the Service, our communications and other online services, and use that information to serve online ads that they think will interest you.
We may engage third-party advertising companies and social media companies to display ads on our Service and other online services."
cookie / pixel tag,we,"analytics, services","Like many online services, we use the following technologies: Cookies , which are text files that websites store on a visitor's device to uniquely identify the visitor's browser or to store information or settings in the browser for the purpose of helping you navigate between pages efficiently, remembering your preferences, enabling functionality, helping us understand user activity and patterns, and facilitating analytics and online advertising.
Like many online services, we use the following technologies: Web beacons , also known as pixel tags or clear GIFs, which are used to demonstrate that a webpage or email address was accessed or opened, or that certain content was viewed or clicked."
credit / debit card number,payment processor,,"Any payment card information you use to make a purchase on the Service is collected and processed directly by our payment processors, such as Stripe."
email address,we,"analytics, services","Also, if you choose to share and collaborate on a task with your co-workers or friends, we will collect the email addresses of your co-workers or friends."
email address,we,"analytics, services, advertising, legal, security","Also, if you choose to share and collaborate on a task with your co-workers or friends, we will collect the email addresses of your co-workers or friends."
information about user,UNSPECIFIED_ACTOR,"analytics, services, advertising",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information about user,we,"analytics, services, advertising",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
mobile application,we,"analytics, services, advertising, legal, security","This Privacy Policy describes how we handle personal information that we collect through our website and mobile application (collectively, the ""Service""), as well as through social media, our marketing activities, and other activities described in this Privacy Policy."
personal information need,we,"analytics, services, advertising, legal, security",We will share personal information that is needed for these other companies to provide the services that you have requested.
personal information you authorize we,we,"analytics, services, advertising, legal, security","If you have enabled features or functionality that connect the Service to a third-party platform or social media network (such as by logging in to the Service using your account with the third-party, providing your API key or similar access token for the Service to a third party, or otherwise linking your account with the Service to a third party's services), we may disclose the personal information that you authorized us to share."
prize selection choice,we,"analytics, services, advertising, legal, security","In some situations, we may need additional information as a part of the entry process, such as a prize selection choice."
sticky,we,"analytics, services, advertising, legal, security","Sticky Technologies, Inc. (""Sticky,"" ""we"", ""us"" or ""our"") respects your privacy and is committed to protecting it through our compliance with this Privacy Policy."
