data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"These third parties may have access to your information only for purposes of performing these tasks on our behalf and under obligations similar to those in this Privacy Policy.
We may share your information with a third party application with your consent, for example when you choose to access our Services through such an application."
UNSPECIFIED_DATA,we,"analytics, legal, services","If we are involved in a merger, acquisition, or sale of all or a portion of our assets, your information may be transferred as part of that transaction, but we will notify you (for example, via email and/or a prominent notice on our website) of any change in control or use of your information, or if your information becomes subject to a different Privacy Policy.
We also collect some information (ourselves or using third party services) using logging and cookies, such as IP address, which can sometimes be correlated with Personal Information.
We also use technologies such as cookies, JavaScript, local storage (as defined below), pixel tags and scripts to collect information, provide a better user experience, and improve our Services.
We may collect and store the following information when running our Service:
We may retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
We may share your information with a third party application with your consent, for example when you choose to access our Services through such an application.
We use this information for the above purposes and to monitor and analyze use of the Service, for the Service's technical administration, to increase our Service's functionality and user-friendliness, and to verify users have the authorization needed for the Service to process their requests.
We will retain your information for as long as your Account is active or as needed to provide you the Services."
affiliated software,we,"analytics, legal, services","This is the Privacy Policy of the Sunsama.com website and any affiliated software and mobile applications (collectively, the ""Site""), operated by Summay, Inc. (together with our affiliates and subsidiaries, ""Summay"", ""we"", ""us"", ""our"" and terms of similar meaning) and our related products and services (collectively, the ""Service"" or ""Services"")."
calendar information,we,"analytics, legal, services","For example, your calendar information may be integrated into your Account, and, if you are invited to attend a meeting, or if you invite others to attend a meeting, your meeting notes may automatically be posted to your calendar and so shared with the other meeting attendees (whether or not they are Account holders).
You can also use the Services to share your User Content with other third parties."
contact information,we,"analytics, legal, services","We may collect personal information that can be used to contact or identify you, and may include information such as an individual's name, email address, mailing address, telephone number, and payment or bank account details (""Personal Information"").
When you invite others to join Summay, you provide us with certain contact information that allows us to send an invitation."
email address,we,"analytics, legal, services","If you create an Account using your login credentials from one of your Third Party Accounts, we may access and collect your name and email address and other Personal Information that your privacy settings on the Third Party Account permit us to access, subject to the terms of this Privacy Policy.
In all cases, we may collect your name and email address and the names and email addresses of your email contacts, subject to the terms of this Privacy Policy."
information from device,we,"analytics, legal, services","When you use the Service, we may automatically record information from your Device, its software, and your activity using the Services."
information we collect from you as part of normal operation of site,we,"analytics, legal, services","It describes the information that we collect from you as part of the normal operation of our Site, and how we use and disclose this information."
mobile application,we,"analytics, legal, services","This is the Privacy Policy of the Sunsama.com website and any affiliated software and mobile applications (collectively, the ""Site""), operated by Summay, Inc. (together with our affiliates and subsidiaries, ""Summay"", ""we"", ""us"", ""our"" and terms of similar meaning) and our related products and services (collectively, the ""Service"" or ""Services"")."
person name,we,"analytics, legal, services","If you create an Account using your login credentials from one of your Third Party Accounts, we may access and collect your name and email address and other Personal Information that your privacy settings on the Third Party Account permit us to access, subject to the terms of this Privacy Policy.
In all cases, we may collect your name and email address and the names and email addresses of your email contacts, subject to the terms of this Privacy Policy."
personal identifier,we,"analytics, legal, services","We may collect personal information that can be used to contact or identify you, and may include information such as an individual's name, email address, mailing address, telephone number, and payment or bank account details (""Personal Information"")."
related product,we,"analytics, legal, services","This is the Privacy Policy of the Sunsama.com website and any affiliated software and mobile applications (collectively, the ""Site""), operated by Summay, Inc. (together with our affiliates and subsidiaries, ""Summay"", ""we"", ""us"", ""our"" and terms of similar meaning) and our related products and services (collectively, the ""Service"" or ""Services"")."
report provide,we,"analytics, legal, services","We use reports provided by Facebook Pixel to help us understand website traffic and webpage usage.
We use reports provided by Google Analytics to help us understand website traffic and webpage usage."
sunsama.com website,we,"analytics, legal, services","This is the Privacy Policy of the Sunsama.com website and any affiliated software and mobile applications (collectively, the ""Site""), operated by Summay, Inc. (together with our affiliates and subsidiaries, ""Summay"", ""we"", ""us"", ""our"" and terms of similar meaning) and our related products and services (collectively, the ""Service"" or ""Services"")."
