data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Swit may share Other Information with its corporate affiliates, parents and/or subsidiaries.
Swit may share Other Information with third parties when we have consent to do so.
When enabled, Swit may share Other Information with Third Party Services."
UNSPECIFIED_DATA,corporate affiliate,,"Swit may share Other Information with its corporate affiliates, parents and/or subsidiaries."
UNSPECIFIED_DATA,swit,"analytics, security, services","More specifically, Swit uses Other Information:
Swit Terms and Policies

How We Share And Disclose Information

This section describes how Swit may share and disclose Information.
Swit may share Other Information with its corporate affiliates, parents and/or subsidiaries.
Swit may share Other Information with third parties when we have consent to do so.
Swit uses Other Information in furtherance of our legitimate interests in operating our service, Websites and business.
To acquire an Account for the Service, You must provide Swit with an electronic mail address and other information (""Registration Data"").
When enabled, Swit may share Other Information with Third Party Services."
UNSPECIFIED_DATA,we,"analytics, legal, security, services","How we store and secure information we collect

How long we keep information
If the Services are made available to you through an organization (e.g., your employer), we retain your information as long as required by the administrator of your account.
If we receive a request for information, we may disclose Other Information if we reasonably believe disclosure is in accordance with or required by any applicable law, regulation or legal process.
Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions or to comply with our legal obligations.
Swit Terms and Policies

How We Share And Disclose Information
To facilitate our global operations, we transfer information globally and allow access to that information from countries in which the Swit owned or operated companies for the purposes described in this policy.
We may transfer, process and store your information outside of your country of residence, to wherever we or our third-party service providers operate for the purpose of providing you the Services.
Where we retain information for Service improvement and development, we take steps to eliminate information that directly identifies you, and we only use the information to uncover collective insights about the use of our Services, not to specifically analyze personal characteristics about you."
account datum,swit,"analytics, security, services","Swit may need to contact you for invoicing, account management and similar reasons and we use account data to administer accounts and keep track of billing and payments."
account datum,we,"analytics, legal, security, services","Swit may need to contact you for invoicing, account management and similar reasons and we use account data to administer accounts and keep track of billing and payments."
account information,we,"analytics, legal, security, services",We retain your account information for as long as your account is active and a reasonable period thereafter in case you decide to re-activate the Services.
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,analytics,"For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, such as telling a prospective Swit customer the average amount of time spent within a typical Workspace.
We may share Anonymous Data with selected third parties and business partners, however, we will not share any Anonymous Data if such information is, contains, or will be linked to your Personal Data, unless we have given you notice, as described in this Privacy Policy, and you have given us authorization to do so."
aggregate / deidentified / pseudonymized information,business partner,,"We may share Anonymous Data with selected third parties and business partners, however, we will not share any Anonymous Data if such information is, contains, or will be linked to your Personal Data, unless we have given you notice, as described in this Privacy Policy, and you have given us authorization to do so."
aggregate / deidentified / pseudonymized information,prospect,analytics,"For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, such as telling a prospective Swit customer the average amount of time spent within a typical Workspace."
aggregate / deidentified / pseudonymized information,we,"analytics, legal, security, services, advertising","For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, such as telling a prospective Swit customer the average amount of time spent within a typical Workspace.
Swit Terms and Policies

How We Collect and Use Personal and Anonymous Data
To make our website and Software more useful to you, our servers (which may be hosted by a third-party service provider) may collect Personal Data, Anonymous Data, or Application Data from you such as browser type, operating system, Internet Protocol (IP) address, geolocation, domain name, Software usage and statistics, and/or a date/time stamp of your visit.
We collect Anonymous Data and Application Data (as defined below) to make our website and Swit more useful to you.
We may also collect Personal Data and Anonymous Data when you send us information or communications.
We may also use Personal Data and Anonymous Data for market research purposes and to improve our products, the Site, and the Software.
We may disclose or use aggregated or de-identified Other Information for any purpose.
We may share Anonymous Data with selected third parties and business partners, however, we will not share any Anonymous Data if such information is, contains, or will be linked to your Personal Data, unless we have given you notice, as described in this Privacy Policy, and you have given us authorization to do so.
When you access the Site, purchase, download trial or evaluation versions, register for any associated products and/or services, or use the Software in any way, we may collect Personal Data and Anonymous Data from you."
associate swit mobile application,we,"analytics, legal, security, services, advertising","This Privacy Policy applies to Swit's online workplace productivity tools and platform, including the associated Swit mobile and desktop applications (collectively, the ""Service""), Swit.io (the ""Website"") and other interactions (e.g., customer service inquiries, etc.) you may have with Swit."
associated product,we,"analytics, legal, security, services, advertising",Personal Data may be used for the purposes of recording the transaction when you access the Site or when you use any of the Software or any associated products and/or services.
authorization,we,"analytics, legal, security, services, advertising","We only use the authorization to support certain Software features like unread email count for each account, and to support push desktop notifications if requested."
cookie / pixel tag,we,"analytics, legal, security, services, advertising","Please note that we do use third-party cookies for our advertising purposes as further described in our Cookie information under ""Information We Collected And Receive.""
We may also use cookies and navigational data like Uniform Resource Locators (URL) and referring URLs to gather information regarding the date and time of your visit.
We retain information derived from cookies and other tracking technologies for a reasonable period of time, as deemed by Swit, from the date such information was created."
datum from google api,swit,"analytics, security, services","Swit uses data from Google APIs only for the sole purpose of providing user-facing features, and Swit does not transfer or disclose Google user data to third parties for reasons other than providing services to users."
email address,swit,"analytics, security, services","To acquire an Account for the Service, You must provide Swit with an electronic mail address and other information (""Registration Data"")."
geolocation,swit,"analytics, security, services","Swit will use Personal Data, IP addresses, and geolocation to identify users of the Site and Software if and when we feel it is necessary to enforce compliance with the Site's policies, or to protect our products, the Software, the Site, or other users of the Site and/or Software."
information about marketing preference,we,"analytics, legal, security, services, advertising","If you have elected to receive marketing emails from us, we retain information about your marketing preferences for six weeks from the date you last expressed interest in our Services, such as when you last opened an email from us or ceased using your Swit account."
