data_type,collector,purpose,text
collect datum,we,"legal, services",We use the collected data for:
cookie / pixel tag,advertiser,analytics,"Third-party entities, including advertisers and content providers, may use cookies on our Websites to gather data about you."
cookie / pixel tag,content provider,analytics,"Third-party entities, including advertisers and content providers, may use cookies on our Websites to gather data about you."
datum about you,advertiser,analytics,"Third-party entities, including advertisers and content providers, may use cookies on our Websites to gather data about you."
datum about you,content provider,analytics,"Third-party entities, including advertisers and content providers, may use cookies on our Websites to gather data about you."
information relate to internet use,we,"legal, services","We gather various kinds of information from users of our Websites, which include: Information related to your internet use, devices used for website access, and usage specifics."
non - identify individual datum,we,"legal, services","We gather various kinds of information from users of our Websites, which include: Non-identifying individual data."
personal information,UNSPECIFIED_ACTOR,,"We may disclose your personal information as described in this privacy notice: To our affiliates and subsidiaries.
We may disclose your personal information as described in this privacy notice: To third-party service providers and business partners."
personal information,business partner,,We may disclose your personal information as described in this privacy notice: To third-party service providers and business partners.
personal information,we,"legal, services",We may disclose your personal information as described in this privacy notice: To our affiliates and subsidiaries.
usage specific,we,"legal, services","We gather various kinds of information from users of our Websites, which include: Information related to your internet use, devices used for website access, and usage specifics."
