data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, security, services","Additionally, we may provide your Information to our partners in order to provide Users with selected retail and other types of offers.
B.  Disclosing Your Information

Information Shared with our Subsidiaries and Affiliates . We may share your Information with our subsidiaries and affiliates.
In addition to marketing and advertising, our partners may use your data for services that include but are not limited to, verification, validation, reference, lookup, risk mitigation and data enhancement (collectively, these are known as ""Permitted Partner Uses"").   We may also use your personal contact information to contact you to further discuss your interest in the Service, to send you information about us or our partners, to identify your company/organization as a customer, and to use your company/organization's name and/or logo on our website and in our marketing materials.
These third-party service providers are authorized to use your Information only as necessary to provide these services to us .
We may disclose your Information to third-party service providers that perform certain functions or services on our behalf  (such as to host the Services, manage databases, perform analyses, process credit card payments, provide customer service, or send communications for us ).
You may also separately provide Information to websites, retailers or other commerce, product, or service providers through which we provide access to register for our Service.
Your Information may be transferred, sold, or otherwise conveyed (""Conveyed"") to a third party where we: (i) merge with or are acquired by another business entity; (ii) sell all or substantially all of our assets; (iii) are adjudicated bankrupt; or (iv) are liquidated or otherwise reorganize."
UNSPECIFIED_DATA,commerce provider,,"You may also separately provide Information to websites, retailers or other commerce, product, or service providers through which we provide access to register for our Service."
UNSPECIFIED_DATA,partner organization,,"B.  Disclosing Your Information

Partner Organizations .  We may provide certain Information to our partners, including partner organizations to perform data analysis and product development or improvement; and for research, which may involve collaborators, contractors, and other partner organizations subject to agreement with participating researchers and confidentiality restrictions."
UNSPECIFIED_DATA,retailer,,"You may also separately provide Information to websites, retailers or other commerce, product, or service providers through which we provide access to register for our Service."
UNSPECIFIED_DATA,thalamus,"analytics, services","This Information is used by Thalamus for the operation of the Services, to maintain quality of the Services, and to provide general statistics regarding use of the Services."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","Additionally, we may provide your Information to our partners in order to provide Users with selected retail and other types of offers.
As such, the Services collect Information and process and store that Information in databases located in the United States.
B.  Disclosing Your Information

Disclosure of Information for Legal and Administrative Reasons .  We may disclose your Information without notice:  (i) when required by law or to comply with a court order, subpoena, search warrant, or other legal process; (ii) to cooperate or undertake an internal or external investigation or audit; (iii) to comply with legal, regulatory, or administrative requirements of governmental authorities (including, without limitation, requests from the governmental agency authorities to view your Information); (iv) to protect and defend the rights, property, or safety of us, our subsidiaries and affiliates, and any of their officers, directors, employees, attorneys, agents, contractors, and partners, and the website Service users; (v) to enforce or apply our Terms of Use; and (vi) to verify the identity of the user of our Services.
B.  Disclosing Your Information

Information Shared with our Subsidiaries and Affiliates . We may share your Information with our subsidiaries and affiliates.
B.  Disclosing Your Information

Partner Organizations .  We may provide certain Information to our partners, including partner organizations to perform data analysis and product development or improvement; and for research, which may involve collaborators, contractors, and other partner organizations subject to agreement with participating researchers and confidentiality restrictions.
B.  Disclosing Your Information

With Your Consent . We may disclose Information consistent with this Privacy Policy with your consent.
In using our Services, you may provide us with Information, including, without limitation:
Some of those entities may share with us certain information that you provide to them.
To help protect your privacy and maintain security, if you request access to or deletion of your Information, we will take steps and may require you to provide certain information to verify your identity before granting you access to your Information or complying with your request.
We may also receive Information from the AAMC.
We may also use Information we receive from partners such as the AAMC to provide Services to you and for data analysis and research that we share with Users and the general public.
We may disclose your Information as set forth in the Privacy Policy and in the following circumstances:
We may disclose your Information to third-party service providers that perform certain functions or services on our behalf  (such as to host the Services, manage databases, perform analyses, process credit card payments, provide customer service, or send communications for us ).
We may share your Information on an aggregated basis for any purpose, including but not limited to for research purposes which may involve collaborators and contractors, in which your specific Information is blinded, masked, or otherwise not identifiable.
We use and process your Information for things that may include, but are not limited to, the following:
We will retain and use your Information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.  In accordance with our routine record keeping, we may delete certain records that contain Information you have submitted to us.
We will retain your Information for as long as needed to provide you Services, and as necessary to comply with our legal obligations, resolve disputes, and enforce our policies."
aggregate survey information,UNSPECIFIED_ACTOR,"advertising, security, services","However, we may share aggregate survey or contest result information with third parties."
aggregate survey information,we,"advertising, analytics, legal, security, services","However, we may share aggregate survey or contest result information with third parties."
analytic information,we,"advertising, analytics, legal, security, services","We may disclose this Information to track an individual End User's movement and use of the Services.
We sometimes utilize third party service providers to help us track analytics information."
applicant datum,administrator of residency program,,"Further, as part of their use of the Services, and subject to the administrator's determination that such data sharing is permitted under the third party's terms of use, administrators of residency programs may pull applicant data directly from third parties that they have access to, including ERAS and ACGME, and provide this Information to Thalamus."
