data_type,collector,purpose,text
Facebook,social media,"advertising, analytics, services","The Company's Web sites may use social media features, such as the Facebook 'like' button (""Social Media Features"")."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"legal, services","These third parties may have access to your information for purposes of performing these tasks on our behalf and under obligations similar to those in this Privacy Statement.
Third parties with whom the Company may partner to provide certain features on our Company's Web sites or to display advertising based upon your Web browsing activity, may use Flash cookies to collect and store information."
UNSPECIFIED_DATA,third country not provide adequate protection within meaning of directive,,"Legal

Disruption of service



that, if the transfer involves special categories of data, the data subject has been informed or will be informed before, or as soon as possible after, the transfer that its data could be transmitted to a third country not providing adequate protection within the meaning of Directive 95/46/EC;"
UNSPECIFIED_DATA,upilot inc,services,"As you navigate the Company's Web sites or use the Services, UPilot INC may also collect information through the use of commonly-used information-gathering tools, such as cookies and Web beacons (""Web Site Navigational Information"").
To provide the UPilot Service, UPilot INC collects information under the direction of its Customers and has no direct relationship with the individuals whose personal data it processes.
UPilot INC uses commonly-used information-gathering tools, such as cookies and Web beacons, to collect information from your Device as you navigate the Company's Web sites, interact with email sent by the Company on its own behalf, or use the Services (""Web Site Navigational Information"")."
UNSPECIFIED_DATA,we,"analytics, legal, security, services","The Company may require that you provide additional information to assist in finding your Indexed Content or to verify your identity.
We also collect some information (ourselves or using third party services) that requires using logging and cookies, such as IP address, which can sometimes be correlated with Data About Customers.
We may retain and use your information as necessary to provide our Services, comply with our legal obligations, resolve disputes, establish legal defenses, to conduct audits, pursue legitimate business purposes, and enforce our agreements, or if it is not technically reasonably feasible to remove it.
We use this information for the above purposes and to monitor and analyze use of the UPilot Service, for the UPilot Service's technical administration, to increase our Services' functionality and user-friendliness, and to verify users have the authorization needed for our Services to process their requests."
copy of information,we,"analytics, legal, security, services","In some cases, we may retain copies of this information if required by law, to protect UPilot INC's rights, or if it is not reasonably technically reasonably feasible to remove it."
data about customer,we,"analytics, legal, security, services","To facilitate the Company's global operations, the Company may access Data About Customers from around the world, including the United States and other countries in which the Company has operations."
date stamp associate with transaction,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
datum store in upilot service account,UNSPECIFIED_ACTOR,"legal, services, analytics","We may disclose to third parties data stored in your UPilot Service account and information about you that we collect or have collected when we have a good faith belief that disclosure is reasonably necessary to (a) comply with a law, regulation, or compulsory legal request, such as to comply with a subpoena; (b) protect the safety of any person from death or serious bodily injury; (c) prevent fraud or abuse of UPilot INC or its users; or (d) to protect UPilot INC's rights."
datum store in upilot service account,we,"analytics, legal, security, services","We may disclose to third parties data stored in your UPilot Service account and information about you that we collect or have collected when we have a good faith belief that disclosure is reasonably necessary to (a) comply with a law, regulation, or compulsory legal request, such as to comply with a subpoena; (b) protect the safety of any person from death or serious bodily injury; (c) prevent fraud or abuse of UPilot INC or its users; or (d) to protect UPilot INC's rights."
electronic datum,we,"analytics, legal, security, services","As part of using our Services, Customers may submit electronic data or information to the Services (""Customer Data"") which may include Personal Information."
identification number associate with devices,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
index content,upilot inc,"services, advertising, analytics",UPilot INC collects Indexed Content for our Customers.
individually identifiable information,upilot inc,"services, advertising, analytics","UPilot INC collects individually-identifiable information (""Personal Information"") from individuals who visit the Company's Web sites (""Web Site Visitors"") and individuals who register to use the Services (""Customers"")."
information about web page visit,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
information about you we collect,UNSPECIFIED_ACTOR,"legal, services, analytics","We may disclose to third parties data stored in your UPilot Service account and information about you that we collect or have collected when we have a good faith belief that disclosure is reasonably necessary to (a) comply with a law, regulation, or compulsory legal request, such as to comply with a subpoena; (b) protect the safety of any person from death or serious bodily injury; (c) prevent fraud or abuse of UPilot INC or its users; or (d) to protect UPilot INC's rights."
information about you we collect,we,"analytics, legal, security, services","We may disclose to third parties data stored in your UPilot Service account and information about you that we collect or have collected when we have a good faith belief that disclosure is reasonably necessary to (a) comply with a law, regulation, or compulsory legal request, such as to comply with a subpoena; (b) protect the safety of any person from death or serious bodily injury; (c) prevent fraud or abuse of UPilot INC or its users; or (d) to protect UPilot INC's rights."
information we collect about,we,"analytics, legal, security, services","If we are involved in a merger, acquisition, or sale of all or a portion of our assets where UPilot INC is not a surviving entity, information we have collected about may be transferred as part of that transaction, but we will notify you (for example, via email, sign in notification, and/or a prominent notice on our website) if that happens or if your information otherwise becomes subject to a different privacy policy in lieu of this one."
information we receive,upilot inc,"services, advertising, analytics","Except as otherwise disclosed in the Terms of Service, UPilot INC retains the information we receive as described in this Privacy Statement for as long as your account is active or as needed to provide you with the Services. If you wish to cancel your account or request that we no longer use your information to provide you Services, you may delete your account."
information you provide,upilot inc,"services, advertising, analytics","With your permission (which you grant by signing up for or using our Services), UPilot INC collects and stores information you provide or that we collect in order to administer our Services and/or as otherwise described in this Privacy Statement or our Terms of Service."
information you provide with third party application,upilot,,UPilot may share information you have provided with a third-party application (for example when you choose to access our Services through an application such as the Google Chrome extension).
information you search for on website,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
ip address,social media,,"The Company's Web sites may use social media features, such as the Facebook 'like' button (""Social Media Features"").
These features may collect your IP address and which page you are visiting on the Company's Web sites, and may set a cookie to enable the feature to function properly."
ip address,upilot inc,"services, advertising, analytics","For example, UPilot INC uses IP addresses to monitor the regions from which Customers and Web Site Visitors navigate the Company's Web sites."
ip address,we,"analytics, legal, security, services","We also receive your Device's Internet Protocol (IP) address (or the proxy server you use to access the World Wide Web), your Device's operating system, the type of Web browser you are using, and your Internet Service Provider (ISP)."
list of sub - processing agreement conclude under clauses,data exporter,,"The data exporter shall keep a list of sub-processing agreements concluded under the Clauses and notified by the data importer pursuant to Clause 5(j), which shall be updated at least once a year."
local share object,upilot inc,"services, advertising, analytics","UPilot INC may use local shared objects, also known as Flash cookies, to store your preferences or display content based upon what you view on the Company's Web sites to personalize your visit."
locale preference,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
metadata,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
online transaction,we,"analytics, legal, security, services",These cookies allow the Company to uniquely identify you when you are logged into the Services and to process your online transactions and requests.
option,social media,"advertising, analytics, services",You may be given the option by such Social Media Features to post information about your activities on the Company's Web sites to a profile page of yours that is provided by a third party Social Media network in order to share with others within your network.
optional information,upilot inc,"services, advertising, analytics","For example, UPilot INC may obtain Optional Information by asking a Customer to import his or her contacts and email history by granting UPilot INC access to the Customer's third party services (for example, the Customer's email account) or to use the Customer's social networking information if the Customer gives us access to his or her account on a social network service."
social networking information,upilot inc,"services, advertising, analytics","For example, UPilot INC may obtain Optional Information by asking a Customer to import his or her contacts and email history by granting UPilot INC access to the Customer's third party services (for example, the Customer's email account) or to use the Customer's social networking information if the Customer gives us access to his or her account on a social network service."
system configuration information,we,"analytics, legal, security, services","We may also collect information about the web page visited before or after you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata, and interactions with the Service."
url of web site from you come,we,"analytics, legal, security, services","Due to Internet communications standards, when you visit or use the Company's Web sites, we automatically receive the URL of the Web site from which you came and the Web site to which you go when you leave the Company's Web sites."
