data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,Process payments   7. Sharing Information with Third Parties
UNSPECIFIED_DATA,unhush,,"Like most websites, Unhush collects certain information automatically through the use of log files, including IP addresses, browser type, and operating system."
UNSPECIFIED_DATA,we,"analytics, services","Like most websites, Unhush collects certain information automatically through the use of log files, including IP addresses, browser type, and operating system.
We use this data for website analytics, troubleshooting, and to enhance user experience."
cookie / pixel tag,unhush,services,Unhush uses cookies to improve your experience on our website.
log state,we,"analytics, services",Cookies help us recognize you as a returning user and maintain your logged-in state.
personal information,UNSPECIFIED_ACTOR,,"We share personal information with third parties based on the principle of least access, only as necessary for our business purposes:"
personal information,cloud storage,,"Unhush may share your personal information with third-party service providers (e.g., cloud storage, payment processors) who assist in delivering our services."
personal information,payment processor,,"Unhush may share your personal information with third-party service providers (e.g., cloud storage, payment processors) who assist in delivering our services."
personal information,unhush,services,"11. Data Storage and Retention Unhush retains personal information for as long as necessary to fulfill the purposes outlined in this Privacy Statement or as required by law.
Unhush may share your personal information with third-party service providers (e.g., cloud storage, payment processors) who assist in delivering our services.
Unhush processes personal information to provide mental health practitioners with AI-generated session notes."
personal information,we,"analytics, services, legal, security","We may also disclose personal information as required by law, to enforce our agreements, or to protect the rights, safety, or property of Unhush, our users, or others.
We share personal information with third parties based on the principle of least access, only as necessary for our business purposes:"
personal information necessary,unhush,services,3. Collection and Use of Personal Information  Information We Collect  Unhush collects personal information necessary for the provision of its services.
platform,we,"analytics, services, legal, security","This Privacy Statement outlines Unhush's practices regarding the collection, use, and sharing of personal information through its website, https://un-hush.com/ , and platform, https://www.app.un-hush.com , (collectively, the ""Services"")."
