data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"THE POLICY EXPLAINS WHAT KIND OF INFORMATION WE COLLECT, WHEN AND HOW WE MIGHT USE THAT INFORMATION, HOW WE PROTECT THE INFORMATION, AND YOUR RIGHTS REGARDING YOUR PERSONAL DATA.
Videra Health, Inc. (""We"", ""Us"", ""the Company"", ""Videra"") is the Controller of your Personal Data and we may process this data in accordance with this Privacy Policy.
WE USE YOUR DATA SOLELY IN THE CONTEXT OF HELPING YOU IMPROVE YOUR HEALTH BY OFFERING A CONVENIENT AND HIGH QUALITY MOBILE APP AND WEB SITE WITH TOOLS THAT ALLOW USERS TO EASILY AND PURPOSEFULLY MANAGE COMPLEX MEDICAL CONDITIONS.
We may also collect information using pixel tags, web beacons, clear GIFs or other similar technologies.
We use common information-gathering tools, such as log files, cookies, web beacons, and similar technologies to automatically collect information, which may contain Personal Data, from Your computer or mobile device as you navigate our App or interact with emails We have sent You."
aggregate / deidentified / pseudonymized information,we,,"We may, from time to time, rent or sell aggregated data and/or other information that does not contain any personal identifiers (i.e., the information has been anonymized by stripping out identifiers such as name, address, phone number, etc.).
We retain anonymized data indefinitely."
browser type,we,,"The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
combination of reasonable physical security control,we,security,"We use a combination of reasonable physical, technical, and administrative security controls to maintain the security and integrity of your Personal Data, to protect against any anticipated threats or hazards to the security or integrity of such information, and to protect against unauthorized access to or use of such information in our possession or control that could result in substantial harm or inconvenience to you."
cookie / pixel tag,server,"security, services","If you return to the previously visited web site (and your browser has cookies enabled), the web browser sends the small file to the web server, which tells it what activity you engaged in the last time you used the site, and the server can use the cookie to do things like expedite logging in and retrieving user data and keeping your browser session secure."
cookie / pixel tag,we,"security, services","We use cookies and other technologies to, among other things, better serve you with more tailored information, and to facilitate efficient and secure access to the Applications.
We use two types of cookies: essential and non-essential cookies.
We use two types of non-essential cookies: (1) cookies used to analyze your behavior on a website (""Analytics Cookies""); and (2) cookies used to provide you enhanced functionality (""Functional cookies"")."
date time stamp associate with usage,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
detail information about collection of personal data,we,"security, services","IN THIS PRIVACY POLICY, WE PROVIDE YOU DETAILED INFORMATION ABOUT OUR COLLECTION, USE, MAINTENANCE, AND DISCLOSURE OF YOUR PERSONAL DATA."
device identification number,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
file,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
geolocation,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
information not contain personal identifier,we,"security, services","We may, from time to time, rent or sell aggregated data and/or other information that does not contain any personal identifiers (i.e., the information has been anonymized by stripping out identifiers such as name, address, phone number, etc.)."
information regard health condition,we,"security, services","In addition to demographic information, we may collect information regarding your health conditions, medications, medical appointments, insurance provider, and your healthcare provider."
information you provide on,operator,,Any information that you provide on or to a Third-party Service or that is collected by a Third-party Service is provided directly to the owner or operator of the Third-party Service and is subject to the owner's or operator's privacy policy.
information you provide on,we,"security, services",Any information that you provide on or to a Third-party Service or that is collected by a Third-party Service is provided directly to the owner or operator of the Third-party Service and is subject to the owner's or operator's privacy policy.
ip address,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
ip address,we,"security, services, analytics, legal","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
operating system information,we,"security, services","The information we collect may include your Internet Protocol (IP) address (or proxy server), device and App identification numbers, location, browser type, Internet service provider and/or mobile carrier, the pages and files you viewed, your searches, your operating system and system configuration information, and date/time stamps associated with your usage."
technical information,we,"security, services, analytics, legal","If you contact Videra for support or to lodge a complaint, we may collect technical or other information from you through log files and other technologies, some of which may qualify as Personal Data (e.g., IP address)."
videra,we,"security, services, analytics, legal","Videra Health, Inc. (""We"", ""Us"", ""the Company"", ""Videra"") is the Controller of your Personal Data and we may process this data in accordance with this Privacy Policy."
