data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"security, services","To protect the privacy and the security of your Personal Information, we may request information from you to enable us to confirm your identity and right to access such information, as well as to search for and provide you with the Personal Information we maintain.
We also may use your information to process and respond to your requests when you contact us."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,We may disclose Anonymous Information to third parties that promote our products and services.
aggregate / deidentified / pseudonymized information,we,"security, services, analytics","We also use Anonymous Information, such as web or mobile pages you have viewed, in order to analyze request and usage patterns so that we may improve our products and services, enhance our user experience, and gather broad demographic information for aggregate use.
We collect and use Personal Information and Anonymous Information as indicated in this Privacy Policy.
We may disclose Anonymous Information to third parties that promote our products and services.
We may use your Personal Information in order to provide third parties non-personal aggregated information about you that does not allow you to be identified or contacted and that is combined with the Personal Information of other users (""Aggregate Information"")."
cookie / pixel tag,Stripe,"security, services","Stripe uses a cookie to remember who you are and to enable the website to process payments without storing any card information on its own servers.
Stripe uses a cookie to remember who you are and to enable the website to process payments without storing any credit card information on its own servers."
cookie / pixel tag,we,"security, services, analytics, advertising","We may use pixel tags, cookies, and/or other similar technologies, sometimes from third parties, to collect visitor information.
We specifically use this Google Ads cookie to improve the performance of our advertising.
With the help of this cookie we get to know the general user behaviour on our website better."
customer registration page co,partners,,"For example, we may participate in agreements with Partners pursuant to which we provide the Partners with a URL and a customer registration page co-branded with or privately labeled by the Partners, and the Partners distribute and promote the URL to its customers."
customer registration page co,we,"security, services, analytics, advertising","For example, we may participate in agreements with Partners pursuant to which we provide the Partners with a URL and a customer registration page co-branded with or privately labeled by the Partners, and the Partners distribute and promote the URL to its customers."
futurenext gmbh,we,"security, services, analytics, advertising","FutureNext GmbH (""us"" or ""we"") respects the privacy of the parties using the app Virtualbadge.io, and the parties using the home page of which is located at https://admin.virtualbadge.io/."
information be,we,"security, services, analytics, advertising",We will only collect and use information that is necessary to comply with our legal obligations and assist us to administer our business and provide you with the services you request.
information you provide,we,"security, services, analytics, advertising","We collect the information you provide through the app, our registration forms and other login-protected forms.."
likeness,sponsor of special promotion,,"By registering for a Special Promotion, you agree to the official rules that govern that Special Promotion, which may contain specific requirements of you, including, except where prohibited by law, allowing the sponsors of the Special Promotion to use your name, voice and/or likeness in advertising or marketing associated with the Special Promotion."
payment,we,"security, services, analytics, advertising","Stripe uses a cookie to remember who you are and to enable the website to process payments without storing any card information on its own servers.
Stripe uses a cookie to remember who you are and to enable the website to process payments without storing any credit card information on its own servers."
person name,sponsor of special promotion,,"By registering for a Special Promotion, you agree to the official rules that govern that Special Promotion, which may contain specific requirements of you, including, except where prohibited by law, allowing the sponsors of the Special Promotion to use your name, voice and/or likeness in advertising or marketing associated with the Special Promotion."
personal identifier,UNSPECIFIED_ACTOR,,"If you choose to enter a drawing, contest, or other promotion, personally identifiable information may be disclosed to third parties or the public in connection with the administration of such Special Promotion, including, without limitation, in connection with winner selection, prize fulfillment, and as required by law or permitted by the Special Promotion's official rules, such as on a winners list."
time,we,"security, services, analytics, advertising","By doing this, we can customize your return visits and save you time during checkout."
url,partners,,"For example, we may participate in agreements with Partners pursuant to which we provide the Partners with a URL and a customer registration page co-branded with or privately labeled by the Partners, and the Partners distribute and promote the URL to its customers."
url,we,"security, services, analytics, advertising","For example, we may participate in agreements with Partners pursuant to which we provide the Partners with a URL and a customer registration page co-branded with or privately labeled by the Partners, and the Partners distribute and promote the URL to its customers."
visitor information,we,"security, services, analytics, advertising","We may use pixel tags, cookies, and/or other similar technologies, sometimes from third parties, to collect visitor information."
voice,sponsor of special promotion,,"By registering for a Special Promotion, you agree to the official rules that govern that Special Promotion, which may contain specific requirements of you, including, except where prohibited by law, allowing the sponsors of the Special Promotion to use your name, voice and/or likeness in advertising or marketing associated with the Special Promotion."
