data_type,collector,purpose,text
UNSPECIFIED_DATA,Intercom,,Intercom may collect information from You and from Your Device.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"For data portability requests, We will select a format to provide Your personal information that is readily usable and should allow You to transmit the information from one entity to another entity without hindrance.
We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
We may share Your personal information in the following situations: With Affiliates:"
UNSPECIFIED_DATA,business partner,advertising,"We may share Your personal information in the following situations: With business partners: We may share Your information with Our business partners to offer You certain products, services, or promotions."
UNSPECIFIED_DATA,recaptcha service,security,The reCAPTCHA service may collect information from You and from Your Device for security purposes.
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","Please note, however, that We may need to retain certain information when we have a legal obligation or lawful basis to do so.
The Company may use Personal Data for the following purposes: For business transfers: We may use Your information to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of Our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which Personal Data held by Us about our Service users is among the assets transferred.
The Company may use Personal Data for the following purposes: For other purposes : We may use Your information for other purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Service, products, services, marketing, and your experience.
We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
We may share Your personal information in the following situations: With business partners: We may share Your information with Our business partners to offer You certain products, services, or promotions.
When You access the Service by or through a mobile device, We may collect certain information automatically, including, but not limited to, the type of mobile device You use, Your mobile device unique ID, the IP address of Your mobile device, Your mobile operating system, the type of mobile Internet browser You use, unique device identifiers and other diagnostic data.
While using Our Application, in order to provide features of Our Application, We may collect, with Your prior permission: Pictures and other information from your Device's camera and photo library"
UNSPECIFIED_DATA,zoho crm,,Zoho CRM may collect information from Your Device.
collect datum,Google,advertising,Google may use the collected data to contextualize and personalize the ads of its own advertising network.
commercial information,we,"advertising, analytics, legal, services","Privacy Policy

CCPA/CPRA Privacy Notice (California Privacy Rights)

Disclosure of Personal Information

We may use or disclose and may have used or disclosed in the last twelve (12) months the following categories of personal information for business or commercial purposes: Category D: Commercial information"
commercial information,we,"advertising, analytics, legal, services, security","Privacy Policy

CCPA/CPRA Privacy Notice (California Privacy Rights)

Disclosure of Personal Information

We may use or disclose and may have used or disclosed in the last twelve (12) months the following categories of personal information for business or commercial purposes: Category D: Commercial information"
contact information,we,"advertising, analytics, legal, services","For example, if You share Your contact information to ask a question about our Service, We will use that personal information to respond to Your inquiry.
While using Our Service, We may ask You to provide Us with certain personally identifiable information that can be used to contact or identify You."
cookie / pixel tag,Facebook,,"Facebook receives, records, and processes the information stored in the Cookie, especially when the user visits the Facebook services, services that are provided by other members of the Facebook Business Page and services by other companies that use Facebook services."
cookie / pixel tag,Google,advertising,"Google, as a third party vendor, uses cookies to serve ads on our Service."
cookie / pixel tag,UNSPECIFIED_ACTOR,"services, advertising, analytics",We and Our third-party vendors use cookies and non-cookie technologies to help Us recognize Your Device and understand how You use our Service so that We can improve our Service to reflect Your interests and serve You advertisements that are likely to be of more interest to You.
cookie / pixel tag,we,"advertising, analytics, legal, services","Unless you have adjusted Your browser setting so that it will refuse Cookies, our Service may use Cookies.
We and Our third-party vendors use cookies and non-cookie technologies to help Us recognize Your Device and understand how You use our Service so that We can improve our Service to reflect Your interests and serve You advertisements that are likely to be of more interest to You.
We may also use these Cookies to test new pages, features or new functionality of the Website to see how our users react to them.
We use Cookies and similar tracking technologies to track the activity on Our Service and store certain information.
We use both Session and Persistent Cookies for some or all of the purposes set out below:"
cookie / pixel tag,we,"advertising, analytics, legal, services, security","Unless you have adjusted Your browser setting so that it will refuse Cookies, our Service may use Cookies.
We and Our third-party vendors use cookies and non-cookie technologies to help Us recognize Your Device and understand how You use our Service so that We can improve our Service to reflect Your interests and serve You advertisements that are likely to be of more interest to You.
We may also use these Cookies to test new pages, features or new functionality of the Website to see how our users react to them.
We use Cookies and similar tracking technologies to track the activity on Our Service and store certain information.
We use both Session and Persistent Cookies for some or all of the purposes set out below:"
credit / debit card number,third party payment processor govern,,"That information is provided directly to Our third-party payment processors whose use of Your personal information is governed by their Privacy Policy.
We will not store or collect Your payment card details."
datum collect,Google,"advertising, analytics","Google uses the data collected to track and monitor the use of our Service.
This data is shared with other Google services."
email address,UNSPECIFIED_ACTOR,"services, advertising, analytics","We may share information, such as hashed email addresses (if available) or other online identifiers collected on Our Service with these third-party vendors."
email address,we,"advertising, analytics, legal, services","Email address
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental or guardian consent or by the parent or guardian of the child: Parent's or guardian's email address
We may share information, such as hashed email addresses (if available) or other online identifiers collected on Our Service with these third-party vendors."
email address,we,"advertising, analytics, legal, services, security","Email address
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental or guardian consent or by the parent or guardian of the child: Parent's or guardian's email address
We may share information, such as hashed email addresses (if available) or other online identifiers collected on Our Service with these third-party vendors."
