data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We will hold all the data for so long as we have an obligation to You to provide you with the Services, as long as we have an obligation to the Customer to provide the Services, or as long as necessary to fulfill the purpose for which was initially collected and thereafter until such time as we delete the Customer's account in accordance with our Customer Terms and Conditions.
We will inform you at the point of collecting information from you, whether you are required to provide the information to Us.
We will provide you with the following information: The categories of third parties with whom we have shared your Personal Data."
UNSPECIFIED_DATA,we,"analytics, services, advertising, security, legal","We will hold all the data for so long as we have an obligation to You to provide you with the Services, as long as we have an obligation to the Customer to provide the Services, or as long as necessary to fulfill the purpose for which was initially collected and thereafter until such time as we delete the Customer's account in accordance with our Customer Terms and Conditions.
We will inform you at the point of collecting information from you, whether you are required to provide the information to Us.
We will provide you with the following information: The categories of third parties with whom we have shared your Personal Data."
access to personal information we hold about you,we,,"Upon request, we will provide you with access to the personal information that we hold about you."
advertiser,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: Ad networks."
aggregate / deidentified / pseudonymized information,we,"analytics, services","We may use anonymised and/or aggregate data collected through your use of the Services and the Website for statistical purposes, for improvement of the Services, to conduct research,or any other lawful purpose."
analytic provider,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: Analytics providers."
crm software provider,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: CRM software providers."
customer record identify,UNSPECIFIED_ACTOR,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,UNSPECIFIED_ACTOR,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,service provider,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,service provider,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,service provider,"analytics, legal, security, services, advertising","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,we,"analytics, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer record identify,we,"analytics, services, advertising, security, legal","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: B. Customer records identified by state law."
customer service software provider,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: Customer Service software providers."
d. internet,UNSPECIFIED_ACTOR,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,UNSPECIFIED_ACTOR,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,service provider,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,service provider,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,service provider,"analytics, legal, security, services, advertising","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,we,"analytics, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
d. internet,we,"analytics, services, advertising, security, legal","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: D. Internet or other similar network activity information."
detail of action you carry through website,we,"analytics, services",We collect and process some or all of the following types of information from you: Details of all actions that you carry out through the Website and of the provision of services to you.
email service provider,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: Email sending providers."
geolocation,UNSPECIFIED_ACTOR,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data."
geolocation,UNSPECIFIED_ACTOR,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data."
geolocation,service provider,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data."
geolocation,service provider,"analytics, legal, security, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data."
geolocation,service provider,"analytics, legal, security, services, advertising","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data."
geolocation,we,"analytics, services","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data.
We collect and process some or all of the following types of information from you: Details of your visits to the Website including, but not limited to, traffic data, location data, weblogs and other communication data, the site that referred you to our site and the resources that you access."
geolocation,we,"analytics, services, advertising, security, legal","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: E. Geolocation data.
We collect and process some or all of the following types of information from you: Details of your visits to the Website including, but not limited to, traffic data, location data, weblogs and other communication data, the site that referred you to our site and the resources that you access."
hosting,service provider,"analytics, legal, security, services, advertising","We disclose your Personal Data to the following categories of service providers and other parties: Service providers, including: Hosting and other technology and communications providers."
