data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,analytics,"As another example, Xembly and our partners may utilize your data, gathered directly by Xembly or through cookies and other data collection technologies, to analyze your usage of the Service."
UNSPECIFIED_DATA,advertiser,,"For example, our third-party advertising partners may use cookies and similar technologies to collect information about your interaction (including the data described in the automatic data collection section above) with the Service, our communications and other online services over time, and use that information to serve online ads that they think will interest you."
UNSPECIFIED_DATA,platform,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
UNSPECIFIED_DATA,we,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
UNSPECIFIED_DATA,xembly,analytics,"As another example, Xembly and our partners may utilize your data, gathered directly by Xembly or through cookies and other data collection technologies, to analyze your usage of the Service."
aggregate / deidentified / pseudonymized information,we,,"We make personal information into anonymous, aggregated, or de-identified data by removing information that makes the data personally identifiable to you.
We may use this anonymous, aggregated or de-identified data and share it with third parties for our lawful business purposes, including to analyze and improve the Service and promote our business."
asset,we,"analytics, services, advertising, legal, security","We may sell, transfer or otherwise share some or all of our business or assets, including your personal information, in connection with a business transaction (or potential business transaction) such as a corporate divestiture, merger, consolidation, acquisition, reorganization or sale of assets, or in the event of bankruptcy or dissolution."
auditor,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
banker,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
calendar information,we,,"By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
cookie / pixel tag,advertiser,,"For example, our third-party advertising partners may use cookies and similar technologies to collect information about your interaction (including the data described in the automatic data collection section above) with the Service, our communications and other online services over time, and use that information to serve online ads that they think will interest you."
cookies,we,"analytics, services","In addition to the other uses included in this section, we may use the Cookies and similar technologies described above for the following purposes:"
email address,we,,"By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
email address,we,"analytics, services","By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
extension,we,"analytics, services, advertising, legal, security","This ""Privacy Policy"" describes the privacy practices of Xembly, Inc. and our subsidiaries and affiliates (collectively, "" Xembly "", "" we "", "" us "", or "" our "") in connection with the https://www.xembly.com/ website, the Xembly browser extension (the "" Extension ""), and any other website or mobile application that we own or control and which posts or links to this Privacy Policy (collectively, the "" Service ""), and the rights and choices available to individuals with respect to their information."
feedback you provide regard,we,"analytics, services",We may share feedback you provide regarding others who are identified as invitees/participants in your calendar meetings with such individuals.
https://www.xembly.com/ website,we,"analytics, services, advertising, legal, security","This ""Privacy Policy"" describes the privacy practices of Xembly, Inc. and our subsidiaries and affiliates (collectively, "" Xembly "", "" we "", "" us "", or "" our "") in connection with the https://www.xembly.com/ website, the Xembly browser extension (the "" Extension ""), and any other website or mobile application that we own or control and which posts or links to this Privacy Policy (collectively, the "" Service ""), and the rights and choices available to individuals with respect to their information."
information about user,UNSPECIFIED_ACTOR,"analytics, advertising",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information about user,we,"analytics, services, advertising",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
insurer,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
lawyer,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
mobile application,we,"analytics, services, advertising, legal, security","This ""Privacy Policy"" describes the privacy practices of Xembly, Inc. and our subsidiaries and affiliates (collectively, "" Xembly "", "" we "", "" us "", or "" our "") in connection with the https://www.xembly.com/ website, the Xembly browser extension (the "" Extension ""), and any other website or mobile application that we own or control and which posts or links to this Privacy Policy (collectively, the "" Service ""), and the rights and choices available to individuals with respect to their information."
notification of change,we,"analytics, services, advertising","We may, and if required by law will, also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email (if you have an account where we have your contact information) or another manner through the Service."
personal information,Okta,,"If you log into the Service with, or otherwise link your Service account to a third-party service (such as Okta), we may share your personal information with that third-party service."
personal information,UNSPECIFIED_ACTOR,"analytics, advertising","We may share your personal information with our corporate parent, subsidiaries, and affiliates, for purposes consistent with this Privacy Policy.
We may share your personal information with the following parties and as otherwise described in this Privacy Policy or at the time of collection.
We may share your personal information with third parties that provide services on our behalf or help us operate the Service or our business (such as data storage (using AWS), hosting, information technology, customer support, email delivery, marketing, consumer research and website analytics)."
personal information,advertiser,"advertising, analytics","We, our service providers and our third-party advertising partners may collect, sell and/or use your personal information for marketing and advertising purposes, as well as other uses, such as training models for AI, communication, and other data model training."
personal information,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
personal information,service provider,"advertising, analytics","We, our service providers and our third-party advertising partners may collect, sell and/or use your personal information for marketing and advertising purposes, as well as other uses, such as training models for AI, communication, and other data model training."
