data_type,collector,purpose,text
UNSPECIFIED_DATA,service provider,,"Consequently, these providers may have access to your information offshore.
Our engagement of service providers, such as those who operate cloud services, may have international data centres and disaster recovery sites."
UNSPECIFIED_DATA,we,,"In some instances, this means that we may retain some data even if you withdraw your consent."
cookie / pixel tag,we,"advertising, services","These cookies also record your visit to our website, the pages you have visited and the links you have followed.
We also use third party cookies, such as those provided via the Google Analytics service.
We may use the following types of cookies:

Analytical cookies.
We may use the following types of cookies:

Marketing cookies.
We may use the following types of cookies:

Required cookies.
We may use this information to make our website and communications sent to you more relevant to your interests."
device identification,we,"advertising, services","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
device identification,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
email address,we,"advertising, services","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
email address,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
hardware statistic,we,"advertising, services","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
hardware statistic,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
information from delete account,we,"advertising, services, legal, security","However, where you request the erasure of your Personal Information we will retain information from deleted accounts as necessary for our legitimate business interests, to comply with the law, prevent fraud, collect fees, resolve disputes, troubleshoot problems, assist with investigations or requests by government, a court of law, or law enforcement authorities, enforce the terms of service and take other actions permitted by law."
information you provide to we,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
ip address,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us.
Where users of vMix host a call we process the IP Address of the call recipients."
marketing service provider,service provider,,"Your Personal Information may be disclosed to: third party contractors, suppliers and service providers with whom we have a business association, including: marketing service providers; and"
person name,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
phone number,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
postal address,we,"advertising, services, legal, security","The types of Personal Information we collect include your name, address, telephone number, email, IP address, device identification, certain hardware statistics (which may contain Personal Information, such as the name of a device) and any additional information you provide to us."
