data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"We also may use the data to communicate with you, for example, informing you about updates and product information we and our customers have to offer."
UNSPECIFIED_DATA,webinar.net,services,webinar.net collects data to operate effectively and provide you the best experiences.
cookie / pixel tag,we,"services, analytics","In some special cases, we also use cookies provided by trusted third parties.
We also use web beacons to help deliver cookies and gather usage and performance data."
cookie / pixel tag,webinar.net,"services, analytics",webinar.net uses cookies (small text files placed on your device) and similar technologies to provide our websites and online services and to help collect data.
data we collect,webinar.net,"services, analytics",webinar.net uses the data we collect to operate our business and provide you with use of the products and services we and our business partners offer.
internet activity,we,"services, analytics",We also use web beacons to help deliver cookies and gather usage and performance data.
personal information,UNSPECIFIED_ACTOR,,"We will also share personal information with companies, organizations or individuals outside of webinar.net if we have a good-faith belief that access, use, preservation or disclosure of the information is reasonably necessary to:"
personal information,we,"services, analytics","This privacy statement explains what personal data webinar.net collects from you, through our interactions with you and through our products, and how we use that data.
We will also share personal information with companies, organizations or individuals outside of webinar.net if we have a good-faith belief that access, use, preservation or disclosure of the information is reasonably necessary to:"
personal information,webinar.net,"services, analytics","This privacy statement explains what personal data webinar.net collects from you, through our interactions with you and through our products, and how we use that data.
webinar.net stores and processes personal data in secure third party applications for day to day business operations."
small text file place on device,webinar.net,"services, analytics",webinar.net uses cookies (small text files placed on your device) and similar technologies to provide our websites and online services and to help collect data.
