data_type,collector,purpose,text
UNSPECIFIED_DATA,vcs client,services,"VCS Clients may electronically submit data or information for hosting and processing purposes (""Client Data"")."
client data,vcs,services,"In accordance with the VCS Subscription Agreement, VCS may access Client Data only for the purpose of providing professional services, preventing or addressing service or technical problems, at a Client's request in connection with customer support matters."
client data,vcs client,services,"VCS Clients may electronically submit data or information for hosting and processing purposes (""Client Data"")."
cookie / pixel tag,Google,advertising,"Google uses this information to personalize targeted advertisements to its audiences on non-VCS websites.
VCS also uses third party cookies in online advertising efforts through specified Google tools."
cookie / pixel tag,vcs,services,"For example, VCS may use cookies on its download page to speed up users' activities in not having to register more than once.
VCS also uses third party cookies in online advertising efforts through specified Google tools.
VCS may also use cookies in other areas on its web site now and in the future."
domain name,vcs,services,"VCS uses this information only to scale technical implementation to match our audience's browser capabilities.
When you enter our website we can determine your domain name and what browser and operating system you are using, but we cannot determine any personal information about you."
information about yourself,we,,"When requesting information from us, or entering secure areas of our website, we do require that you provide some information about yourself by ""registering"" or completing an online form."
information meet need,we,,This allows us to provide information that will meet your needs and make your experience easier.
personal information,we,,"Some portions of the site may require you to give us personal information, which enables us to identify you, such as your name, email or other address."
personally non - identifiable information about use of site,vcs,"services, analytics",VCS may collect some personally non-identifiable information about your use of the Site to better understand our audience.
personally non - identifiable information about use of site,we,analytics,"For example, we may use this information in conjunction with other information to track the total number of site visitors.
VCS may collect some personally non-identifiable information about your use of the Site to better understand our audience."
