data_type,collector,purpose,text
Google,access analysis tool,analytics,This website may use access analysis tool such as Google Analytics to improve website and quality.
aircourse kiyo learning co. ltd.,we,"advertising, security, services, analytics","Operator of ""AirCourse"" KIYO Learning Co., Ltd. (hereinafter, ""Company"" or ""we/us"") considers respecting your privacy and protecting your personal information to be important duty of the company."
cookie / pixel tag,access analysis tool,analytics,"These access analysis tools use Cookie to gather data that does not include personal information.
This website may use access analysis tool such as Google Analytics to improve website and quality."
datum not include personal information,access analysis tool,analytics,"These access analysis tools use Cookie to gather data that does not include personal information.
This website may use access analysis tool such as Google Analytics to improve website and quality."
device identifier,we,,"We may obtain information about the device you are using (OS, advertisement ID, name of computer, language setting, etc.)."
internet activity,we,advertising,"We may also refer to your Cookie information and obtain your access history, etc. for marketing purposes such as displaying advertisement targeting user activities."
obtain information,we,"advertising, security, services","We may also link obtained information to internal identifier given to you by us.
We will use this information to provide better services, as well as to prevent fraudulent act that interfere with verification of identity and normal service."
personal datum hold,we,"advertising, security, services, analytics","However, personal information that you've provided to us and personal data already held by us will be used by us without indicating our intended usage for each occasion for the purpose pertaining to course operated by us and contact for course operated by other company of which application was submitted by you through us, or related provisions of information, use of information, performance of agreement, business contact for our services/products, etc."
personal information,we,"advertising, security, services, analytics","However, personal information that you've provided to us and personal data already held by us will be used by us without indicating our intended usage for each occasion for the purpose pertaining to course operated by us and contact for course operated by other company of which application was submitted by you through us, or related provisions of information, use of information, performance of agreement, business contact for our services/products, etc."
personal information you disclose to we,application for lecture operate through we,,"If you submit application for lecture operated by other company through us, we will provide the personal information that you disclosed to us to such other company for the above purpose."
personal information you disclose to we,company of submit through we,,"However, personal information that you've provided to us and personal data already held by us will be used by us without indicating our intended usage for each occasion for the purpose pertaining to course operated by us and contact for course operated by other company of which application was submitted by you through us, or related provisions of information, use of information, performance of agreement, business contact for our services/products, etc.
If you submit application for lecture operated by other company through us, we will provide the personal information that you disclosed to us to such other company for the above purpose."
personal information you disclose to we,we,"advertising, security, services, analytics","If you submit application for lecture operated by other company through us, we will provide the personal information that you disclosed to us to such other company for the above purpose."
