data_type,collector,purpose,text
UNSPECIFIED_DATA,akiflow,,Akiflow gathers certain information automatically from visitors to the Sites and stores it in log files.
UNSPECIFIED_DATA,we,,"Privacy Policy

This Privacy Policy (""Policy"") explains how we collect, use, disclose and protect visitors' and users' (""Users"") personal data and information as part of the Service.
We also use technologies such as cookies, local storage (as defined below), scripts to collect information, provide a better user experience, and improve our services.
We may also transfer or assign such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolution, or similar transactions or proceedings, provided that the recipient of such information will continue to be bound by the terms of this Privacy Policy.
We process and store information on behalf of our customers.
When you fill out an online form, for example, to subscribe to a newsletter or engage in email or online chat communications with us, you may voluntarily supply us a contact and other information and we may also retain a record of any communications with you or activities you perform."
activity relate to request,we,,"When you submit a support ticket through our systems, we will collect the company and contact data, and record activity related to your request."
analytic information,we,,We may collect and use the analytic information from our own systems and from third-party analytics tools so that we can serve you better and improve the Service.
authorization token access gmail account,desktop app,,"Please note that the authorization tokens to access your Gmail account are only stored on your device, and all operations on your emails are done by our desktop or mobile apps."
contact,we,,"When you fill out an online form, for example, to subscribe to a newsletter or engage in email or online chat communications with us, you may voluntarily supply us a contact and other information and we may also retain a record of any communications with you or activities you perform."
contact information,we,advertising,"Privacy Policy

2. Personal Information

2.1 Information We Collect Directly From You

2.1.2 Contact Information
We process this information for marketing purposes and to provide support to present and prospective customers."
contact information,we,"advertising, analytics, services, legal, security","Privacy Policy

2. Personal Information

2.1 Information We Collect Directly From You

2.1.2 Contact Information
We process this information for marketing purposes and to provide support to present and prospective customers."
cookie / pixel tag,akiflow,services,Akiflow uses cookies to offer you a better experience.
cookie / pixel tag,we,"advertising, analytics, services","We may use ""persistent cookies"" to save your ID for future logins to the service.
We may use ""session ID cookies"" to enable certain features of the service, to better understand how you interact with the service and to monitor aggregate usage and web traffic routing on the service."
entity control,akiflow,"services, advertising, analytics","We may share information, including Personal Information, with any parent, subsidiary or affiliate of Akiflow, which includes any entity that controls, is controlled by, or under common control with Akiflow."
information submit as part of support ticket,we,"advertising, analytics, services","Information submitted as part of support tickets is processed by us in order to provide help to you in using the Service, to contact you about your requests, and to improve the Service."
information we collect from you,we,"advertising, analytics, services","Privacy Policy

2. Personal Information

2.1 Information We Collect Directly From You
We process this information for marketing purposes and to provide support to present and prospective customers."
information you provide to third party services,UNSPECIFIED_ACTOR,,"When you enable the Service to connect Third-Party Services, the Third-Party Services will provide us with access to certain information that you may have provided to the Third-Party Services and we will use, store and disclose such information in accordance with this Privacy Policy."
information you provide to third party services,we,"advertising, analytics, services","When you enable the Service to connect Third-Party Services, the Third-Party Services will provide us with access to certain information that you may have provided to the Third-Party Services and we will use, store and disclose such information in accordance with this Privacy Policy."
internet activity,akiflow,services,"In addition, Akiflow gathers anonymized usage data from users of the Apps and the Service."
internet activity,we,"advertising, analytics, services","In addition, we collect anonymized usage data regarding the Service, which we may analyze and use to improve the Service."
option limit use of personal datum,we,"advertising, analytics, services","Depending upon your location and in accordance with applicable laws, you may have the following rights regarding your personal data: Choices for Limiting Use and Disclosure of Your Personal Data: We provide you with options to limit the use and disclosure of your personal data."
person name,we,"advertising, analytics, services","We receive Personal Information directly from you when you provide it to us as part of creating an account, including, but not limited to, at least: Full Name"
person name,we,"advertising, analytics, services, legal, security","We receive Personal Information directly from you when you provide it to us as part of creating an account, including, but not limited to, at least: Full Name"
personal information of guest,we,"advertising, analytics, services, legal, security",We process Personal Information of Guests only in accordance with the aforementioned paragraph.
personal information of guest be,akiflow,services,"When using the Share Availability feature, Akiflow collects the Personal Information of Guests who are not currently Akiflow users in order to complete the booking process, including creating a calendar event."
personal information provide,akiflow,"services, advertising, analytics","Akiflow may use Personal Information provided to operate, improve upon, and personalize the Service, for billing identification and authentication, to contact and communicate with you about the Service and your use of the Service, to support the use of the Service, to send marketing materials (subject to your opt-in option), for research purposes, and to generally improve the content and functionality of the Service."
personal information we process on behalf of customer,akiflow,"services, advertising, analytics","Akiflow will retain Personal Information we process on behalf of our customers or collect directly from our customers for as long as needed to provide Service to our customers, subject to our compliance with this Policy."
phone number,we,"advertising, analytics, services, legal, security","We may collect contact information for both present and prospective customers including, but not limited to, name, address, phone number, title, and company name, from various sources, including offline marketing activities."
record of communication with you,we,"advertising, analytics, services, legal, security","When you fill out an online form, for example, to subscribe to a newsletter or engage in email or online chat communications with us, you may voluntarily supply us a contact and other information and we may also retain a record of any communications with you or activities you perform."
related information,UNSPECIFIED_ACTOR,,"Akiflow may assign or transfer this Policy, and your User account and related information and data, including any Personal Information, to any person or entity that acquires all or substantially all of the business, stock, or assets of, or is merged with Akiflow."
related information,akiflow,"services, advertising, analytics","Akiflow may assign or transfer this Policy, and your User account and related information and data, including any Personal Information, to any person or entity that acquires all or substantially all of the business, stock, or assets of, or is merged with Akiflow."
request,we,"advertising, analytics, services, legal, security",We will process such requests in accordance with applicable laws.
service log file,analytic provider,"analytics, services","We may share the Service log files with third-party analytic tools to analyze trends, administer and maintain the Service, track usage of various features within the Service, or otherwise as necessary to improve the Service."
service log file,we,"advertising, analytics, services, legal, security","We may share the Service log files with third-party analytic tools to analyze trends, administer and maintain the Service, track usage of various features within the Service, or otherwise as necessary to improve the Service."
token,we,"advertising, analytics, services, legal, security",We use the OAuth authorization protocol to request a token from the Third-Party Service; the token then gives us access to your account to the extent authorized by you and permitted by that Third-Party Service.
user account,UNSPECIFIED_ACTOR,,"Akiflow may assign or transfer this Policy, and your User account and related information and data, including any Personal Information, to any person or entity that acquires all or substantially all of the business, stock, or assets of, or is merged with Akiflow."
user account,akiflow,"services, advertising, analytics","Akiflow may assign or transfer this Policy, and your User account and related information and data, including any Personal Information, to any person or entity that acquires all or substantially all of the business, stock, or assets of, or is merged with Akiflow."
visitor user personal datum,we,"advertising, analytics, services, legal, security","Privacy Policy

This Privacy Policy (""Policy"") explains how we collect, use, disclose and protect visitors' and users' (""Users"") personal data and information as part of the Service."
website under akiflow.com domain,we,"advertising, analytics, services, legal, security","At Akiflow Inc (""Akiflow"", ""Company"", ""us"" or ""we""), we respect and protect the privacy of visitors to our website, www.akiflow.com , and the other websites under the akiflow.com domain (collectively, the ""Sites""), and the users of our desktop, mobile and web applications (the ""Apps"") and services integration platform, tools, and related services (together with the Sites and the Apps, the ""Service"")."
