data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"The information you provide in connection with such third-party integrations may be collected directly by, or shared with, the third party.
These third parties will use your information in accordance with their own privacy policies."
UNSPECIFIED_DATA,corporate affiliate,,Related companies: We may share your information with our subsidiaries and corporate affiliates for purposes consistent with this Privacy Notice.
UNSPECIFIED_DATA,we,,"By using or interacting with us through the Service, you acknowledge that we can collect, use, disclose, or otherwise process your information as described in this Privacy Notice.
For example, we process your information to:
Privacy Notice

1. Information we collect

Information we collect from other parties:

We may receive information from third-party websites, platforms, or services that we work with or that you use in conjunction with the Service.
Related companies: We may share your information with our subsidiaries and corporate affiliates for purposes consistent with this Privacy Notice.
We also collect your information if you sign up for one of our promotions or submit information directly to us through social media.
We may collect information via cookies and similar technologies on your browser.
We may disclose your information if required to do so by law or in the good faith belief that it is necessary to comply with a legal obligation, respond to valid legal process or government requests, protect and defend the rights or property of Playco or any other person or entity, act in urgent circumstances to protect the personal safety of users of the Service or the public, or protect against legal liability.
Your consent : Where applicable, we will share your information with third parties consistent with your consent."
content of blockchain asset wallet,we,,"As such, the contents of blockchain asset wallets are public.
We may collect or receive this information in connection with your use of the Service's blockchain-related features, such as when you sign up for or participate in minting or using non-fungible tokens."
experience,we,,"We collect information about you when you communicate with Playco team members (such as customer support staff or community managers); participate in community forums, events, or promotions; fill in forms or surveys; or otherwise share your experience with us."
handle,we,,"For example: When you ""like,"" ""follow,"" or otherwise engage with us on Discord, Facebook, Twitter, or other social media sites and services, we may collect some information associated with your use of that social media service, such as your handle, name, and any comments or content you post relevant to us."
information about,we,services,"We collect information about how you use our Service, such as how you interact with our games.
We use this information to operate and improve the Service."
information about connection in platform,we,services,"If you connect a platform account to the Service, we may receive information about your connections or contacts in that platform when authorized."
information about use of service,we,services,"When you interact with our Service, we may collect information about you or information about your use of the Service."
information from platform,we,services,"Or, when you connect a platform account to us, we use information from that platform to power the feature, like enabling you to play a Playco game or participate in a Playco community on Discord."
information store on blockchain,UNSPECIFIED_ACTOR,,"Additionally, if you import information stored on the blockchain to another product or service, that product or service will receive that information subject to its privacy policy."
information we collect,we,"services, analytics, legal, security","We use the information we collect to provide, operate, improve, and develop the Service, including to:"
information you provide in connection with third party integration,UNSPECIFIED_ACTOR,,"The information you provide in connection with such third-party integrations may be collected directly by, or shared with, the third party."
information you provide to social networking platform,social media,,"As part of such integration, the Social Networking Platform will provide us with access to certain information that you have provided to the Social Networking Platform, and we will use, store, and disclose such information in accordance with this Privacy Notice."
information you provide to social networking platform,we,"services, analytics, legal, security","As part of such integration, the Social Networking Platform will provide us with access to certain information that you have provided to the Social Networking Platform, and we will use, store, and disclose such information in accordance with this Privacy Notice."
ip address,we,services,"We use IP addresses to estimate your approximate location (e.g., city and country) to provide certain functionality on our Service or to measure analytics."
ip address,we,"services, analytics, legal, security","We use IP addresses to estimate your approximate location (e.g., city and country) to provide certain functionality on our Service or to measure analytics."
person name,we,services,"For example: When you ""like,"" ""follow,"" or otherwise engage with us on Discord, Facebook, Twitter, or other social media sites and services, we may collect some information associated with your use of that social media service, such as your handle, name, and any comments or content you post relevant to us."
person name,we,"services, analytics, legal, security","For example: When you ""like,"" ""follow,"" or otherwise engage with us on Discord, Facebook, Twitter, or other social media sites and services, we may collect some information associated with your use of that social media service, such as your handle, name, and any comments or content you post relevant to us."
personal information,we,"services, analytics, legal, security","We retain personal information in accordance with our data retention policy, or where we have an ongoing legitimate business need to do so (for example, to provide you with a service you have requested; to comply with applicable legal, tax, or accounting requirements; for security and fraud detection or prevention; or in connection with secure backup processes)."
relevant information,we,"services, analytics, legal, security","When you add a Social Networking Platform account to the Service or log into the Service using your Social Networking Platform account, we will collect relevant information necessary to enable the Service to access that Social Networking Platform and your data contained within that Social Networking Platform."
specific information,we,"services, analytics, legal, security",We may need to request specific information from you to help us confirm your identity and verify your request.
wallet address,UNSPECIFIED_ACTOR,,"For example: If you connect your wallet to mint or purchase an NFT through the Service, the third party which manages your wallet may pass your wallet address to us upon your instructions."
wallet address,we,"services, analytics, legal, security","For example: If you connect your wallet to mint or purchase an NFT through the Service, the third party which manages your wallet may pass your wallet address to us upon your instructions."
