data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We will share your information with third parties only in the ways that are described in this privacy statement.
UNSPECIFIED_DATA,we,,"In addition, the Application may collect certain information automatically, including, but not limited to, the type of web browser or mobile device you use, your mobile devices unique device ID, the IP address of your computer or mobile device, your computer or mobile operating system, the type of Internet browsers you use, and information about the way you use the Application.
Once we receive and confirm your verifiable consumer request), we will disclose to you: The categories of third parties with whom we share that personal information.
We will share your information with third parties only in the ways that are described in this privacy statement."
actual credit card,we,,We only see the minimum amount of payment information needed and have no access to your actual credit cards or other payment information.
aggregate / deidentified / pseudonymized information,external service,services,"Only aggregated, anonymized data is periodically transmitted to external services to help us improve the Application and our service."
aurelius lab,we,"services, advertising, analytics, security","This privacy policy governs your use of our website www.aureliuslab.com, the domain aureliuslab.com, and all subdomains or subapplications there-in (""Application""), created by Aurelius Lab, LLC (""We"" or ""Us"")."
collect information,we,,"We will retain Automatically Collected information for as long as you use the Application, and for a reasonable time thereafter."
cookie / pixel tag,we,services,"The Applications may use ""cookies"" to help you personalize your online experience."
information you provide,we,services,The Application obtains the information you provide when you register the Application.
information you provide we,we,"services, advertising","We may also use the information you provided us to contact your from time to time to provide you with important information, required notices and marketing promotions."
ip address,we,"services, advertising, analytics",We do however use your IP address in order to determine the city you are located in.
payment information,we,"services, advertising, analytics",We only see the minimum amount of payment information needed and have no access to your actual credit cards or other payment information.
personal information provide in verifiable consumer request,we,"services, advertising, analytics, security","California Consumer Privacy Act of 2019 (CCPA)

We will only use personal information provided in a verifiable consumer request to verify the requestor's identity or authority to make the request."
provide information,trust service provider,,"We may disclose your User Provided and Automatically Collected Information: with our trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement."
provide information,we,"services, advertising, analytics, security",We may disclose your User Provided and Automatically Collected Information:
social button,we,"services, advertising, analytics, security","We also use social buttons provided by services like Twitter, Google+, LinkedIn and Facebook."
specific piece of personal information we collect about you,we,"services, advertising, analytics, security","Once we receive and confirm your verifiable consumer request), we will disclose to you: The specific pieces of personal information we collected about you (also called a data portability request)."
user provided data,we,"services, advertising, analytics, security",We will retain User Provided Data indefinitely in order to better serve return customers.
