data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Our values, terms, and conditions

In all other cases we will only transmit or disclose data to third parties if mandated by statutory provisions or if the data subject has given his/her consent."
UNSPECIFIED_DATA,we,,"Our values, terms, and conditions

In all other cases we will only transmit or disclose data to third parties if mandated by statutory provisions or if the data subject has given his/her consent.
We shall process your request to access your information and provide this information to you free of charge."
browser information,Amplitude,,"Hotjar, Amplitude, and Google Analytics store this information on our behalf in a pseudonymized user profile.
This includes a device's IP address (processed during your session and stored in a de-identified form), device screen size, device type (unique device identifiers), browser information, geographic location (country only), and the preferred language used to display our website."
browser information,Google,,"Hotjar, Amplitude, and Google Analytics store this information on our behalf in a pseudonymized user profile.
This includes a device's IP address (processed during your session and stored in a de-identified form), device screen size, device type (unique device identifiers), browser information, geographic location (country only), and the preferred language used to display our website."
browser information,Hotjar,,"Hotjar, Amplitude, and Google Analytics store this information on our behalf in a pseudonymized user profile.
This includes a device's IP address (processed during your session and stored in a de-identified form), device screen size, device type (unique device identifiers), browser information, geographic location (country only), and the preferred language used to display our website."
cookie / pixel tag,Amplitude,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
cookie / pixel tag,Google,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
cookie / pixel tag,Hotjar,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
cookie / pixel tag,we,services,We use cookies on our website to give you the most relevant experience by remembering your preferences and repeat visits.
datum about you,we,services,We may collect and process the following data about you:
datum on behavior,Amplitude,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
datum on behavior,Google,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
datum on behavior,Hotjar,,"Hotjar, Amplitude, and Google analytics use cookies and other technologies to collect data on users' behavior and their devices."
information about you,we,services,"We may collect and process the following data about you: Information you give us : You may give us information about you by completing enquiry forms on the Website or by corresponding with us by phone, email or otherwise."
information we receive,we,"services, analytics","Our values, terms, and conditions

8.2  Use made of the data and legal basis : We may use the information we receive and/or collect about you, on the basis of legitimate interest according to Article 6 (1) (f) GDPR, in order to provide general statistics of the usage of the community you are part of to the program administrator to monitor the effectiveness of the program."
ip address,we,"services, analytics","We will retain your IP Address (as through GCP Cloud Logging it's not possible to delete log records using the API) and we will retain your personal data in backups, for a maximum of 10 days (e.g. after 10 days the back-ups are deleted)."
personal information,we,"services, analytics","Our values, terms, and conditions

8.2  Use made of the data and legal basis : We process personal information if the processing is necessary to fulfill our obligations under any contract we have entered into with you or with the organization of the program you are part of, especially as it pertains to the services which are provided to you via the platform (Article 6(1)(b) GDPR).We process personal information to send you newsletters and email notifications of your activity in the platform, if you have consented to us doing so (Article 6(1)(a) GDPR).
We process personal information for certain legitimate business purposes (according to Article 6 (1) (f) GDPR), which include some or all of the following:
We will retain your IP Address (as through GCP Cloud Logging it's not possible to delete log records using the API) and we will retain your personal data in backups, for a maximum of 10 days (e.g. after 10 days the back-ups are deleted)."
