data_type,collector,purpose,text
UNSPECIFIED_DATA,adviser,,"In the event that our business is sold or integrated with another business, your details may be disclosed to our advisers and any prospective purchaser's adviser and will be passed to the new owners of the business in order to continue to operate the Sites and provide our App and Services."
UNSPECIFIED_DATA,blink,security,Please note that Blink may request additional information from you to verify your identity before we disclose any information.
UNSPECIFIED_DATA,blink group company,,"For the purposes set out in this notice, data is shared with others including our business customers, other Blink group companies and third-party vendors."
UNSPECIFIED_DATA,member of group mean subsidiary,security,"We may share your Information as follows (on occasion this may include Information about you contained within the content you send and receive on the App, but this will only be where absolutely necessary): with any member of our group, which means our subsidiaries, our ultimate holding company and its subsidiaries, as defined in section 1159 of the UK Companies Act 2006;"
UNSPECIFIED_DATA,we,"security, services","As a Business Contact, we may contact you about the agreement we have with the Customer, and otherwise use your data in order to manage our relationship with that Customer, for example to manage renewals or upgrades.
For our EEA users, we process your information in furtherance of our legitimate interests, including:
In the case that the Services are made available to you through an organisation (e.g. your employer), we retain your information as long as required by the administrator of your account.
More particularly: Where we process personal data for marketing purposes or with your consent, we process the data until you ask us to stop and for a short period after this (to allow us to implement your requests).
Please note in some cases we may request additional information from you to verify your identity before we can respond to your request.
Scope of policy.

How we use information
Summary of this notice

How we share your personal data

We may share your data with the following categories of recipients:
We collect and process the following data (Information) when you provide it through the use of our service:
We have created this policy to explain the basis on which any personal data we collect and hold will be used and shared by us, including; How long we store your data for
We may share your Information as follows (on occasion this may include Information about you contained within the content you send and receive on the App, but this will only be where absolutely necessary): in the event that we sell or buy any business or assets, in which case we may disclose your Information to the prospective seller or buyer of such business or assets;
We retain information as long as it is necessary to provide the Services to you and others, subject to any legal obligations to further retain such information."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"Information we share/disclose

We may share disaggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App.
We may also share aggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App or for other business purposes, in accordance with applicable law."
aggregate / deidentified / pseudonymized information,analytic provider,,"Information we share/disclose

We may share disaggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App.
We may also share aggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App or for other business purposes, in accordance with applicable law."
aggregate / deidentified / pseudonymized information,we,"security, services","For example, we may retain anonymised data on how people use the app or interact with the sign-up flow.
Information we share/disclose

We may share disaggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App.
We may also share aggregated/anonymised information with selected third parties as appropriate and with analytics and service providers that assist us in fault diagnostics, the improvement or the optimisation of the App or for other business purposes, in accordance with applicable law."
anonymised datum on,we,"security, services","For example, we may retain anonymised or pseudonymised data on how individuals use the App or interact with the sign-up flow."
business correspondence,we,"security, services","Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics to maintain and improve our App and Services - We will collect, analyse, and store your Sites/App Use Information, Device Information, Business Correspondence and/or Identification Information, and your Marketing Information, in order to optimise, maintain and make improvements to our Sites, App and our Services, including to keep them updated and relevant, to develop our business, and to inform our marketing and product development strategy.
Summary of this notice

How we use this information, and what the legal basis for this use is

Business communications - We will collect, use, and store your Identification Information and Contact Information, and will review and store your Business Correspondence, to communicate with you in connection with the provision of our App and Services and the management of our relationship with the relevant Customer."
category of personal datum reference,we,"security, services","Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics we provide to our Customers - We may collect, analyse, and store any category of personal data referenced above, in order to provide trend and statistical analysis to our Customers."
communication platform,we,"security, services, advertising, analytics, legal","We operate a website and provide an employee experience application accessible via mobile, desktop or the internet (the "" App "") to employers who are our business customers (our "" Customers ""), and through which we make our services, such as our communication platform, work-management tools, surveys, and forms (our "" Services "") available to Customers."
contact information,we,"security, services, advertising","Online targeting - We will collect, use and store your Identification Information, Contact Information, and Marketing Information to target you with relevant online advertising, including via social media, or to target others who we think might be interested with relevant online advertising.
Summary of this notice

How we use this information, and what the legal basis for this use is

Account creation - We will collect, use, and store your Identification Information and Contact Information to enable you to register and create a business account with us on behalf of a Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Business communications - We will collect, use, and store your Identification Information and Contact Information, and will review and store your Business Correspondence, to communicate with you in connection with the provision of our App and Services and the management of our relationship with the relevant Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Direct marketing - We will collect, use, and store your Identification Information, Contact Information and Marketing Information to send you direct marketing, relevant emails and surveys via email, telephone and/or within the App, in relation to our relevant products and services, or other products and services provided by us, our affiliates and/or third parties in which we provide an integration via our App.
Summary of this notice

Personal data we may collect about you

We may obtain your name, job role and contact information from your company website, corporate directories or social media."
contact information,we,"security, services, advertising, analytics","Online targeting - We will collect, use and store your Identification Information, Contact Information, and Marketing Information to target you with relevant online advertising, including via social media, or to target others who we think might be interested with relevant online advertising.
Summary of this notice

How we use this information, and what the legal basis for this use is

Account creation - We will collect, use, and store your Identification Information and Contact Information to enable you to register and create a business account with us on behalf of a Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Business communications - We will collect, use, and store your Identification Information and Contact Information, and will review and store your Business Correspondence, to communicate with you in connection with the provision of our App and Services and the management of our relationship with the relevant Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Direct marketing - We will collect, use, and store your Identification Information, Contact Information and Marketing Information to send you direct marketing, relevant emails and surveys via email, telephone and/or within the App, in relation to our relevant products and services, or other products and services provided by us, our affiliates and/or third parties in which we provide an integration via our App.
Summary of this notice

Personal data we may collect about you

We may obtain your name, job role and contact information from your company website, corporate directories or social media."
contact information,we,"security, services, advertising, analytics, legal","Online targeting - We will collect, use and store your Identification Information, Contact Information, and Marketing Information to target you with relevant online advertising, including via social media, or to target others who we think might be interested with relevant online advertising.
Summary of this notice

How we use this information, and what the legal basis for this use is

Account creation - We will collect, use, and store your Identification Information and Contact Information to enable you to register and create a business account with us on behalf of a Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Business communications - We will collect, use, and store your Identification Information and Contact Information, and will review and store your Business Correspondence, to communicate with you in connection with the provision of our App and Services and the management of our relationship with the relevant Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Direct marketing - We will collect, use, and store your Identification Information, Contact Information and Marketing Information to send you direct marketing, relevant emails and surveys via email, telephone and/or within the App, in relation to our relevant products and services, or other products and services provided by us, our affiliates and/or third parties in which we provide an integration via our App.
Summary of this notice

Personal data we may collect about you

We may obtain your name, job role and contact information from your company website, corporate directories or social media."
datum in o365,we,"security, services, advertising","For example, if you authorise Blink to connect to your Office 365 account, we receive a token that allows us to access your data in O365, limited to the scope of permissions you grant."
device information,we,"security, services, advertising, analytics","Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics to maintain and improve our App and Services - We will collect, analyse, and store your Sites/App Use Information, Device Information, Business Correspondence and/or Identification Information, and your Marketing Information, in order to optimise, maintain and make improvements to our Sites, App and our Services, including to keep them updated and relevant, to develop our business, and to inform our marketing and product development strategy.
Summary of this notice

How we use this information, and what the legal basis for this use is

Fraud and security monitoring - We will collect, analyse and store your Sites/App Use Information and Device Information to monitor, investigate, prevent and detect fraud, security incidents and other misuse of our App and/or Services, in accordance with applicable law."
end user information,administrator,,We may share End-users Information with the relevant Account Holder and/or Administrator.
end user information,relevant account holder,,We may share End-users Information with the relevant Account Holder and/or Administrator.
end user information,we,"security, services, advertising, analytics",We may share End-users Information with the relevant Account Holder and/or Administrator.
identification information,we,"security, services, advertising, analytics","Online targeting - We will collect, use and store your Identification Information, Contact Information, and Marketing Information to target you with relevant online advertising, including via social media, or to target others who we think might be interested with relevant online advertising.
Summary of this notice

How we use this information, and what the legal basis for this use is

Account creation - We will collect, use, and store your Identification Information and Contact Information to enable you to register and create a business account with us on behalf of a Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics to maintain and improve our App and Services - We will collect, analyse, and store your Sites/App Use Information, Device Information, Business Correspondence and/or Identification Information, and your Marketing Information, in order to optimise, maintain and make improvements to our Sites, App and our Services, including to keep them updated and relevant, to develop our business, and to inform our marketing and product development strategy.
Summary of this notice

How we use this information, and what the legal basis for this use is

Business communications - We will collect, use, and store your Identification Information and Contact Information, and will review and store your Business Correspondence, to communicate with you in connection with the provision of our App and Services and the management of our relationship with the relevant Customer.
Summary of this notice

How we use this information, and what the legal basis for this use is

Direct marketing - We will collect, use, and store your Identification Information, Contact Information and Marketing Information to send you direct marketing, relevant emails and surveys via email, telephone and/or within the App, in relation to our relevant products and services, or other products and services provided by us, our affiliates and/or third parties in which we provide an integration via our App.
Summary of this notice

How we use this information, and what the legal basis for this use is

Identity verification - We collect and use your Identification Information to verify your identity each time you log in to your business account."
information help,we,"security, services, advertising, analytics","Information we collect

Information we automatically collect each time you use the App: When you use the app we collect some information to help us improve our services:"
information we collect from device,we,"security, services, advertising, analytics",We may use the Information we collect from your Device:
information you give we,we,"security, services, advertising, analytics",We use the Information you give us and that we collect in the following ways:
job role,we,"security, services, advertising, analytics","Summary of this notice

Personal data we may collect about you

We may obtain your name, job role and contact information from your company website, corporate directories or social media."
key contract information,we,"security, services, advertising, analytics","Summary of this notice

How we use this information, and what the legal basis for this use is

We may be required to disclose certain key contract information or otherwise in order to respond to an inquiry or notice from a Customer."
marketing information,we,"security, services, advertising, analytics","Online targeting - We will collect, use and store your Identification Information, Contact Information, and Marketing Information to target you with relevant online advertising, including via social media, or to target others who we think might be interested with relevant online advertising.
Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics to maintain and improve our App and Services - We will collect, analyse, and store your Sites/App Use Information, Device Information, Business Correspondence and/or Identification Information, and your Marketing Information, in order to optimise, maintain and make improvements to our Sites, App and our Services, including to keep them updated and relevant, to develop our business, and to inform our marketing and product development strategy.
Summary of this notice

How we use this information, and what the legal basis for this use is

Direct marketing - We will collect, use, and store your Identification Information, Contact Information and Marketing Information to send you direct marketing, relevant emails and surveys via email, telephone and/or within the App, in relation to our relevant products and services, or other products and services provided by us, our affiliates and/or third parties in which we provide an integration via our App."
number of time you see advert,party who help,,"They are also used to limit the number of times you see an advert as well as help measure the effectiveness of an advertising campaign.
We may share this information with other parties who help manage online advertising."
number of time you see advert,we,"security, services, advertising, analytics","They are also used to limit the number of times you see an advert as well as help measure the effectiveness of an advertising campaign.
We may share this information with other parties who help manage online advertising."
person name,we,"security, services, advertising, analytics","Summary of this notice

Personal data we may collect about you

We may obtain your name, job role and contact information from your company website, corporate directories or social media."
personal datum describe in notice,local contracting entity,,"However, Blink will remain data controller in those scenarios, and the local contracting entity would only process any personal data described in this notice on our instructions, and always in accordance with applicable data privacy laws."
personalised service,we,"security, services, advertising, analytics, legal","For our EEA users, we process your information in furtherance of our legitimate interests, including: improving the Services, including any personalised Services.
For our EEA users, we process your information in furtherance of our legitimate interests, including: providing the Services, including any personalised Services."
record of fact you ask we,we,"security, services, advertising, analytics, legal",We also keep a record of the fact that you have asked us not to send you direct marketing or to process your data indefinitely so that we can respect your request in future.
site app use information,we,"security, services, advertising, analytics, legal","Summary of this notice

How we use this information, and what the legal basis for this use is

Fraud and security monitoring - We will collect, analyse and store your Sites/App Use Information and Device Information to monitor, investigate, prevent and detect fraud, security incidents and other misuse of our App and/or Services, in accordance with applicable law."
sites app use information,we,"security, services, advertising, analytics, legal","Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics to maintain and improve our App and Services - We will collect, analyse, and store your Sites/App Use Information, Device Information, Business Correspondence and/or Identification Information, and your Marketing Information, in order to optimise, maintain and make improvements to our Sites, App and our Services, including to keep them updated and relevant, to develop our business, and to inform our marketing and product development strategy."
super smashing ltd,we,"security, services, advertising, analytics, legal","Summary of this notice

We (Super Smashing Ltd, trading as ""Blink"") use your personal data as a data controller for certain purposes including (depending on your relationship with us) account creation, identity verification, direct marketing, and analytics."
survey,we,"security, services, advertising, analytics, legal","We operate a website and provide an employee experience application accessible via mobile, desktop or the internet (the "" App "") to employers who are our business customers (our "" Customers ""), and through which we make our services, such as our communication platform, work-management tools, surveys, and forms (our "" Services "") available to Customers."
token,we,"security, services, advertising, analytics, legal","For example, if you authorise Blink to connect to your Office 365 account, we receive a token that allows us to access your data in O365, limited to the scope of permissions you grant."
trend analysis,we,"security, services, advertising, analytics, legal","Summary of this notice

How we use this information, and what the legal basis for this use is

Analytics we provide to our Customers - We may collect, analyse, and store any category of personal data referenced above, in order to provide trend and statistical analysis to our Customers."
work management tool,we,"security, services, advertising, analytics, legal","We operate a website and provide an employee experience application accessible via mobile, desktop or the internet (the "" App "") to employers who are our business customers (our "" Customers ""), and through which we make our services, such as our communication platform, work-management tools, surveys, and forms (our "" Services "") available to Customers."
