data_type,collector,purpose,text
UNSPECIFIED_DATA,brevo,services,"Data collected

Brevo collects data from Users in order to make the Services for which they have subscribed to the platform available to them.
The Customer warrants that it will provide all necessary information to the relevant natural persons, and obtain all necessary consents from them, as required by applicable data protection and electronic communication laws, in order to allow Brevo to lawfully deploy cookies and similar tracking technologies and to lawfully collect data from the devices of Contacts and Service Users."
UNSPECIFIED_DATA,we,,"It explains how we collect and use information on brevo.com and other websites we own or operate (collectively, the "" Site ""), our suite of software and professional services owned and operated by Sendinblue Inc. or its affiliates and/or delivered under the business name Brevo (the "" Software "") for managing contacts and designing, implementing, and administering email, sms, and certain other marketing programs , our other digital properties or services, and your communications with us by any means (collectively with the Site, Software, and Programs, the "" Services "")."
commercial information,we,,"During the preceding 12 months, we have collected these categories of Personal Information: Commercial information (e.g., purchases considered or completed)"
commercial information,we,"advertising, analytics, security, services, legal","During the preceding 12 months, we have collected these categories of Personal Information: Commercial information (e.g., purchases considered or completed)"
company name,we,,"If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login."
contact information,brevo,"services, legal",Brevo collects Contacts' Personal Information to fulfill our contractual obligations as a service provider to the Customer.
contact information,we,,"If you contact us via the Site or by email, phone, or other means to request information or support, we will collect your name, contact information, and employment-related information as needed to respond to your inquiry."
cookie / pixel tag,UNSPECIFIED_ACTOR,advertising,Brevo may share Personal Information we collect via cookies and other tracing technologies with third parties for cross-contextual behavioral advertising purposes.
cookie / pixel tag,brevo,"services, legal, advertising",Brevo may share Personal Information we collect via cookies and other tracing technologies with third parties for cross-contextual behavioral advertising purposes.
cookie / pixel tag,platform,,"Like most online services, the Site and Platform use cookies as described in our Cookie List ."
cookie / pixel tag,specific cooperate entity,,"In some cases, we may allow specific cooperating entities to use cookies or similar technologies to collect non-personal data from your browser or device for measurement purposes."
cookie / pixel tag,we,"advertising, analytics, security, services","Like most online services, the Site and Platform use cookies as described in our Cookie List .
We collect this information to achieve our legitimate interest of facilitating online communication or when it is strictly necessary to provide an online Service.
We use this information to help diagnose problems with and secure our servers, to administer the proper functioning and legitimate use of our Site, generate analytics and statistics.
With your prior consent, we also use that information to improve the nature and marketing of the Services."
copy of request personal information in portable format,we,"advertising, analytics, security, services","If you submit a right to access request, we will provide you with copies of the requested Personal Information in a portable and readily usable format."
cost estimate,we,"advertising, analytics, security, services","If we determine that the request warrants a fee, we will tell you why we made that decision and provide you with a cost estimate before completing your request."
customer account,we,"advertising, analytics, security, services","If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login.
We collect this information with your consent, and we use it to provide the Services, identify and administer your account, and communicate with you about the Services."
email address,we,"advertising, analytics, security, services","If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login."
email address,we,"advertising, analytics, security, services, legal","If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login."
gmail user datum,brevo,"services, legal, advertising","Notwithstanding anything else in the present Privacy Policy, if the User provides Brevo access to their Gmail user data, Brevo shall:"
non-personal information,specific cooperate entity,analytics,"In some cases, we may allow specific cooperating entities to use cookies or similar technologies to collect non-personal data from your browser or device for measurement purposes."
parent company,we,"advertising, analytics, security, services, legal",We may disclose the Personal Information we collect about you to our affiliates like a parent company or subsidiaries.
payment information,we,"advertising, analytics, security, services","If you place an order with us, we will use a PCI-compliant payment processor to collect and process your payment information.
We collect this information with your consent, and we use it to respond to your inquiries, communicate with you about your order status, or for the purposes stated at the time of collection.
You may opt-in to save your payment information for future orders, but this is not required."
person name,we,"advertising, analytics, security, services","If you contact us via the Site or by email, phone, or other means to request information or support, we will collect your name, contact information, and employment-related information as needed to respond to your inquiry.
If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login."
person name,we,"advertising, analytics, security, services, legal","If you contact us via the Site or by email, phone, or other means to request information or support, we will collect your name, contact information, and employment-related information as needed to respond to your inquiry.
If you create a Customer account, we will collect your name, email address, company name, and require you to choose a password to login."
report show trend about general use of service,we,"advertising, analytics, security, services, legal","For example, we may share reports showing trends about the general use of our Services without identifying an individual."
