data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We may also release your information when we believe release is appropriate to comply with the law, such as to comply with a subpoena, or similar legal process, enforce our policies, and when we believe in good faith that disclosure is necessary to protect ours or others' rights, property, or safety.
We will further retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements."
browser type,we,,"As is true of most websites, we gather certain information on our Website and Platform and automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type & operating system, referring/exit pages, date/time stamp, and/or clickstream data."
clickstream datum,we,,"As is true of most websites, we gather certain information on our Website and Platform and automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type & operating system, referring/exit pages, date/time stamp, and/or clickstream data."
client information,we,,We will retain Client information for as long as your account is active or as needed to provide you services.
cod poll inc.,we,"analytics, services","This privacy policy applies to the COD Poll online voting system (""Platform"") owned and operated by COD Poll Inc. (""We"", ""COD Poll"")."
contact information,we,,"If you are a Participant located in the EU, please note that: If you received an invitation to participate in an online voting event, we received your email or other contact information from the Client."
cookie / pixel tag,UNSPECIFIED_ACTOR,analytics,"On our Platform COD Poll and its partners use cookies or similar technologies to administer our Website, analyze trends, track users' movements around our Website, and to gather demographic information about our user base as a whole."
credit / debit card number,payment gateway provider,,"All sensitive payment information (credit card number, expiry date, validation code) is encrypted via TLS technology and then transmitted to our payment gateway provider."
date time stamp,we,,"As is true of most websites, we gather certain information on our Website and Platform and automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type & operating system, referring/exit pages, date/time stamp, and/or clickstream data."
demographic information about user base as whole,UNSPECIFIED_ACTOR,analytics,"On our Platform COD Poll and its partners use cookies or similar technologies to administer our Website, analyze trends, track users' movements around our Website, and to gather demographic information about our user base as a whole."
email address,we,,"If you are a Participant located in the EU, please note that: If you received an invitation to participate in an online voting event, we received your email or other contact information from the Client."
information about,client,,Upon request COD Poll will provide Clients with information about whether we hold any of your personal information.
ip address,social media,,"Our Platform provides Clients with an option to include Social Media features and widgets, for use by Participants.
These features and widgets may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature or widget to function properly."
ip address,we,,"As is true of most websites, we gather certain information on our Website and Platform and automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type & operating system, referring/exit pages, date/time stamp, and/or clickstream data."
ip address,widget,,"These features and widgets may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature or widget to function properly."
operating system,we,,"As is true of most websites, we gather certain information on our Website and Platform and automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type & operating system, referring/exit pages, date/time stamp, and/or clickstream data."
participant datum we process on behalf of client,we,,We will retain Participant data we process on behalf of our Clients until the Client deletes the data or instructs us to delete the data.
personal information,we,,"If you are a Client located in the EU, please note that: The processing of your personal data is based on your consent, and you have given us consent to collect your personal data, and you have provided us with your Participants' personal data so that you can manage an online voting event."
personal information,we,"analytics, services","If you are a Client located in the EU, please note that: The processing of your personal data is based on your consent, and you have given us consent to collect your personal data, and you have provided us with your Participants' personal data so that you can manage an online voting event."
report base on use of technology by company on individual basis,we,,We may receive reports based on the use of these technologies by these companies on an individual as well as aggregated basis.
sensitive payment information,payment gateway provider,,"All sensitive payment information (credit card number, expiry date, validation code) is encrypted via TLS technology and then transmitted to our payment gateway provider."
