data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics","We and our third-party service providers may collect Other Information in a variety of ways, including:"
UNSPECIFIED_DATA,service provider,"analytics, security, services","We and our service providers use the information for security purposes, to facilitate navigation, to display information more effectively, and to personalize your experience while visiting the Site, as well as for online tracking purposes."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","How We Use and Disclose Other Information
If we are required to treat this information as Personal Information under applicable law, then, in addition to the uses listed in the ""How We Collect Other Information"" section above, we may use and disclose Other Information for all the purposes for which we use and disclose Personal Information.
Please note that we may use and disclose Other Information for any purpose, except where we are required to do otherwise under applicable law.
This means we collect and use your information only where: We are processing your information to protect our legal rights;
This means we collect and use your information only where: We need to process your data to comply with a legal obligation, such as a lawful subpoena or law-enforcement request or to fulfill the lawful instructions of our customers (when they are acting as the controller); and/or
We and our service providers use the information for security purposes, to facilitate navigation, to display information more effectively, and to personalize your experience while visiting the Site, as well as for online tracking purposes.
We and our third-party service providers may collect Other Information in a variety of ways, including:"
browser type,we,"advertising, analytics, legal, security, services","Cookies allow us to collect information such as browser type, time spent on the Site, pages visited and language preferences."
computer type,most browser,,"We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version."
computer type,we,"advertising, analytics, legal, security, services","We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version.
We use this information to ensure that our Site functions properly."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We also use cookies to gather statistical information about the usage of the Site in order to continually improve the design and functionality, understand how customers use it, and to resolve questions about it.
We may also use log files, cookies and similar technologies to collect information about the pages you view, links you click on, and other actions you may take when accessing our websites, services, or emails."
information about page you view,we,"advertising, analytics, legal, security, services","We may also use log files, cookies and similar technologies to collect information about the pages you view, links you click on, and other actions you may take when accessing our websites, services, or emails."
information about you,we,"advertising, analytics, legal, security, services","If you are an individual in the European Economic Area (EEA), we collect and process information about you only where we have legal bases for doing so under applicable EU laws."
internet activity,we,"advertising, analytics, legal, security, services","We also use cookies to gather statistical information about the usage of the Site in order to continually improve the design and functionality, understand how customers use it, and to resolve questions about it."
internet browser type,most browser,,"We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version."
internet browser type,we,"advertising, analytics, legal, security, services","We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version.
We use this information to ensure that our Site functions properly."
ip address,UNSPECIFIED_ACTOR,"advertising, analytics","We and our third-party service providers may collect Other Information in a variety of ways, including: IP Address : Your ""IP Address"" is a number that is automatically assigned to the computer that you are using by your Internet Service Provider (ISP)."
ip address,we,"advertising, analytics, legal, security, services","We and our third-party service providers may collect Other Information in a variety of ways, including: IP Address : Your ""IP Address"" is a number that is automatically assigned to the computer that you are using by your Internet Service Provider (ISP).
We use IP Addresses for purposes such as calculating Site usage levels, helping diagnose server problems, and administering the Site."
language preference,we,"advertising, analytics, legal, security, services","Cookies allow us to collect information such as browser type, time spent on the Site, pages visited and language preferences."
log file,we,"advertising, analytics, legal, security, services","We may also use log files, cookies and similar technologies to collect information about the pages you view, links you click on, and other actions you may take when accessing our websites, services, or emails."
mac address,most browser,,"We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version."
mac address,we,"advertising, analytics, legal, security, services","We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version.
We use this information to ensure that our Site functions properly."
many choice regard use of personal information for marketing purpose,we,"advertising, analytics, legal, security, services",We give you many choices regarding our use and disclosure of your Personal Information for marketing purposes.
operating system version,most browser,,"We and our third-party service providers may collect Other Information in a variety of ways, including: Through your browser: Certain information is collected by most browsers, such as your Media Access Control (MAC) address, computer type (Windows or Macintosh), screen resolution, operating system version and Internet browser type and version."
