data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, services","We use cookies and similar tracking technologies to track the activity on our Service and we hold certain information.
We use your data to provide and improve the Service."
analysis,capturemymeeting inc.,,"CaptureMyMeeting, Inc. uses the collected data for various purposes:

To gather analysis or valuable information so that we can improve our Service"
collect datum,Google,advertising,Google may use the collected data to contextualise and personalise the ads of its own advertising network.
collect datum,capturemymeeting inc.,"advertising, analytics, security, services","CaptureMyMeeting, Inc. uses the collected data for various purposes:"
contact information,we,"analytics, services","While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
credit / debit card number,third party payment processor govern,,"That information is provided directly to our third-party payment processors whose use of your personal information is governed by their Privacy Policy.
We will not store or collect your payment card details."
datum collect,Google,"advertising, analytics","Google uses the data collected to track and monitor the use of our Service.
This data is shared with other Google services."
information on,we,"analytics, services, security","We may also collect information on how the Service is accessed and used (""Usage Data"")."
personal information,UNSPECIFIED_ACTOR,services,These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.
personal information,capturemymeeting inc.,"advertising, analytics, security, services","CaptureMyMeeting, Inc. may disclose your Personal Data in the good faith belief that such action is necessary to:
CaptureMyMeeting, Inc. may process your Personal Data because:
CaptureMyMeeting, Inc. will retain your Personal Data only for as long as is necessary for the purposes set out in this Privacy Policy.
Under certain circumstances, CaptureMyMeeting, Inc. may be required to disclose your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency)."
personal information,we,"analytics, services, security, advertising","If you are located outside United States and choose to provide information to us, please note that we transfer the data, including Personal Data, to United States and process it there.
We may use your Personal Data to contact you with newsletters, marketing or promotional materials and other information that may be of interest to you.
We will retain and use your Personal Data to the extent necessary to comply with our legal obligations (for example, if we are required to retain your data to comply with applicable laws), resolve disputes and enforce our legal agreements and policies.
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
preference cookies,we,"analytics, services, security, advertising",We use Preference Cookies to remember your preferences and various settings.
several different type,we,"analytics, services, security, advertising",We collect several different types of information for various purposes to provide and improve our Service to you.
valuable information,capturemymeeting inc.,"advertising, analytics, security, services","CaptureMyMeeting, Inc. uses the collected data for various purposes:

To gather analysis or valuable information so that we can improve our Service"
