data_type,collector,purpose,text
Google,analytic provider,,"We may directly collect analytics data, or use third-party analytics tools (such as those of Google Analytics), to help us measure traffic and usage trends for the Service."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If you choose to use these sites or features, you may disclose your information not just to those third parties, but also to their users and the public more generally depending on how their services function.
We may also disclose your information to third parties with your consent to do so.
We may share your information with contractors and third party service providers that help us operate our business."
UNSPECIFIED_DATA,contractor,,We may share your information with contractors and third party service providers that help us operate our business.
UNSPECIFIED_DATA,we,services,"1. How We Collect And Use Information

Information you provide us directly: We collect a variety of information that you provide directly to us, including:
For example, we may collect information about you from publicly available websites and other users who upload information into the Service.
However, we may retain your information even after you have opted out if retention is necessary to comply with legal obligations, regulatory requirements, or to prevent fraud or abuse.
However, we may retain your information even after you have opted out, so we can keep a record of and process your opt-out and/or if retention is necessary to comply with legal obligations, regulatory requirements, or to prevent fraud or abuse.
We also use your information to send you Service-related emails (e.g., account verification, purchase and billing confirmations and reminders, changes/updates to features of the Service, technical and security notices).
We may also disclose your information to third parties with your consent to do so.
We may share your information in the following ways:
We may share your information with contractors and third party service providers that help us operate our business.
We use this information to operate and improve the Service.
We will disclose your information where it believes it is required to do so by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms of Service or to protect the security or integrity of our Service; and/or (c) to exercise or protect the rights, property, or personal safety of us, our Users or others.
When you use our Service, we may automatically collect certain information, including:"
analytic datum,we,services,"We may directly collect analytics data, or use third-party analytics tools (such as those of Google Analytics), to help us measure traffic and usage trends for the Service."
analytic information,we,services,"1. How We Collect And Use Information

Analytics information."
cookie / pixel tag,browser,,Persistent cookies may be used by your browser on subsequent visits to the site.
cookie / pixel tag,we,services,"1. How We Collect And Use Information

Cookies information."
customer name,we,services,"We may also sell, assign or otherwise transfer such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions, reorganizations, liquidations, similar transactions or proceedings involving all or a portion of the company.
Your information such as customer names and email addresses, User Content and other user information related to the Service may be among the items sold or otherwise transferred in these types of transactions."
email address,we,services,"We may also sell, assign or otherwise transfer such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions, reorganizations, liquidations, similar transactions or proceedings involving all or a portion of the company.
When you first sign in to your account, you will need to provide us with a username, password, your first and last name, and your email address.
Your information such as customer names and email addresses, User Content and other user information related to the Service may be among the items sold or otherwise transferred in these types of transactions."
information in connection with service,we,services,"It explains how we collect, use, disclose and protect information in connection with the Service, and your choices about the collection and use of Customer (""you"" or ""your"") information."
information we collect,we,services,"1. How We Collect And Use Information

Information we automatically collect
We may use the information we collect or receive to communicate directly and indirectly with you."
information we receive from third party,we,services,"1. How We Collect And Use Information

Information we may receive from third parties"
information you upload to service,we,services,"We may share information about you, as well as information that you upload to the Service, with other users for the purpose of operating and improving the Service."
log file information,we,services,"When you use our Service, our servers automatically record certain log file information."
password,we,services,"When you first sign in to your account, you will need to provide us with a username, password, your first and last name, and your email address."
person name,we,services,"When you first sign in to your account, you will need to provide us with a username, password, your first and last name, and your email address."
share in company,we,services,"We may buy or sell/divest/transfer the company (including any shares in the company), or any combination of its products, services, assets and/or businesses."
user content,we,services,"We may also collect User Content, including content that you post, upload, or otherwise share or integrate with the Service.
We may also sell, assign or otherwise transfer such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions, reorganizations, liquidations, similar transactions or proceedings involving all or a portion of the company.
Your information such as customer names and email addresses, User Content and other user information related to the Service may be among the items sold or otherwise transferred in these types of transactions."
user information relate to service,we,services,"We may also sell, assign or otherwise transfer such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions, reorganizations, liquidations, similar transactions or proceedings involving all or a portion of the company.
Your information such as customer names and email addresses, User Content and other user information related to the Service may be among the items sold or otherwise transferred in these types of transactions."
username,we,services,"When you first sign in to your account, you will need to provide us with a username, password, your first and last name, and your email address."
