data_type,collector,purpose,text
UNSPECIFIED_DATA,clixie,,"This Privacy Policy states what information Clixie collects from users of its website (the ""Site""), Clixie interactive media platform , and associated analytics services (the platform and analytics services, collectively the ""Services""), and how this information is used."
analytic provider,we,services,"This Privacy Policy states what information Clixie collects from users of its website (the ""Site""), Clixie interactive media platform , and associated analytics services (the platform and analytics services, collectively the ""Services""), and how this information is used."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"These other third party websites may also use cookies or similar technologies in accordance with their own separate polices.
We may link to other websites owned and operated by certain third parties."
cookie / pixel tag,we,,We may set and access cookies on your computer and use web tools to provide us with information about your browsing experience.
information collect,we,services,"We use the information collected to deliver the Services, help diagnose problems with our server and to administer our Site and/or Services, as well as to save your password so you don't have to reenter it each time you visit our Site."
ip address,we,services,"As you use our Site and/or the Services, we may collect and store IP addresses, the website address that brought you to our Site, the website address where videos you create using our Services are displayed, the interactions with those videos, including the website address to which each viewer goes when they stop viewing such videos, the video viewing duration and the number of times each video is viewed."
number of time view,we,services,"As you use our Site and/or the Services, we may collect and store IP addresses, the website address that brought you to our Site, the website address where videos you create using our Services are displayed, the interactions with those videos, including the website address to which each viewer goes when they stop viewing such videos, the video viewing duration and the number of times each video is viewed."
personal information,clixie,,"Clixie may release personal information when we: (1) respond to subpoenas, court orders or legal process, and we exercise our legal rights or defend against legal claims; (2) believe it is necessary to share information in order to investigate, prevent or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person, violations of the Terms of Service or as otherwise required by law; or (3) transfer information about you if Clixie is acquired by or merged with another entity."
type of information,we,services,We also receive and store certain types of information whenever you access the Site.
website address,we,services,"As you use our Site and/or the Services, we may collect and store IP addresses, the website address that brought you to our Site, the website address where videos you create using our Services are displayed, the interactions with those videos, including the website address to which each viewer goes when they stop viewing such videos, the video viewing duration and the number of times each video is viewed."
website address bring you to site,we,services,"As you use our Site and/or the Services, we may collect and store IP addresses, the website address that brought you to our Site, the website address where videos you create using our Services are displayed, the interactions with those videos, including the website address to which each viewer goes when they stop viewing such videos, the video viewing duration and the number of times each video is viewed."
