data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, services","Soloinsight and our third-party partners also collect information using web beacons (also known as ""tracking pixels"").
These service providers may have access to or process your Information for the purpose of providing those services for us.
Third parties who have been granted access to your Content through Add-Ons could use this data to contact you and market services to you and could share your data with other third parties.
We work with third-party service providers to provide website, application development, hosting, maintenance, back-up, storage, virtual infrastructure, payment processing, analysis, and other services for us."
UNSPECIFIED_DATA,soloinsight,,"Soloinsight and our third-party partners also collect information using web beacons (also known as ""tracking pixels"")."
UNSPECIFIED_DATA,third party grant access to content through add ons,"advertising, services",Third parties who have been granted access to your Content through Add-Ons could use this data to contact you and market services to you and could share your data with other third parties.
UNSPECIFIED_DATA,we,,"We also obtain information from third parties and combine that with Information we collect through Soloinsight Services.
We collect Information under the direction of our customers and often have no direct relationship with the individuals whose personal data we process."
account information,we,,"We collect the following information: Account and Profile Information: We collect information about you and your company as you register for an account, create or modify your profile, make purchases through, use, access, or interact with the Soloinsight Services (including but not limited to when you upload, download, collaborate on or share Content).
We will retain your account information for as long as your account is active, or as reasonably useful for commercial purposes, or as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,"advertising, services",We may also share aggregated or anonymized information that does not directly identify you with the third parties described above.
aggregate / deidentified / pseudonymized information,we,,We may also share aggregated or anonymized information that does not directly identify you with the third parties described above.
browser type,we,,"As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and SaaS Products.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, the information you search for, locale and language preferences, identification numbers associated with your Devices, your mobile carrier, and system configuration information."
browsing / search history,UNSPECIFIED_ACTOR,"advertising, services","Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
browsing / search history,soloinsight,,"Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
content,UNSPECIFIED_ACTOR,"advertising, services","When access is granted, your Content is shared with a third party."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, services","Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
cookie / pixel tag,advertiser,,"Soloinsight and our third-party partners, such as our advertising and analytics partners, use various technologies to collect information, such as cookies and web beacons."
cookie / pixel tag,analytic provider,,"Soloinsight and our third-party partners, such as our advertising and analytics partners, use various technologies to collect information, such as cookies and web beacons."
cookie / pixel tag,soloinsight,,"Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services.
Soloinsight and our third-party partners, such as our advertising and analytics partners, use various technologies to collect information, such as cookies and web beacons."
cookie / pixel tag,we,"analytics, services","We use cookies to improve and customize Soloinsight Services and your experience; to allow you to access and use the Websites or SaaS Products without re-entering your username or password, and to count visits and understand which areas and features of the Websites and SaaS Products are most popular."
current city,we,"analytics, services","By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), phone numbers, current city, profile picture URL, and other information that the third-party service makes available to us, and to use and disclose it in accordance with this Privacy Policy."
date time stamp,we,"analytics, services","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and SaaS Products.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, the information you search for, locale and language preferences, identification numbers associated with your Devices, your mobile carrier, and system configuration information."
datum you submit to website,we,"analytics, services","We collect other data that you submit to our Websites or as you participate in any interactive features of the Soloinsight Services, participate in a survey, contest, promotion, activity, or event, apply for a job, request customer support, communicate with us via third-party social media sites or otherwise communicate with us."
e,UNSPECIFIED_ACTOR,"advertising, services","Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
e,soloinsight,,"Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
email address,soloinsight,services,"To facilitate the documentation of visitor invitation particulars, Soloinsight needs to gather certain sensitive information from users: their name, and email address."
email address,we,,"By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), phone numbers, current city, profile picture URL, and other information that the third-party service makes available to us, and to use and disclose it in accordance with this Privacy Policy."
email address,we,"analytics, services","By authorizing us to connect with a third-party service, you authorize us to access and store your name, email address(es), phone numbers, current city, profile picture URL, and other information that the third-party service makes available to us, and to use and disclose it in accordance with this Privacy Policy."
html5 local storage,UNSPECIFIED_ACTOR,"advertising, services","Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
html5 local storage,soloinsight,services,"Soloinsight and our third-party partners may use JavaScript, e-tags, ""flash cookies"", and HTML5 local storage to collect information about your online activities over time and across different websites or online services."
identification number,we,"analytics, services","As is true with most websites and services delivered over the Internet, we gather certain information and store it in log files when you interact with our Websites and SaaS Products.
This information includes internet protocol (IP) addresses as well as browser type, internet service provider, URLs of referring/exit pages, operating system, date/time stamp, the information you search for, locale and language preferences, identification numbers associated with your Devices, your mobile carrier, and system configuration information."
information about you,we,"analytics, services","We collect the following information: Account and Profile Information: We collect information about you and your company as you register for an account, create or modify your profile, make purchases through, use, access, or interact with the Soloinsight Services (including but not limited to when you upload, download, collaborate on or share Content)."
