data_type,collector,purpose,text
UNSPECIFIED_DATA,provider base in us,,"Whenever we transfer your personal data out of the EEA, we ensure a similar degree of protection is afforded to it by ensuring at least one of the following safeguards is implemented: Where we use providers based in the US, we may transfer data to them if they are part of the Privacy Shield which requires them to provide similar protection to personal data shared between the Europe and the US."
UNSPECIFIED_DATA,we,,"This enables you to ask us to suspend the processing of your personal data in the following scenarios: (a) if you want us to establish the data's accuracy; (b) where our use of the data is unlawful but you do not want us to erase it; (c) where you need us to hold the data even if we no longer require it as you need it to establish, exercise or defend legal claims; or (d) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it.
We use different methods to collect data from and about you including through:
Whenever we transfer your personal data out of the EEA, we ensure a similar degree of protection is afforded to it by ensuring at least one of the following safeguards is implemented: Where we use providers based in the US, we may transfer data to them if they are part of the Privacy Shield which requires them to provide similar protection to personal data shared between the Europe and the US."
contact,we,,"You may give us your Identity, Contact and Financial Data by filling in forms or by corresponding with us by post, phone, email or otherwise."
cookie / pixel tag,we,"advertising, legal, services","But in order to comply with your preferences, we'll have to use just one tiny cookie so that you're not asked to make this choice again.
This website stores cookies on your computer."
datum about you,UNSPECIFIED_ACTOR,,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.
different kind,we,"advertising, legal, services","We may collect, use, store and transfer different kinds of personal data about you which we have grouped together follows:"
different method,we,"advertising, legal, services",We use different methods to collect data from and about you including through:
feedback,we,"advertising, legal, services",This includes personal data you provide when you: give us some feedback.
financial datum,we,"advertising, legal, services","You may give us your Identity, Contact and Financial Data by filling in forms or by corresponding with us by post, phone, email or otherwise."
identity,we,"advertising, legal, services","You may give us your Identity, Contact and Financial Data by filling in forms or by corresponding with us by post, phone, email or otherwise."
personal datum in structured use machine readable format,UNSPECIFIED_ACTOR,,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum in structured use machine readable format,we,"advertising, legal, services","We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
special category of personal data about you,we,"advertising, legal, services","We may collect Special Categories of Personal Data about you (this may include details about your race or ethnicity, religious or philosophical beliefs, sex life, sexual orientation, information about your health and genetic and biometric data)."
specific information,we,"advertising, legal, services, security",We may need to request specific information from you to help us confirm your identity and ensure your right to access your personal data (or to exercise any of your other rights).
technical data about equipment,we,"advertising, legal, services, security","As you interact with our website, we may automatically collect Technical Data about your equipment, browsing actions and patterns.
We collect this personal data by using cookies, server logs and other similar technologies."
technical data about you,we,"advertising, legal, services, security",We may also receive Technical Data about you if you visit other websites employing our cookies.
