data_type,collector,purpose,text
UNSPECIFIED_DATA,conexed,services,"ConexED will use your personal identifying information to complete the following forms, to obtain information for you and to effect transactions on your behalf, in each case only upon your instructions to do so:"
access,UNSPECIFIED_ACTOR,,"Data residing on the ConexED server is password protected, and access is provided only to the account holder who created the password, anyone to whom that account holder entrusted the password, authorized staff of the Institution, and those employees of ConexED who require such access to administer and maintain the ConexED system or to provide requested customer support to users of ConexED."
access,authorized staff of institution,,"Data residing on the ConexED server is password protected, and access is provided only to the account holder who created the password, anyone to whom that account holder entrusted the password, authorized staff of the Institution, and those employees of ConexED who require such access to administer and maintain the ConexED system or to provide requested customer support to users of ConexED."
access,employee of conexed,,"Data residing on the ConexED server is password protected, and access is provided only to the account holder who created the password, anyone to whom that account holder entrusted the password, authorized staff of the Institution, and those employees of ConexED who require such access to administer and maintain the ConexED system or to provide requested customer support to users of ConexED."
access time,we,,"We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
aggregate / deidentified / pseudonymized information,college,,Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
aggregate / deidentified / pseudonymized information,conexed,services,Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
aggregate / deidentified / pseudonymized information,educational institution,,Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
bit secure socket layer encryption support,conexed,services,"ConexED uses 128-bit, Secure Socket Layer encryption supported by all common browsers."
browser type,we,,"We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
cookie / pixel tag,conexed,services,ConexED uses cookies to remember you and keep track of your session when you are logged on to ConexED.
cookie / pixel tag,we,,"We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
domain name,we,,"We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
identify information,we,services,Your personal identifying information may also be used for the following purposes: We may use your identifying information to help diagnose problems with ConexED's server and to administer the ConexED website.
information about you,we,services,"We may collect information about you directly from you and from third parties, as well as automatically through your use of our Site or Services."
information contain in conexed account,conexed,services,"When required by law to comply with any valid legal process such as a search warrant, subpoena, statute, regulation or court order, ConexED will supply such information contained in your ConexED account as ConexED reasonably determines, based on the advice of counsel, it is legally required to supply."
information we receive from facebook,we,services,"We store the information that we receive from Facebook, LinkedIn, Google or your institution's Learning Management System (LMS) with other information that we collect from you or receive about you."
ip address,browser,,"When you log on to ConexED, your browser will automatically transmit to ConexED's server the IP address of your computer and type of browser you are using."
ip address,server,,"When you log on to ConexED, your browser will automatically transmit to ConexED's server the IP address of your computer and type of browser you are using."
ip address,we,services,"We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
personal identify information,college,"analytics, security, services","Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
Your personal identifying information may also be used for the following purposes:"
personal identify information,conexed,"services, analytics, security","Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
Your personal identifying information may also be used for the following purposes:"
personal identify information,educational institution,"analytics, security, services","Summary data representing a compilation of aggregate data representing ConexED users may be collected by ConexED and provided to various entities including colleges and other educational institutions represented on ConexED.
Your personal identifying information may also be used for the following purposes:"
personal identifying information,conexed,"services, analytics, security","ConexED will use your personal identifying information to complete the following forms, to obtain information for you and to effect transactions on your behalf, in each case only upon your instructions to do so:"
personal information,conexed,"services, analytics, security",ConexED collects personal information from you primarily for three reasons.
refer url,we,"services, analytics","We may automatically collect the following information about your use of our Site or Services through cookies, web beacons, and other technologies: your domain name; your browser type and operating system; web pages you view; links you click; your IP address; the length of time you visit our Site and or use our Services; and the referring URL, or the webpage that led you to our Site, and the following: access time, browser type, domain name, IP address, page views and referring URL."
specific information,conexed,"services, analytics, security","In addition, ConexED may release specific information relevant to special cases, such as a physical threat to you or others or an attempted breach of security on the ConexED site."
start time of zoom meeting create as result of appointment schedule through conexed,we,"services, analytics","ConexED's Zoom integration will automatically collect the start and end time of any Zoom meetings which were created as the result of an appointment scheduled through ConexED.
Similarly, when everyone has disconnected and the meeting has ended, our system will automatically record this time as the ""actual end time"" of the meeting.
When you first join the Zoom meeting, our system will automatically record this time as the ""actual start time"" of the meeting."
start time of zoom meeting create as result of appointment schedule through conexed,zoom integration,,ConexED's Zoom integration will automatically collect the start and end time of any Zoom meetings which were created as the result of an appointment scheduled through ConexED.
unique id,we,"services, analytics","When using ConexED's Zoom integration, we collect a unique ID from Zoom which uniquely links your ConexED and Zoom accounts so that we may create and update meetings."
unique set of credential know as oauth token you revoke at time through conexed application,we,"services, analytics",We also collect a unique and temporary set of credentials known as OAuth tokens which you may revoke at any time through the ConexED application or your Zoom account settings.
