data_type,collector,purpose,text
UNSPECIFIED_DATA,Facebook,,"Legal basis: Legitimate interests Data items: Pictures / images, Electronic identification data, Electronic localisation data, Customer name, Date & time Data is processed in the EU META PLATFORMS IRELAND LIMITED (ex-Facebook) receives the data"
UNSPECIFIED_DATA,Mailjet,,"Purpose: To establish email delivery service Legal basis: Contract Data items: Electronic identification data, Customer name, Correspondence content, Email address Data is processed in the EU Mailjet SAS receives the data"
UNSPECIFIED_DATA,Piwik PRO,,"Data items: Electronic identification data, Electronic localisation data, Date & time Data is processed in the EU Piwik PRO receives the data"
UNSPECIFIED_DATA,Twilio,,"Communication services Purpose: To enable communication services Legal basis: Contract Data items: Pictures / images, Electronic identification data Data is processed in the EU Twilio Ireland Limited receives the data"
UNSPECIFIED_DATA,amazon eu company,,"IT Support Purpose: To ensure proper running of the IT environment Legal basis: Legitimate interests Data items: Electronic identification data, Customer name, Email address Data is processed in the EU Amazon EU companies receives the data"
UNSPECIFIED_DATA,ex,,"Legal basis: Legitimate interests Data items: Pictures / images, Electronic identification data, Electronic localisation data, Customer name, Date & time Data is processed in the EU META PLATFORMS IRELAND LIMITED (ex-Facebook) receives the data"
UNSPECIFIED_DATA,ireland unlimited company,,"Social media - Linkedin Purpose: To promote the company and its services Legal basis: Legitimate interests Data items: Staff member name, Pictures / images, Electronic identification data, Electronic localisation data, Involved party name, Date & time Data is processed in the EU LinkedIn Ireland Unlimited Company receives the data"
UNSPECIFIED_DATA,lionheart squared ltd,,"Data items: Pictures / images, Voice recordings data, Username, Email address Data is processed in the EU Zoom - via Lionheart Squared Ltd receives the data"
UNSPECIFIED_DATA,mux uk ltd,,"Purpose: To host video streaming Legal basis: Contract Data items: Pictures / images, Electronic identification data Data is processed in the EU MUX UK Ltd receives the data"
UNSPECIFIED_DATA,we,"analytics, services","We collect and process your data on this site to better understand how it is used.
We may request certain information from you in order to enable you to use or purchase our services or products.
We process the data to allow us to deliver the services/products, and to continually improve the services/products available to you and adapt them to your needs."
attendee datum,attendee support,services,This section of our privacy policy outlines how attendee support may access and handle attendee data to assist with problem resolution and provide a seamless event experience.
attendee datum associate with account,support team,"security, services","In some cases, to effectively diagnose and resolve problems, our support team may need to access certain attendee data associated with your account."
cookie / pixel tag,we,"analytics, services",More specifically we will collect any or all of the following data elements : Phone number Pictures / images Profile preferences Profile visibility status Read-receipt data Registration status Third party cookies Username
customer name,we,"analytics, services",More specifically we will collect any or all of the following data elements : Company address Company name Correspondence content Customer name
datum relate to attendee use online event platform,we,"analytics, services","This segment of our privacy policy outlines how we collect, process, and handle data related to attendees using our online event platform."
domain name,webserver,,"Furthermore, each time you visit our website, the webserver automatically processes your IP address and/or your domain name."
information about visit to site,we,"analytics, services",We'll collect information about your visit to our site.
ip address,webserver,,"Furthermore, each time you visit our website, the webserver automatically processes your IP address and/or your domain name."
person name,we,"analytics, services","In dealing with our suppliers we typically collect, process and store the name, work email and work phone of the persons interacting with us."
personal information,social media,,"If you use the social media functions such as eg ""like"" or ""share"" button that may be on our website, or if you visit our social media page, please know that your personal data will be processed by the social media platform."
specific information,we,"analytics, services, security",We sometimes need to request specific information from you to help us confirm your identity and ensure your right to access the information (or to exercise any of your other rights).
vat number of supplier,we,"analytics, services, security","We also collect, process and store the VAT number of our suppliers."
work email,we,"analytics, services, security","In dealing with our suppliers we typically collect, process and store the name, work email and work phone of the persons interacting with us."
work phone,we,"analytics, services, security","In dealing with our suppliers we typically collect, process and store the name, work email and work phone of the persons interacting with us."
