data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,Sharing Your Information with Third Parties
UNSPECIFIED_DATA,we,,"Our Privacy Policy is designed to help you understand what information we collect and how we use and share that information.
We may collect information when you interact with our advertisements and other content on third-party sites or platforms, such as social networking sites.
We may collect other information from you that is not specifically listed here.
We may use any such information in accordance with this Privacy Policy or as otherwise permitted by you.
We use your information in the following ways:"
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,services,We may also share aggregated or anonymized information with third parties for other purposes.
aggregate / deidentified / pseudonymized information,we,,"Otherwise we may disclose such information for any reason.
We may also share aggregated or anonymized information with third parties for other purposes."
choice,UNSPECIFIED_ACTOR,services,"Sharing Your Information with Third Parties

Your Controls and Choice"
control,UNSPECIFIED_ACTOR,services,"Sharing Your Information with Third Parties

Your Controls and Choice"
cookie / pixel tag,we,,We use cookies and similar technologies to collect some of this information.
credit / debit card number,Stripe,,"When you make a purchase on the Offerings, any credit card information you provide as part of your Payment Information is collected and processed directly by our payment processor Stripe through their Stripe Checkout service."
credit / debit card number,payment processor,,"When you make a purchase on the Offerings, any credit card information you provide as part of your Payment Information is collected and processed directly by our payment processor Stripe through their Stripe Checkout service."
geolocation,we,,"We may also collect location information, including location information automatically provided by your computer or device."
information about you,we,,"We collect information about you when you (a) register to use the Services and (b) otherwise provide contact information to us via email, mail, or through our Offerings."
payment information,we,services,"Sharing Your Information with Third Parties

We may share your Payment Information to process your payments;
When you purchase the Services, we will also collect transaction information, which may include your credit card information, billing and mailing address, and other payment-related information ("" Payment Information "")."
