data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may provide your information to third party vendors and service providers that perform services and functions on our behalf to help us operate and manage our Site and to provide products and services that you may purchase from us.
UNSPECIFIED_DATA,service provider,,We may provide your information to third party vendors and service providers that perform services and functions on our behalf to help us operate and manage our Site and to provide products and services that you may purchase from us.
UNSPECIFIED_DATA,we,advertising,"In compliance with California and other state laws, we provide individuals with certain information and access upon request (a ""Consumer Request"").
We collect information you provide to us when you create or modify your account; register to use our Site; purchase products or services from us; post comments or reviews on our Site; request information from us; contact customer support; or otherwise communicate with us.
We may provide your information to third party vendors and service providers that perform services and functions on our behalf to help us operate and manage our Site and to provide products and services that you may purchase from us.
We may use cookies and other information to provide relevant interest-based ads to you, and ad networks to which we belong may use your browsing activity across participating websites to show you interest-based ads on those websites."
account username,we,"advertising, security","To verify your identity, we will request your name, Account username, and date of birth."
browser information,Hotjar,,"Hotjar stores this information on our behalf in a pseudonymized user profile.
This includes a device""s IP address, which is processed during your session and stored in a de-identified form; device screen size; device type (unique device identifiers); browser information; geographic location (country only); and the preferred language used to display our website."
cookie / pixel tag,Google,analytics,Google Analytics uses cookies to help the Site analyze user activity.
cookie / pixel tag,Hotjar,,"Hotjar uses cookies and other technologies to collect data on our users"" behavior and their devices."
cookie / pixel tag,service provider,"advertising, analytics, services","We and our service providers use cookies, web beacons, and other technologies (collectively, ""cookies"") to receive and store certain types of information whenever you interact with our Site through your computer or mobile device to improve the quality of our services, including for storing user preferences, tracking user trends, and providing relevant advertising to you."
cookie / pixel tag,we,"advertising, security, analytics, services","We and our service providers use cookies, web beacons, and other technologies (collectively, ""cookies"") to receive and store certain types of information whenever you interact with our Site through your computer or mobile device to improve the quality of our services, including for storing user preferences, tracking user trends, and providing relevant advertising to you.
We may use cookies and other information to provide relevant interest-based ads to you, and ad networks to which we belong may use your browsing activity across participating websites to show you interest-based ads on those websites."
date of birth,we,"advertising, security, analytics, services","To verify your identity, we will request your name, Account username, and date of birth."
date of birth,we,"advertising, security, analytics, services, legal","To verify your identity, we will request your name, Account username, and date of birth."
datum on behavior,Hotjar,,"Hotjar uses cookies and other technologies to collect data on our users"" behavior and their devices."
different level of quality,we,"advertising, security, analytics, services","However, we can and may charge you a different rate, or provide a different level of quality, if the difference is reasonably related to the value provided by your Personal Information."
information about,we,"advertising, security, analytics, services",We may use information about how you browse in order to show you ads for Deliberate or our advertising partners that are relevant to your interests.
information collect,we,"advertising, security, analytics, services","The information we collect through cookies does not include Personal Information, but we may maintain the information collected and associate it with Personal Information we collect in other ways."
information we collect,we,"advertising, security, analytics, services",We collect this information in different ways: Information we collect automatically:
information you provide to we,we,"advertising, security, analytics, services","We collect information you provide to us when you create or modify your account; register to use our Site; purchase products or services from us; post comments or reviews on our Site; request information from us; contact customer support; or otherwise communicate with us.
We collect this information in different ways: Information you provide to us:"
internet activity,we,"advertising, security, analytics, services",Google Analytics uses cookies to help the Site analyze user activity.
internet activity,we,"advertising, security, analytics, services, legal",Google Analytics uses cookies to help the Site analyze user activity.
person name,we,"advertising, security, analytics, services","To verify your identity, we will request your name, Account username, and date of birth."
person name,we,"advertising, security, analytics, services, legal","To verify your identity, we will request your name, Account username, and date of birth."
personal identifier,we,"advertising, security, analytics, services","If you submit a Consumer Request, you must provide us with enough information to identify you and specifics about your request."
personal information,UNSPECIFIED_ACTOR,services,": In addition to the sharing described elsewhere in this Policy, we may share Personal Information with companies, organizations, or individuals outside of Deliberate when we have your consent to do so.
These vendors and service providers will have access to your Personal Information to provide these services.
We may provide your information to third party vendors and service providers that perform services and functions on our behalf to help us operate and manage our Site and to provide products and services that you may purchase from us.
We will share Personal Information with third party companies, organizations, or individuals outside of Deliberate when we believe in good faith that it is reasonably necessary to comply with a legal obligation; when we believe in good faith that the law requires it; at the request of governmental authorities conducting an investigation; to verify or enforce our agreements, terms of use, or other applicable policies; to respond to an emergency; or otherwise to protect the rights, property, safety, or security of Deliberate, third parties, visitors to our Site, or the public, as required or permitted by law."
personal information,service provider,"advertising, analytics, services",These vendors and service providers will have access to your Personal Information to provide these services.
