data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We collect information and material (user generated content) provided to us voluntarily by our users or the viewers to publish and process on our platform.
We process your data in accordance with the applicable laws and regulations following industry best practices."
account,we,,"When you connect your existing calendar such as Google Calendar, Outlook Calendar or connect your Slack we access your account on your behalf to get information about your events and in the case of Slack it is the workspace informations."
datum concern site visitor,Google,,Google Analytics provides data concerning site visitors and activity at the website
different category of datum,we,,"This means that we retain different categories of data for different periods of time depending on the type of data, the category of user to whom the data relates to, and the purposes for which we collected the data."
different datum from,we,,"Privacy Policy

We may collect different data from or about you depending on how you use the Sites."
information about you,UNSPECIFIED_ACTOR,,"We may access, preserve, and disclose information about you to third parties, including the content of messages if we believe disclosure is in accordance with or required by, applicable law, regulation, legal process, or audits."
information about you,service provider,,"We may use service providers & third parties for operating and improving the Sites, to assist with certain functions, such as payment processing, email transmission, conducting surveys or contests, data hosting, managing our ads, third-party solutions for marketing and analytics, and some aspects of our technical and customer support.
We take measures to ensure that these service providers access, process, and store information about you only for the purposes we authorize, through the execution of Data Processing Agreements or Addenda."
information about you,we,,"We may access, preserve, and disclose information about you to third parties, including the content of messages if we believe disclosure is in accordance with or required by, applicable law, regulation, legal process, or audits.
We may also disclose information about you if we believe that your actions are inconsistent with our Terms of Service or related guidelines and policies, or if necessary to protect the rights, property, or safety of, or prevent fraud or abuse of, Company or others."
information collect from you,we,,"We retain certain information collected from you while you are a member on the Site, and in certain cases where you have deleted your account, for the following reasons:So that you can use our Sites;To ensure that we do not communicate with you if you have asked us not to;To provide you with a refund, if entitled;To better understand the traffic to our Sites so that we can provide all members with the best possible experience;To detect and prevent abuse of our Sites, illegal activities and breaches of our Terms of Service; andTo comply with applicable legal, tax or accounting requirements."
information relate to viewer,we,,"While providing our Services on behalf of our registered users, we collect information related to Viewers."
material,we,,We collect information and material (user generated content) provided to us voluntarily by our users or the viewers to publish and process on our platform.
order detail,dive,advertising,"On the basis of types of services requested, Dive also collects information such as type of service that has been requested order details for such a request payment & transaction information (such as merchant's name, payment method, chargeable amount for the service date and time the service was provided"
personal personal information about you,we,,"Privacy Policy

We may collect personal and sensitive personal information about you and store this information in connection with the provision and fulfilment of our services to you."
type of service request,dive,advertising,"On the basis of types of services requested, Dive also collects information such as type of service that has been requested order details for such a request payment & transaction information (such as merchant's name, payment method, chargeable amount for the service date and time the service was provided"
user datum,we,,We retain user data for as long as necessary for the purposes described above.
