data_type,collector,purpose,text
UNSPECIFIED_DATA,healthcare professional,,"For example, we may share information with other physicians, nurses or healthcare professionals entering information into your medical records relating to your medical care and treatment."
UNSPECIFIED_DATA,physician,,"For example, we may share information with other physicians, nurses or healthcare professionals entering information into your medical records relating to your medical care and treatment."
UNSPECIFIED_DATA,we,,"For example, we may share information with other physicians, nurses or healthcare professionals entering information into your medical records relating to your medical care and treatment.
Privacy Policy

How We May Use and Disclose Your Information :"
information about treatment practice provide to you,UNSPECIFIED_ACTOR,,"We may need to disclose information about the treatment, procedures or care my practice provided to you in order to bill and receive payment for services I provided.
We may share this information with you, an insurance company or any third party responsible for payment."
information about treatment practice provide to you,insurance company,,"We may need to disclose information about the treatment, procedures or care my practice provided to you in order to bill and receive payment for services I provided.
We may share this information with you, an insurance company or any third party responsible for payment."
information about treatment practice provide to you,we,services,"We may need to disclose information about the treatment, procedures or care my practice provided to you in order to bill and receive payment for services I provided.
We may share this information with you, an insurance company or any third party responsible for payment."
information about you,we,services,"We may need to share information about you in order to provide medical care to you.
We may share information about you including x-rays, prescriptions and requests for lab work."
medical information,public health authority,,Your medical information may be disclosed to a public health authority that is authorized by law to collect or receive such information for public health activities.
medical information,we,services,"If my practice believes, in good faith, that a use or disclosure of your medical information is necessary to prevent or lessen a serious and imminent threat to the health or safety of a person or the public, we may disclose your medical information."
medical information about you,we,services,We may release medical information about you for work-related illness or injury for workers' compensation or other related programs.
medical information relate to you,we,services,"We will disclose medical information related to you if required to do so by state, federal or local law."
permission,we,services,"If however, the researcher will have access to information that will identify you, we will seek to obtain your permission (though we cannot guarantee this)."
personal health information,business associates,services,"In order to help me run my practice more efficiently and provide better care, I may use and disclose your personal health information to Business Associates who need to use or disclose your information to provide a service for my medical practice, such as my software vendor who occasionally provides assistance with data management on my behalf."
personal health information,federal authority,,"Your personal health information may be disclosed to federal, state or local authorities as part of an investigation or government activity authorized by law."
personal health information,we,services,"Certain disclosures may be made for public health activities in the following circumstances: If our practice reasonably believes a person is the victim of abuse, neglect, or domestic violence, we may disclose personal health information to the appropriate authority.
In order to help me run my practice more efficiently and provide better care, I may use and disclose your personal health information to Business Associates who need to use or disclose your information to provide a service for my medical practice, such as my software vendor who occasionally provides assistance with data management on my behalf."
personal health information about you,health plan,services,"We may also need to disclose personal health information about you with your health plan and/or referring physician in order to obtain prior authorization for treatment, to determine whether payment for the treatment is covered by your plan or to facilitate payment of a referring physician."
personal health information about you,refer physician,services,"We may also need to disclose personal health information about you with your health plan and/or referring physician in order to obtain prior authorization for treatment, to determine whether payment for the treatment is covered by your plan or to facilitate payment of a referring physician."
personal health information about you,we,services,"We may also need to disclose personal health information about you with your health plan and/or referring physician in order to obtain prior authorization for treatment, to determine whether payment for the treatment is covered by your plan or to facilitate payment of a referring physician."
specific authorization,we,services,We will always obtain your specific authorization if required by law.
