data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,ELMO Software may share Other Information with third parties when we have consent to do so.
UNSPECIFIED_DATA,elmo software,"security, services","ELMO Software also collects, generates and/or receives Other Information:
ELMO Software may collect and receive Customer Data and other information and data (""Other Information"") in a variety of ways: Other Information.
ELMO Software may share Other Information with third parties when we have consent to do so.
ELMO Software uses Other Information in furtherance of our legitimate interests in operating our Services, Websites and business.
More specifically, ELMO Software uses Other Information:
This section describes how ELMO Software may share and disclose Information."
UNSPECIFIED_DATA,we,,"ELMO Software uses cookies and similar technologies in our Websites and Services that help us collect Other Information.
HOW WE SHARE AND DISCLOSE INFORMATION
However, certain Information is collected automatically and, if some Information, such as basic user profile level information (e.g. name, email address), is not provided, we may be unable to provide the Services.
If we receive a request for information, we may disclose Other Information if we reasonably believe disclosure is in accordance with or required by any applicable law, regulation or legal process.
We receive Other Information when submitted to our Websites or if you participate in a focus group, contest, activity or event, apply for a job, request support, interact with our social media accounts or otherwise communicate with ELMO Software.
We receive information from you, your Customer and other third-parties that helps us approximate your location."
account datum,elmo software,"security, services","ELMO Software may need to contact you for invoicing, account management and similar reasons and we use account data to administer accounts and keep track of billing and payments."
account datum,we,services,"ELMO Software may need to contact you for invoicing, account management and similar reasons and we use account data to administer accounts and keep track of billing and payments."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,"analytics, services","For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, or as part of new product offerings or features provided to Customers which provide anonymised benchmark metrics for comparative performance between Customers."
aggregate / deidentified / pseudonymized information,prospect,"analytics, services","For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, or as part of new product offerings or features provided to Customers which provide anonymised benchmark metrics for comparative performance between Customers."
aggregate / deidentified / pseudonymized information,we,"services, analytics","For example, we may share aggregated or de-identified Other Information with prospects or partners for business or research purposes, or as part of new product offerings or features provided to Customers which provide anonymised benchmark metrics for comparative performance between Customers.
We may disclose or use aggregated or de-identified Other Information for any purpose."
browser configuration,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
browser type,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
business address submit,we,"services, analytics","We may, for example, use a business address submitted by your employer, or an IP address received from your browser or device to determine approximate location."
cookie / pixel tag,elmo software,"security, services","ELMO Software also collects, generates and/or receives Other Information: Cookie Information.
ELMO Software uses cookies and similar technologies in our Websites and Services that help us collect Other Information."
cookie / pixel tag,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data.
This site uses cookies, as explained in our cookie policy."
customer datum,elmo software,"security, services","ELMO Software may collect and receive Customer Data and other information and data (""Other Information"") in a variety of ways: Customer Data .
ELMO Software will solely share and disclose Customer Data in accordance with a Customer's instructions, including any applicable terms in the Software as a Service Agreement and Customer's use of Services functionality, and in compliance with applicable law and legal process."
date,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
datum about organisation,elmo software,"security, services","ELMO Software may receive data about organisations, industries, Website visitors, marketing campaigns and other matters related to our business from parent corporations, affiliates and subsidiaries, our partners or others that we use to make our own information better or more useful."
elmo website,we,"services, analytics","This Data Privacy & Protection Policy applies to ELMO Software's applications and platform (collectively, the ""Services""), elmosoftware.com.au and other ELMO websites (collectively, the ""Websites"") and other interactions (e.g., customer service inquiries, user conferences, etc.) you may have with ELMO Software and its subsidiaries."
information constitute personal data,elmo software,"security, services, advertising",ELMO Software may also process Other Information that constitutes your Personal Data for direct marketing purposes and you have a right to object to ELMO Software's use of your Personal Data for this purpose at any time.
information pertain to you,elmo software,"security, services, advertising",ELMO Software may retain Other Information pertaining to you for as long as necessary for the purposes described in this Data & Protection Privacy Policy.
information provide to elmo software,elmo software,"security, services, advertising","ELMO Software also collects, generates and/or receives Other Information: Additional Information Provided to ELMO Software."
ip address,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data.
We may, for example, use a business address submitted by your employer, or an IP address received from your browser or device to determine approximate location."
language preference,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
other information,we,"services, analytics","If you contact us, we may use your Other Information to respond."
platform,we,"services, analytics","This Data Privacy & Protection Policy applies to ELMO Software's applications and platform (collectively, the ""Services""), elmosoftware.com.au and other ELMO websites (collectively, the ""Websites"") and other interactions (e.g., customer service inquiries, user conferences, etc.) you may have with ELMO Software and its subsidiaries."
postal address,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
setting,we,"services, analytics","As with most websites and technology services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services and record it in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, browser type and settings, the date and time the Services were used, information about browser configuration and plugins, language preferences and cookie data."
