data_type,collector,purpose,text
Microsoft,we,"security, services, advertising, analytics","For example, we may monitor the number of people that visit our Site, peak hours of visits, which pages are visited on our Site, the domains our visitors come from (e.g., google.com, yahoo.com, etc.), which browsers people use to access and visit our Site (e.g., Firefox, Microsoft Internet Explorer, etc.), broad geographical information, and Site-navigation pattern."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be transferred to a successor or affiliate as part of that transaction along with other assets or reviewed as a part of the due diligence process.
If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be transferred to a successor or affiliate as part of that transaction along with other assets."
UNSPECIFIED_DATA,service provider,services,"Our Customers may also choose to implement their Eightfold services with service providers they select, and your information would be shared with those service providers.
Vendors and Service Providers:
We authorize these service providers to use or disclose the information only as necessary to perform services on behalf of Eightfold (for example, to support the delivery of, provide functionality on, or help to enhance the security of the Site)."
UNSPECIFIED_DATA,service provider support business operation,,"If you are a user based in regions with laws governing data collection and use, please note that we may transfer your Personal Data to the United States for the purposes described in this Privacy Policy, and the data may be transmitted to our service providers supporting our business operations (described above)."
UNSPECIFIED_DATA,successor,,"If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be transferred to a successor or affiliate as part of that transaction along with other assets or reviewed as a part of the due diligence process.
If we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, sale of all or a portion of our assets, or transition of service to another provider, your Personal Data and other information may be transferred to a successor or affiliate as part of that transaction along with other assets."
UNSPECIFIED_DATA,we,"security, services","As necessary for certain legitimate business interests , which include the following: If you ask us to delete your data and we are required to fulfill your request, we will keep basic data to maintain a record of your request, our response to it and use that data to prevent further unwanted processing.
As necessary for certain legitimate business interests, which include the following: If you ask us to delete your data and we are required to fulfill your request, we will keep basic data to maintain a record of your request, our response to it and use that data to prevent further unwanted processing.
If you are a user based in regions with laws governing data collection and use, please note that we may transfer your Personal Data to the United States for the purposes described in this Privacy Policy, and the data may be transmitted to our service providers supporting our business operations (described above)."
artificial intelligence,eightfold,,"Privacy policy

Eightfold uses artificial intelligence through its software services built upon its Talent Intelligence Platform solutions, providing effective ways for our customers that purchase our products and services ("" Customers "") to acquire, engage and retain talent (the "" Services "")."
basic datum,we,"security, services","As necessary for certain legitimate business interests , which include the following: If you ask us to delete your data and we are required to fulfill your request, we will keep basic data to maintain a record of your request, our response to it and use that data to prevent further unwanted processing.
As necessary for certain legitimate business interests, which include the following: If you ask us to delete your data and we are required to fulfill your request, we will keep basic data to maintain a record of your request, our response to it and use that data to prevent further unwanted processing."
browsing / search history,UNSPECIFIED_ACTOR,advertising,We and our third party service providers may use cookies or other tracking technologies to collect information about your browsing activities over time and across different websites following your use of the Site and use that information to send targeted advertisements.
browsing / search history,we,"security, services, advertising",We and our third party service providers may use cookies or other tracking technologies to collect information about your browsing activities over time and across different websites following your use of the Site and use that information to send targeted advertisements.
cookie / pixel tag,UNSPECIFIED_ACTOR,advertising,We and our third party service providers may use cookies or other tracking technologies to collect information about your browsing activities over time and across different websites following your use of the Site and use that information to send targeted advertisements.
cookie / pixel tag,we,"security, services, advertising, analytics","We also use web beacons on our Site and Services and in email communications.
We and our third party service providers may use cookies or other tracking technologies to collect information about your browsing activities over time and across different websites following your use of the Site and use that information to send targeted advertisements.
We use cookies and similar technologies such as web beacons alone or in conjunction with cookies to compile information about the usage of the Site and the Services and interaction with emails from us.
We use cookies and similar technologies to analyze how users interact with our Site."
email address,we,"security, services, advertising, analytics","For instance, if you elect to provide your email or telephone number, we may use that information to send you special offers."
firefox,we,"security, services, advertising, analytics","For example, we may monitor the number of people that visit our Site, peak hours of visits, which pages are visited on our Site, the domains our visitors come from (e.g., google.com, yahoo.com, etc.), which browsers people use to access and visit our Site (e.g., Firefox, Microsoft Internet Explorer, etc.), broad geographical information, and Site-navigation pattern."
information about marketing preference,we,"security, services, advertising, analytics","If you have elected to receive marketing communications from us, we retain information about your marketing preferences until you opt out of receiving these communications and in accordance with our policies."
information about potential job candidate,we,"security, services, advertising, analytics","We may obtain information about potential job candidates from (i) third parties who provide data they have collected from various sources commercially and (ii) publicly available sources where job candidates have made available their professional information including resumes, such as professional social networks or employment-related search engines for job listings."
information about you,we,"security, services, advertising, analytics","If you are an Eightfold job applicant, we may collect information about you from third parties who support our human resources and recruiting efforts, including recruitment agencies, vendors that support our performance of background/reference checks, and advertising vendors."
information collect from interaction with third party indicate,we,"security, services, advertising, analytics","For example, we engage vendors who may provide us with information that was collected from your interactions with third parties that indicate you may be interested in our services.
We use this information, for example, to send you marketing communications."
information collect from publicly available source,we,"security, services, advertising, analytics","As described above, we may also obtain information collected from various publicly and commercially available sources, generally regarding professional, career, or employment-related information as well as contact information."
internet,eightfold,advertising,"Eightfold collects certain unique identifiers (such as IP addresses) and internet and similar network activity (such as Site usage data) from you indirectly using cookies, pixels, and passive tracking technologies."
job application information,we,"security, services, advertising, analytics","If you are applying for a job with us, we collect and process your job application information that may contain Personal Data such as those in your resume.
To the extent that our Services, such as a mobile app, allow you to directly upload job application information, including resumes, in order to connect with potential employers, we process that information for our Customers and their authorized users, including analyzing, summarizing, displaying, allowing downloading of the information or forwarding the information to the employers who created the job positions."
mobile app,we,"security, services, advertising, analytics","To the extent that our Services, such as a mobile app, allow you to directly upload job application information, including resumes, in order to connect with potential employers, we process that information for our Customers and their authorized users, including analyzing, summarizing, displaying, allowing downloading of the information or forwarding the information to the employers who created the job positions."
personal data input,eightfold,"advertising, services","As part of our Services, Eightfold processes certain Personal Data input or uploaded into our Services by prospective employees, including contact information, professional and educational backgrounds, and other information included in resumes.
In order to provide the Services to our customers, Eightfold processes certain Personal Data input or uploaded into our Services by our Customers' employees or authorized users, or Eightfold's personnel who input or upload on behalf of Customers."
personal datum collect via site,we,"security, services, advertising, analytics",We use Personal Data collected via the Site for the following purposes:
personal datum of visitor to website,eightfold,"advertising, services","The Our Website section explains how Eightfold collects and uses the Personal Data of visitors to our website, available at https://eightfold.ai/ (the "" Site "")."
