data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We share your data only with necessary third-party service providers such as but not limited to the provider of our video recording APIs, translation and speech-to-text APIs."
UNSPECIFIED_DATA,court,,"Your data may be shared with Government Authorities, Law Enforcement Officials and Courts pursuant to conformity with Regulation (EU) 2016/679 (GDPR) when personal data is required to be disclosed by Law Enforcement Authorities."
UNSPECIFIED_DATA,government authorities,,"Your data may be shared with Government Authorities, Law Enforcement Officials and Courts pursuant to conformity with Regulation (EU) 2016/679 (GDPR) when personal data is required to be disclosed by Law Enforcement Authorities."
UNSPECIFIED_DATA,law enforcement official,,"Your data may be shared with Government Authorities, Law Enforcement Officials and Courts pursuant to conformity with Regulation (EU) 2016/679 (GDPR) when personal data is required to be disclosed by Law Enforcement Authorities."
UNSPECIFIED_DATA,we,"analytics, services","As a Company

We are your data processor and we process your information and the Applicant's information on your behalf.
As an Applicant

We process your information for the Company (the Controller) that you register to.
Our products require certain information to perform predictions and to learn and improve, and for that we encourage sharing more information as long as it is restricted to our Legitimate Interests.
Please note that some local laws may require or allow us to retain your data for longer periods.
We share your data only with necessary third-party service providers such as but not limited to the provider of our video recording APIs, translation and speech-to-text APIs.
We store all data in Amazon S3/Google Cloud Storage until request for deletion of the account.
We store all the data until the request for deletion of the account.
We track your progress through the system and keep your data safe and secure."
cold backup of datum store for year,we,"analytics, services",We keep a cold backup of your data stored for up to one year (varies with regional data protection regulations and laws).
datum pertain to,we,"analytics, services","As a Company, we save all data pertaining to managing and evaluating applicants to your video assessments."
datum pertain to tracking of applicant through own customize template,we,"analytics, services","As a Company, we save all data pertaining to the tracking of applicants through your own customized templates, questionnaires and pipelines."
datum process,we,"analytics, services",We must comply and retain data that is processed or kept for the purpose of legal obligation.
datum you use,we,"analytics, services","As a Company, we store all data you use to edit and customize the branding of your portal."
email address,we,"analytics, services","As an Applicant, during video-based assessments and interviews, we collect and store data consisting of your videos and your details when you register for the assessment such as your email address and name."
insight on user behavior on system,we,"analytics, services",These data include cookies that allow us to obtain insights on user behavior on the system in order to learn and optimize accordingly.
personal datum regard network audit,we,"analytics, services",We process personal data regarding network audits and security logging.
personality report,we,"analytics, services, legal",A personality report is generated and shared with the Company.
professional identity,employer,,"Our registered users, commonly referred to as recruiters, employers, headhunters, managers, supervisors and applicants ("" Users "", "" you "") share their professional identities, Automation processes are defined by the Company (Controller)."
professional identity,headhunter,,"Our registered users, commonly referred to as recruiters, employers, headhunters, managers, supervisors and applicants ("" Users "", "" you "") share their professional identities, Automation processes are defined by the Company (Controller)."
professional identity,manager,,"Our registered users, commonly referred to as recruiters, employers, headhunters, managers, supervisors and applicants ("" Users "", "" you "") share their professional identities, Automation processes are defined by the Company (Controller)."
professional identity,recruiter,,"Our registered users, commonly referred to as recruiters, employers, headhunters, managers, supervisors and applicants ("" Users "", "" you "") share their professional identities, Automation processes are defined by the Company (Controller)."
professional identity,supervisor,,"Our registered users, commonly referred to as recruiters, employers, headhunters, managers, supervisors and applicants ("" Users "", "" you "") share their professional identities, Automation processes are defined by the Company (Controller)."
