data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"Privacy Policy

Where we store your data

How long we store your data
We may obtain information from other sources, such as third-party information providers, or publicly available sources, and combine this with information previously collected.
When you interact with the Services through third party sites and services, such as when you login using an account or credentials from a third party service, share or export User Content from the Services with third party services, or integrate the Services with third party services, we may receive information from those websites and services."
access token,we,,"For example, when you login using an account or credentials from a third party service such as Google, we may receive information such as your name, email address, access tokens, and other information related to your account with the third party service."
analytic datum,we,,"We may collect analytics data, or use third-party analytics tools, to help us measure traffic and usage trends for the Service and to understand more about the demographics of our users."
browser setting,we,,"Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
contact,we,,"When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
datum about,we,services,"We track and store data about how you visit and use Times Services, particularly through our websites and apps."
datum about you,hermis,,"Where we store your data

Hermis transfers, processes and stores data about you on servers operated by our hosting provider located in the United States of America."
device identifier,we,services,"Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services.
When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
device identifier,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services.
When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
email address,we,"services, analytics","For example, when you login using an account or credentials from a third party service such as Google, we may receive information such as your name, email address, access tokens, and other information related to your account with the third party service.
Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services.
This information may include your name, email address, and password.
We collect your email address in order to send information about our service and respond to inquiries and requests.
We may also collect such information when you register for certain events, such as webinars, video and other informational sessions, talks, etc.
When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
feature,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
functionality,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
information about you,UNSPECIFIED_ACTOR,,"We, and our third party partners, also automatically collect information about you and any computer or device you use to access the Services, read our emails, or otherwise engage with us."
information about you,we,"services, analytics","We also collect and receive information about you from third-party sources.
We collect this information through tracking technologies, such as cookies, web beacons, and clear gifs.
We, and our third party partners, also automatically collect information about you and any computer or device you use to access the Services, read our emails, or otherwise engage with us."
information collect within european economic area,Personal Information Privacy and Security Association (Vancouver),,"Information collected within the European Economic Area (""EEA"") and Switzerland may, for example, be transferred to and processed by third parties referred to below that are located in a country outside of the EEA and Switzerland, where you may have fewer rights in relation to your Personal Information."
information collect within european economic area,Switzerland Tourism,,"Information collected within the European Economic Area (""EEA"") and Switzerland may, for example, be transferred to and processed by third parties referred to below that are located in a country outside of the EEA and Switzerland, where you may have fewer rights in relation to your Personal Information."
information relate to account with third party service,we,"services, analytics","For example, when you login using an account or credentials from a third party service such as Google, we may receive information such as your name, email address, access tokens, and other information related to your account with the third party service."
information third party site share with we,we,"services, analytics",We also may receive any other information that a third party site or service shares with us (or that you choose to allow it to share with us).
information you provide,we,"services, analytics","Information That You Voluntarily Provide
We use this information to operate, maintain, improve and provide to you the features and functionality of the Services, as well as to communicate directly with you, such as to send you email messages about products and services that may be of interest to you."
ip address,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services.
When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
link contain in email,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
link you click,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
number of click,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
page you view,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
password,we,"services, analytics","This information may include your name, email address, and password.
We may also collect such information when you register for certain events, such as webinars, video and other informational sessions, talks, etc."
person name,we,"services, analytics","For example, when you login using an account or credentials from a third party service such as Google, we may receive information such as your name, email address, access tokens, and other information related to your account with the third party service.
This information may include your name, email address, and password.
We may also collect such information when you register for certain events, such as webinars, video and other informational sessions, talks, etc."
profile information,we,"services, analytics","When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
record,we,"services, analytics","This helps us update, expand, and analyze our records, identify new customers and opportunities, and create more tailored advertising to promote services that may be of interest to you."
registration information,we,"services, analytics",The categories of information we collect can include: Registration information.
site from you come,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
site to you go,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
specification,we,"services, analytics","Some of the information we collect, and the ways we collect it, include information about your computers, devices, applications and networks, including your Internet Protocol (IP) address (or the proxy server you use to access the internet), unique device identifiers; your browser settings and specification; and information about how you use the Services (e.g., the pages you view, the links you click, number of clicks, features and functionalities you utilize, how frequently you access the Services, the site from which you came and the site to which you are going when you leave our Services, whether you open emails or click the links contained in emails, whether you access the Services from multiple devices, and other actions you take on the Services."
user name,we,"services, analytics","When you create, share or export User Content from the Services vice with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses.
When you integrate the Services with third party services, we may receive information such as user names, IP addresses, device identifiers, profile information, contacts, or email addresses."
