data_type,collector,purpose,text
AdRoll,we,"advertising, services, analytics, security, legal","Services like Google, AdRoll, and Appnexus may be used to deliver personalized ads about our products and services on our Services and other platforms."
Google,we,"advertising, services, analytics, security, legal","Services like Google Analytics may be used to understand how people use our Services, such as pages visited, duration, and the website visited before accessing Encrypt Send's website.
Services like Google, AdRoll, and Appnexus may be used to deliver personalized ads about our products and services on our Services and other platforms."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Additionally, certain information is shared with other users, third parties, and may be publicly available.
For instance, if you register for our Services on another website, that website may share your information with us.
Information is shared as follows: Aggregated or De-identified Data: Data may be shared with third parties when it cannot identify individuals."
UNSPECIFIED_DATA,encrypt send,"advertising, services","Encrypt Send collects, uses, and stores information to provide services, improve them, develop new services, and market its companies and products.
This Privacy Policy outlines how Encrypt Send collects and utilizes information from customers and other individuals who access or use our website, mobile applications, product platform and any other sites, products, or services linked to this Privacy Policy (collectively referred to as the ""Services"")."
UNSPECIFIED_DATA,service provider,,"When you visit Encrypt Send's website, including our web forms, we and our service providers automatically collect certain information using tracking technologies like cookies, web beacons, and similar tools."
UNSPECIFIED_DATA,we,"advertising, services","Additionally, other customers may provide us with your information, such as when a customer wants to send you documentation using our Services.
By utilizing our Services, you acknowledge that we will collect and use your information as described in this Privacy Policy (collectively referred to as ""you"").
For example, when you upload or download files or documents for review, we act as a data processor and process information according to your instructions.
For instance, if you register for our Services on another website, that website may share your information with us.
To provide and enhance our Services and support advertising and marketing efforts, we collect information about visitors to our sites, users of our Services (Customer Account Data), the devices they use, and, in some cases, their locations.
We automatically collect information from you and your devices during your use of our Services, even if you visit our sites or apps without logging in.
When you use our Services, we may process and store certain information on your behalf as a data processor.
When you visit Encrypt Send's website, including our web forms, we and our service providers automatically collect certain information using tracking technologies like cookies, web beacons, and similar tools.
When you visit our website or request more information about Encrypt Send, we automatically collect information using tracking technologies such as cookies and through web forms where you input your details.
You provide us with information when you register or log in to your account, interact with our Services, and use various features, such as contacting customer support or leaving comments."
appnexus,we,"advertising, services, analytics, security, legal","Services like Google, AdRoll, and Appnexus may be used to deliver personalized ads about our products and services on our Services and other platforms."
billing information,we,"advertising, services","When you sign up for a Encrypt Send account, we may request certain information, such as contact details and billing information, to facilitate communication and enable payment for our products and services."
company name,we,"advertising, services","Additionally, we may request additional information to understand you better as a customer, such as your Encrypt Send use case, company name, or role at your company."
contact information,we,"advertising, services","When you sign up for a Encrypt Send account, we may request certain information, such as contact details and billing information, to facilitate communication and enable payment for our products and services."
contact information,we,"advertising, services, analytics, security","When you sign up for a Encrypt Send account, we may request certain information, such as contact details and billing information, to facilitate communication and enable payment for our products and services."
cookie / pixel tag,UNSPECIFIED_ACTOR,,These third parties may use their own Cookies on your devices for this purpose.
cookie / pixel tag,third party market on services,advertising,"Third parties whose products or services are marketed on our Services may use Cookies to tailor and serve advertising based on information like past visits to our Services and other sites, as well as report the number of ads served and responses."
cookie / pixel tag,we,"advertising, services, analytics","We may use Cookies or similar technologies like web beacons, local shared objects, and tracking pixels to store or collect information, including user preferences and usernames, to improve navigation and tailor advertisements."
customer account data,we,"advertising, services, analytics, security","Broadly, we use Customer Account Data to further our legitimate interests, which include:"
customer account datum,we,"advertising, services, analytics, security","What Customer Account Data We Process When You Communicate with Us
What Customer Account Data We Process When You Sign Up for and Log Into a Encrypt Send Account"
email address,we,"advertising, services, analytics, security","We may also use your email address to send you information about other Encrypt Send products, services, or events of potential interest."
encrypt send use case,we,"advertising, services, analytics, security","Additionally, we may request additional information to understand you better as a customer, such as your Encrypt Send use case, company name, or role at your company."
end user personal information,encrypt send,"advertising, services","Customers might also have access to additional features or tools within Encrypt Send's products or services that allow them to audit Login Activity and/or Transactions Activity, including end user personal information, within their Encrypt Send account.
Encrypt Send processes this information to provide the requested services."
information about,we,"advertising, services, analytics, security","Additionally, you may provide us with information about others when using certain parts of our Services, such as adding users to an existing account or participating in electronic transactions."
information about encrypt send,we,"advertising, services, analytics, security","We use this information to fulfill your requests made through the web form.
When you visit our website or request more information about Encrypt Send, we automatically collect information using tracking technologies such as cookies and through web forms where you input your details."
information about you,we,"advertising, services, analytics, security","We may collect information about you from third-party sources, such as marketers, partners, researchers, and affiliates, where legally permitted."
ip address,we,"advertising, services, analytics, security","Additionally, we automatically collect certain information, such as your IP address, when you log into your account or when you interact with our APIs.
Additionally, when you use our account portal, we collect data like your IP address through tracking technologies for analytics and navigation improvement purposes.
Please note that when you make requests to our website, we collect the IP address of your devices or servers, along with processing the information contained in those interactions."
necessary information,we,"advertising, services, analytics, security",We will request the necessary information to fulfill your request through the form.
page visit,we,"advertising, services, analytics, security, legal","Services like Google Analytics may be used to understand how people use our Services, such as pages visited, duration, and the website visited before accessing Encrypt Send's website."
phone number,we,"advertising, services, analytics, security","During the sign-up process, we may also request your mobile number to send a verification code, ensuring you are a human user."
postal address,local government authority,,"In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries.
This information may be shared with telecommunications carriers or local government authorities as required by law."
postal address,telecommunication carrier,,"In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries.
This information may be shared with telecommunications carriers or local government authorities as required by law."
postal address,we,"advertising, services, analytics, security, legal","In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries."
proof of identity,local government authority,,"In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries.
This information may be shared with telecommunications carriers or local government authorities as required by law."
proof of identity,telecommunication carrier,,"In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries.
This information may be shared with telecommunications carriers or local government authorities as required by law."
proof of identity,we,"advertising, services, analytics, security, legal","In some cases, we may need to collect a physical address and proof of identity for compliance reasons, such as obtaining a phone number in certain countries."
publicly available information about you,we,"advertising, services, analytics, security, legal",We may collect publicly available information about you to better understand our customer base.
record of credential,we,"advertising, services, analytics, security, legal",We keep records of these credentials to identify you when your application makes requests to our API using these credentials.
record of interaction,we,"advertising, services, analytics, security, legal",We retain a record of these interactions.
role at company,we,"advertising, services, analytics, security, legal","Additionally, we may request additional information to understand you better as a customer, such as your Encrypt Send use case, company name, or role at your company."
training for team member,we,"advertising, services, analytics, security, legal","This allows us to track the inquiries received from you and other customers, improve our products and services, and provide training for team members."
user preference,we,"advertising, services, analytics, security, legal","We may use Cookies or similar technologies like web beacons, local shared objects, and tracking pixels to store or collect information, including user preferences and usernames, to improve navigation and tailor advertisements."
username,we,"advertising, services, analytics, security, legal","We may use Cookies or similar technologies like web beacons, local shared objects, and tracking pixels to store or collect information, including user preferences and usernames, to improve navigation and tailor advertisements."
website visit,we,"advertising, services, analytics, security, legal","Services like Google Analytics may be used to understand how people use our Services, such as pages visited, duration, and the website visited before accessing Encrypt Send's website."
